"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-14,0.45,2,931.402736706983
0.56,0.25,2020-02-14,0.45,2,898.610063383316
0.57,0.25,2020-02-14,0.45,2,866.340976994798
0.58,0.25,2020-02-14,0.45,2,834.588516024037
0.59,0.25,2020-02-14,0.45,2,803.345703620675
0.6,0.25,2020-02-14,0.45,2,772.605735459717
0.61,0.25,2020-02-14,0.45,2,742.361663320928
0.62,0.25,2020-02-14,0.45,2,712.60641228857
0.63,0.25,2020-02-14,0.45,2,683.333748404122
0.64,0.25,2020-02-14,0.45,2,654.536765447563
0.65,0.25,2020-02-14,0.45,2,626.209234261355
0.66,0.25,2020-02-14,0.45,2,598.344341072122
0.67,0.25,2020-02-14,0.45,2,570.936345178173
0.68,0.25,2020-02-14,0.45,2,543.978516527839
0.69,0.25,2020-02-14,0.45,2,517.464763993982
0.7,0.25,2020-02-14,0.45,2,491.389838265921
0.71,0.25,2020-02-14,0.45,2,465.747410465749
0.72,0.25,2020-02-14,0.45,2,440.532487744322
0.73,0.25,2020-02-14,0.45,2,415.738842798063
0.74,0.25,2020-02-14,0.45,2,391.362178902011
0.75,0.25,2020-02-14,0.45,2,367.397275412209
0.76,0.25,2020-02-14,0.45,2,343.839838641022
0.77,0.25,2020-02-14,0.45,2,320.685841457409
0.78,0.25,2020-02-14,0.45,2,297.932006914418
0.79,0.25,2020-02-14,0.45,2,275.575408656578
0.8,0.25,2020-02-14,0.45,2,253.615350458952
0.81,0.25,2020-02-14,0.45,2,232.051042149651
0.82,0.25,2020-02-14,0.45,2,210.884993543927
0.83,0.25,2020-02-14,0.45,2,190.122339862481
0.84,0.25,2020-02-14,0.45,2,169.772159217849
0.85,0.25,2020-02-14,0.45,2,149.853292564818
0.86,0.25,2020-02-14,0.45,2,130.4303673458
0.87,0.25,2020-02-14,0.45,2,111.711343785623
0.88,0.25,2020-02-14,0.45,2,93.911301584555
0.89,0.25,2020-02-14,0.45,2,77.18863365449
0.9,0.25,2020-02-14,0.45,2,61.6902466779872
0.91,0.25,2020-02-14,0.45,2,47.6279030575262
0.92,0.25,2020-02-14,0.45,2,35.4610042220017
0.93,0.25,2020-02-14,0.45,2,26.2991890247836
0.94,0.25,2020-02-14,0.45,2,22.3324472766672
0.95,0.25,2020-02-14,0.45,2,24.8226401529101
0.55,0.3,2020-02-14,0.45,2,931.402736706983
0.56,0.3,2020-02-14,0.45,2,898.610063383316
0.57,0.3,2020-02-14,0.45,2,866.340976994798
0.58,0.3,2020-02-14,0.45,2,834.588516024037
0.59,0.3,2020-02-14,0.45,2,803.345703620675
0.6,0.3,2020-02-14,0.45,2,772.605735459717
0.61,0.3,2020-02-14,0.45,2,742.361663320928
0.62,0.3,2020-02-14,0.45,2,712.60641228857
0.63,0.3,2020-02-14,0.45,2,683.333748404122
0.64,0.3,2020-02-14,0.45,2,654.536765447563
0.65,0.3,2020-02-14,0.45,2,626.209234261355
0.66,0.3,2020-02-14,0.45,2,598.344341072122
0.67,0.3,2020-02-14,0.45,2,570.936345178173
0.68,0.3,2020-02-14,0.45,2,543.978516527839
0.69,0.3,2020-02-14,0.45,2,517.464763993982
0.7,0.3,2020-02-14,0.45,2,491.389838265921
0.71,0.3,2020-02-14,0.45,2,465.747410465749
0.72,0.3,2020-02-14,0.45,2,440.532487744322
0.73,0.3,2020-02-14,0.45,2,415.738842798063
0.74,0.3,2020-02-14,0.45,2,391.362178902011
0.75,0.3,2020-02-14,0.45,2,367.397275412209
0.76,0.3,2020-02-14,0.45,2,343.839838641022
