"Stay At Home Order","State-Mandated School Closures","start_date","b1","loss"
0.55,0.1,2020-03-06,0.85,61.9230570149589
0.56,0.1,2020-03-06,0.85,61.1918331539139
0.57,0.1,2020-03-06,0.85,60.4739304344208
0.58,0.1,2020-03-06,0.85,59.7699695389361
0.59,0.1,2020-03-06,0.85,59.0790285624626
0.6,0.1,2020-03-06,0.85,58.4020203142592
0.61,0.1,2020-03-06,0.85,57.7381890397381
0.62,0.1,2020-03-06,0.85,57.0868785690046
0.63,0.1,2020-03-06,0.85,56.4463725822869
0.64,0.1,2020-03-06,0.85,55.815057875927
0.65,0.1,2020-03-06,0.85,55.1892858812815
0.66,0.1,2020-03-06,0.85,54.5657484306327
0.67,0.1,2020-03-06,0.85,53.9390870804739
0.68,0.1,2020-03-06,0.85,53.3053458523196
0.69,0.1,2020-03-06,0.85,52.6590361073567
0.7,0.1,2020-03-06,0.85,51.9964352579525
0.71,0.1,2020-03-06,0.85,51.313611755992
0.72,0.1,2020-03-06,0.85,50.6071857352397
0.73,0.1,2020-03-06,0.85,49.8759311332821
0.74,0.1,2020-03-06,0.85,49.1195677664458
0.75,0.1,2020-03-06,0.85,48.336164857469
0.76,0.1,2020-03-06,0.85,47.5245274348043
0.77,0.1,2020-03-06,0.85,46.6818620943554
0.78,0.1,2020-03-06,0.85,45.8036075525157
0.79,0.1,2020-03-06,0.85,44.8832352917886
0.8,0.1,2020-03-06,0.85,43.9129238629261
0.81,0.1,2020-03-06,0.85,42.8836969449821
0.82,0.1,2020-03-06,0.85,41.7880907308373
0.83,0.1,2020-03-06,0.85,40.6213994929814
0.84,0.1,2020-03-06,0.85,39.3833932068512
0.85,0.1,2020-03-06,0.85,38.0798552461857
0.86,0.1,2020-03-06,0.85,36.7225912485032
0.87,0.1,2020-03-06,0.85,35.3291374831614
0.88,0.1,2020-03-06,0.85,33.9214629857999
0.89,0.1,2020-03-06,0.85,32.5247049057715
0.9,0.1,2020-03-06,0.85,31.1656453358187
0.91,0.1,2020-03-06,0.85,29.871174530476
0.92,0.1,2020-03-06,0.85,28.6679258090779
0.93,0.1,2020-03-06,0.85,27.5809315921684
