"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-02-14,0.45,3,83.9105890780183
0.56,0.1,0.25,2020-02-14,0.45,3,82.1322401714121
0.57,0.1,0.25,2020-02-14,0.45,3,80.3704175417187
0.58,0.1,0.25,2020-02-14,0.45,3,78.6254156337785
0.59,0.1,0.25,2020-02-14,0.45,3,76.8976024447105
0.6,0.1,0.25,2020-02-14,0.45,3,75.1873688358791
0.61,0.1,0.25,2020-02-14,0.45,3,73.4951538687575
0.62,0.1,0.25,2020-02-14,0.45,3,71.8213868461581
0.63,0.1,0.25,2020-02-14,0.45,3,70.1666333895587
0.64,0.1,0.25,2020-02-14,0.45,3,68.5313416063423
0.65,0.1,0.25,2020-02-14,0.45,3,66.9161906395616
0.66,0.1,0.25,2020-02-14,0.45,3,65.3217747172078
0.67,0.1,0.25,2020-02-14,0.45,3,63.7487996610212
0.68,0.1,0.25,2020-02-14,0.45,3,62.1979705199319
0.69,0.1,0.25,2020-02-14,0.45,3,60.6701446492061
0.7,0.1,0.25,2020-02-14,0.45,3,59.1662500135413
0.71,0.1,0.25,2020-02-14,0.45,3,57.6872410432207
0.72,0.1,0.25,2020-02-14,0.45,3,56.2339334746653
0.73,0.1,0.25,2020-02-14,0.45,3,54.8076838462352
0.74,0.1,0.25,2020-02-14,0.45,3,53.4096337898309
0.75,0.1,0.25,2020-02-14,0.45,3,52.0411114951085
0.76,0.1,0.25,2020-02-14,0.45,3,50.7033841139393
0.77,0.1,0.25,2020-02-14,0.45,3,49.3981741481875
0.78,0.1,0.25,2020-02-14,0.45,3,48.1270405242256
0.79,0.1,0.25,2020-02-14,0.45,3,46.8914864356148
0.8,0.1,0.25,2020-02-14,0.45,3,45.6935915990727
0.81,0.1,0.25,2020-02-14,0.45,3,44.5354643488181
0.82,0.1,0.25,2020-02-14,0.45,3,43.4188761933411
0.83,0.1,0.25,2020-02-14,0.45,3,42.3462866419546
0.84,0.1,0.25,2020-02-14,0.45,3,41.3197846553016
0.85,0.1,0.25,2020-02-14,0.45,3,40.342099501888
0.86,0.1,0.25,2020-02-14,0.45,3,39.4153368092255
0.87,0.1,0.25,2020-02-14,0.45,3,38.542427650146
0.88,0.1,0.25,2020-02-14,0.45,3,37.7256087733828
0.89,0.1,0.25,2020-02-14,0.45,3,36.9676652169558
0.9,0.1,0.25,2020-02-14,0.45,3,36.2710473588308
0.91,0.1,0.25,2020-02-14,0.45,3,35.6381583552681
0.92,0.1,0.25,2020-02-14,0.45,3,35.071094179376
0.93,0.1,0.25,2020-02-14,0.45,3,34.5722457213288
0.94,0.1,0.25,2020-02-14,0.45,3,34.1432920286704
0.95,0.1,0.25,2020-02-14,0.45,3,33.7854534514035
0.55,0.2,0.25,2020-02-14,0.45,3,49.1989844435698
0.56,0.2,0.25,2020-02-14,0.45,3,47.697411142915
0.57,0.2,0.25,2020-02-14,0.45,3,46.2246483094694
0.58,0.2,0.25,2020-02-14,0.45,3,44.7824763745309
0.59,0.2,0.25,2020-02-14,0.45,3,43.3727655999838
0.6,0.2,0.25,2020-02-14,0.45,3,41.9976474207848
0.61,0.2,0.25,2020-02-14,0.45,3,40.6591784995105
0.62,0.2,0.25,2020-02-14,0.45,3,39.3602135254122
0.63,0.2,0.25,2020-02-14,0.45,3,38.1030780320477
0.64,0.2,0.25,2020-02-14,0.45,3,36.8910622872748
0.65,0.2,0.25,2020-02-14,0.45,3,35.7272575501131
0.66,0.2,0.25,2020-02-14,0.45,3,34.6153227305532
0.67,0.2,0.25,2020-02-14,0.45,3,33.558955972335
0.68,0.2,0.25,2020-02-14,0.45,3,32.5620872907585
0.69,0.2,0.25,2020-02-14,0.45,3,31.6290419515593
0.7,0.2,0.25,2020-02-14,0.45,3,30.7641878986693
0.71,0.2,0.25,2020-02-14,0.45,3,29.9716497280731
0.72,0.2,0.25,2020-02-14,0.45,3,29.2561767412105
0.73,0.2,0.25,2020-02-14,0.45,3,28.6216617352885
0.74,0.2,0.25,2020-02-14,0.45,3,28.0725007295793
0.75,0.2,0.25,2020-02-14,0.45,3,27.6118850881591
0.76,0.2,0.25,2020-02-14,0.45,3,27.2428485951236
0.77,0.2,0.25,2020-02-14,0.45,3,26.9677545768885
0.78,0.2,0.25,2020-02-14,0.45,3,26.7878103338593
