"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-03-06,1.27,2,3390.16915912705
0.56,0.25,2020-03-06,1.27,2,3237.06065206594
0.57,0.25,2020-03-06,1.27,2,3088.37293545364
0.58,0.25,2020-03-06,1.27,2,2944.06489754221
0.59,0.25,2020-03-06,1.27,2,2804.07239028263
0.6,0.25,2020-03-06,1.27,2,2668.33436605332
0.61,0.25,2020-03-06,1.27,2,2536.78366122859
0.62,0.25,2020-03-06,1.27,2,2409.35277393207
0.63,0.25,2020-03-06,1.27,2,2285.96372958956
0.64,0.25,2020-03-06,1.27,2,2166.54654184067
0.65,0.25,2020-03-06,1.27,2,2051.02394862658
0.66,0.25,2020-03-06,1.27,2,1939.31619683307
0.67,0.25,2020-03-06,1.27,2,1831.343600543
0.68,0.25,2020-03-06,1.27,2,1727.02554360557
0.69,0.25,2020-03-06,1.27,2,1626.27856665613
0.7,0.25,2020-03-06,1.27,2,1529.02186542579
0.71,0.25,2020-03-06,1.27,2,1435.17308137606
0.72,0.25,2020-03-06,1.27,2,1344.64985033803
0.73,0.25,2020-03-06,1.27,2,1257.3705634453
0.74,0.25,2020-03-06,1.27,2,1173.2551797455
0.75,0.25,2020-03-06,1.27,2,1092.2236577215
0.76,0.25,2020-03-06,1.27,2,1014.19850140198
0.77,0.25,2020-03-06,1.27,2,939.103493619945
0.78,0.25,2020-03-06,1.27,2,866.864768495038
0.79,0.25,2020-03-06,1.27,2,797.411206557426
0.8,0.25,2020-03-06,1.27,2,730.674420267909
0.81,0.25,2020-03-06,1.27,2,666.590721562975
0.82,0.25,2020-03-06,1.27,2,605.099426995553
0.83,0.25,2020-03-06,1.27,2,546.146435528806
0.84,0.25,2020-03-06,1.27,2,489.685459088105
0.85,0.25,2020-03-06,1.27,2,435.678550877212
0.86,0.25,2020-03-06,1.27,2,384.099299546287
0.87,0.25,2020-03-06,1.27,2,334.932981372283
0.88,0.25,2020-03-06,1.27,2,288.188806575449
0.89,0.25,2020-03-06,1.27,2,243.906023254438
0.9,0.25,2020-03-06,1.27,2,202.174304970836
0.91,0.25,2020-03-06,1.27,2,163.178311882872
0.92,0.25,2020-03-06,1.27,2,127.292895347027
0.93,0.25,2020-03-06,1.27,2,95.3898427754953
0.94,0.25,2020-03-06,1.27,2,70.4499516039572
0.95,0.25,2020-03-06,1.27,2,60.1685308093804
0.55,0.3,2020-03-06,1.27,2,3390.16915912705
0.56,0.3,2020-03-06,1.27,2,3237.06065206594
0.57,0.3,2020-03-06,1.27,2,3088.37293545364
0.58,0.3,2020-03-06,1.27,2,2944.06489754221
0.59,0.3,2020-03-06,1.27,2,2804.07239028263
0.6,0.3,2020-03-06,1.27,2,2668.33436605332
0.61,0.3,2020-03-06,1.27,2,2536.78366122859
0.62,0.3,2020-03-06,1.27,2,2409.35277393207
0.63,0.3,2020-03-06,1.27,2,2285.96372958956
0.64,0.3,2020-03-06,1.27,2,2166.54654184067
0.65,0.3,2020-03-06,1.27,2,2051.02394862658
0.66,0.3,2020-03-06,1.27,2,1939.31619683307
0.67,0.3,2020-03-06,1.27,2,1831.343600543
0.68,0.3,2020-03-06,1.27,2,1727.02554360557
0.69,0.3,2020-03-06,1.27,2,1626.27856665613
0.7,0.3,2020-03-06,1.27,2,1529.02186542579
0.71,0.3,2020-03-06,1.27,2,1435.17308137606
0.72,0.3,2020-03-06,1.27,2,1344.64985033803
0.73,0.3,2020-03-06,1.27,2,1257.3705634453
