"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-03,0.37,2,573.02743640847
0.56,0.25,2020-02-03,0.37,2,562.181554558461
0.57,0.25,2020-02-03,0.37,2,551.418025606093
0.58,0.25,2020-02-03,0.37,2,540.736878393604
0.59,0.25,2020-02-03,0.37,2,530.137424795861
0.6,0.25,2020-02-03,0.37,2,519.619835244082
0.61,0.25,2020-02-03,0.37,2,509.183563145578
0.62,0.25,2020-02-03,0.37,2,498.827889514288
0.63,0.25,2020-02-03,0.37,2,488.553310954022
0.64,0.25,2020-02-03,0.37,2,478.358992697757
0.65,0.25,2020-02-03,0.37,2,468.245379571586
0.66,0.25,2020-02-03,0.37,2,458.210739208687
0.67,0.25,2020-02-03,0.37,2,448.256532086593
0.68,0.25,2020-02-03,0.37,2,438.381272071122
0.69,0.25,2020-02-03,0.37,2,428.586044451786
0.7,0.25,2020-02-03,0.37,2,418.869210892462
0.71,0.25,2020-02-03,0.37,2,409.232439707116
0.72,0.25,2020-02-03,0.37,2,399.674283066643
0.73,0.25,2020-02-03,0.37,2,390.194606296175
0.74,0.25,2020-02-03,0.37,2,380.793520510442
0.75,0.25,2020-02-03,0.37,2,371.472105692707
0.76,0.25,2020-02-03,0.37,2,362.22937458167
0.77,0.25,2020-02-03,0.37,2,353.066152720963
0.78,0.25,2020-02-03,0.37,2,343.981607754502
0.79,0.25,2020-02-03,0.37,2,334.976428908178
0.8,0.25,2020-02-03,0.37,2,326.051516457551
0.81,0.25,2020-02-03,0.37,2,317.20647960994
0.82,0.25,2020-02-03,0.37,2,308.441881226631
0.83,0.25,2020-02-03,0.37,2,299.758547835427
0.84,0.25,2020-02-03,0.37,2,291.156268142936
0.85,0.25,2020-02-03,0.37,2,282.637135019278
0.86,0.25,2020-02-03,0.37,2,274.200620172629
0.87,0.25,2020-02-03,0.37,2,265.849150406371
0.88,0.25,2020-02-03,0.37,2,257.581844538104
0.89,0.25,2020-02-03,0.37,2,249.402308416922
0.9,0.25,2020-02-03,0.37,2,241.309968114829
0.91,0.25,2020-02-03,0.37,2,233.314111062823
0.92,0.25,2020-02-03,0.37,2,225.432157417654
0.93,0.25,2020-02-03,0.37,2,217.683736670488
0.94,0.25,2020-02-03,0.37,2,210.088523619888
0.95,0.25,2020-02-03,0.37,2,202.664021085946
0.55,0.3,2020-02-03,0.37,2,396.639012527167
0.56,0.3,2020-02-03,0.37,2,386.777332762086
0.57,0.3,2020-02-03,0.37,2,376.993906589922
0.58,0.3,2020-02-03,0.37,2,367.288444684205
0.59,0.3,2020-02-03,0.37,2,357.660514933603
0.6,0.3,2020-02-03,0.37,2,348.110390685651
0.61,0.3,2020-02-03,0.37,2,338.637921530286
0.62,0.3,2020-02-03,0.37,2,329.242863754693
0.63,0.3,2020-02-03,0.37,2,319.925309361273
0.64,0.3,2020-02-03,0.37,2,310.685016644366
0.65,0.3,2020-02-03,0.37,2,301.522892711824
