"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-28,0.69,3,1247.01774920895
0.56,0.25,2020-02-28,0.69,3,1196.22952972566
0.57,0.25,2020-02-28,0.69,3,1146.55516353307
0.58,0.25,2020-02-28,0.69,3,1097.98057340754
0.59,0.25,2020-02-28,0.69,3,1050.48614428462
0.6,0.25,2020-02-28,0.69,3,1004.05723310498
0.61,0.25,2020-02-28,0.69,3,958.675929350126
0.62,0.25,2020-02-28,0.69,3,914.325583812182
0.63,0.25,2020-02-28,0.69,3,870.990053576225
0.64,0.25,2020-02-28,0.69,3,828.652799006785
0.65,0.25,2020-02-28,0.69,3,787.29796596237
0.66,0.25,2020-02-28,0.69,3,746.909143114263
0.67,0.25,2020-02-28,0.69,3,707.471654904167
0.68,0.25,2020-02-28,0.69,3,668.970582578058
0.69,0.25,2020-02-28,0.69,3,631.389699888466
0.7,0.25,2020-02-28,0.69,3,594.715967591987
0.71,0.25,2020-02-28,0.69,3,558.93484986556
0.72,0.25,2020-02-28,0.69,3,524.033365888591
0.73,0.25,2020-02-28,0.69,3,489.999336281793
0.74,0.25,2020-02-28,0.69,3,456.819521708398
0.75,0.25,2020-02-28,0.69,3,424.484520056313
0.76,0.25,2020-02-28,0.69,3,392.983362569171
0.77,0.25,2020-02-28,0.69,3,362.308447909556
0.78,0.25,2020-02-28,0.69,3,332.452732094294
0.79,0.25,2020-02-28,0.69,3,303.411557851375
0.8,0.25,2020-02-28,0.69,3,275.182860561833
0.81,0.25,2020-02-28,0.69,3,247.768772994038
0.82,0.25,2020-02-28,0.69,3,221.175878391698
0.83,0.25,2020-02-28,0.69,3,195.418579112794
0.84,0.25,2020-02-28,0.69,3,170.522957107692
0.85,0.25,2020-02-28,0.69,3,146.53341369653
0.86,0.25,2020-02-28,0.69,3,123.528367292178
0.87,0.25,2020-02-28,0.69,3,101.658117257144
0.88,0.25,2020-02-28,0.69,3,81.340845293704
0.89,0.25,2020-02-28,0.69,3,67.4711448802876
0.9,0.25,2020-02-28,0.69,3,61.4213305197143
0.91,0.25,2020-02-28,0.69,3,55.5177004342747
0.92,0.25,2020-02-28,0.69,3,49.7588986875486
0.93,0.25,2020-02-28,0.69,3,44.1442000880118
0.94,0.25,2020-02-28,0.69,3,38.6741082724317
0.95,0.25,2020-02-28,0.69,3,33.3513194462064
0.55,0.3,2020-02-28,0.69,3,1247.01774920895
0.56,0.3,2020-02-28,0.69,3,1196.22952972566
0.57,0.3,2020-02-28,0.69,3,1146.55516353307
0.58,0.3,2020-02-28,0.69,3,1097.98057340754
0.59,0.3,2020-02-28,0.69,3,1050.48614428462
0.6,0.3,2020-02-28,0.69,3,1004.05723310498
0.61,0.3,2020-02-28,0.69,3,958.675929350126
0.62,0.3,2020-02-28,0.69,3,914.325583812182
0.63,0.3,2020-02-28,0.69,3,870.990053576225
0.64,0.3,2020-02-28,0.69,3,828.652799006785
0.65,0.3,2020-02-28,0.69,3,787.29796596237
0.66,0.3,2020-02-28,0.69,3,746.909143114263
0.67,0.3,2020-02-28,0.69,3,707.471654904167
0.68,0.3,2020-02-28,0.69,3,668.970582578058
0.69,0.3,2020-02-28,0.69,3,631.389699888466
0.7,0.3,2020-02-28,0.69,3,594.715967591987
0.71,0.3,2020-02-28,0.69,3,558.93484986556
0.72,0.3,2020-02-28,0.69,3,524.033365888591
0.73,0.3,2020-02-28,0.69,3,489.999336281793
0.74,0.3,2020-02-28,0.69,3,456.819521708398
0.75,0.3,2020-02-28,0.69,3,424.484520056313
0.76,0.3,2020-02-28,0.69,3,392.983362569171
0.77,0.3,2020-02-28,0.69,3,362.308447909556
0.78,0.3,2020-02-28,0.69,3,332.452732094294
0.79,0.3,2020-02-28,0.69,3,303.411557851375
0.8,0.3,2020-02-28,0.69,3,275.182860561833
0.81,0.3,2020-02-28,0.69,3,247.768772994038
0.82,0.3,2020-02-28,0.69,3,221.175878391698
0.83,0.3,2020-02-28,0.69,3,195.418579112794
0.84,0.3,2020-02-28,0.69,3,170.522957107692
0.85,0.3,2020-02-28,0.69,3,146.53341369653
0.86,0.3,2020-02-28,0.69,3,123.528367292178
0.87,0.3,2020-02-28,0.69,3,101.658117257144
0.88,0.3,2020-02-28,0.69,3,81.340845293704
0.89,0.3,2020-02-28,0.69,3,67.4711448802876
0.9,0.3,2020-02-28,0.69,3,61.4213305197143
0.91,0.3,2020-02-28,0.69,3,55.5177004342747
0.92,0.3,2020-02-28,0.69,3,49.7588986875486
0.93,0.3,2020-02-28,0.69,3,44.1442000880118
0.94,0.3,2020-02-28,0.69,3,38.6741082724317
0.95,0.3,2020-02-28,0.69,3,33.3513194462064
0.55,0.35,2020-02-28,0.69,3,1247.01774920895
0.56,0.35,2020-02-28,0.69,3,1196.22952972566
0.57,0.35,2020-02-28,0.69,3,1146.55516353307
0.58,0.35,2020-02-28,0.69,3,1097.98057340754
0.59,0.35,2020-02-28,0.69,3,1050.48614428462
0.6,0.35,2020-02-28,0.69,3,1004.05723310498
0.61,0.35,2020-02-28,0.69,3,958.675929350126
0.62,0.35,2020-02-28,0.69,3,914.325583812182
0.63,0.35,2020-02-28,0.69,3,870.990053576225
0.64,0.35,2020-02-28,0.69,3,828.652799006785
0.65,0.35,2020-02-28,0.69,3,787.29796596237
0.66,0.35,2020-02-28,0.69,3,746.909143114263
0.67,0.35,2020-02-28,0.69,3,707.471654904167
0.68,0.35,2020-02-28,0.69,3,668.970582578058
0.69,0.35,2020-02-28,0.69,3,631.389699888466
0.7,0.35,2020-02-28,0.69,3,594.715967591987
0.71,0.35,2020-02-28,0.69,3,558.93484986556
0.72,0.35,2020-02-28,0.69,3,524.033365888591
0.73,0.35,2020-02-28,0.69,3,489.999336281793
0.74,0.35,2020-02-28,0.69,3,456.819521708398
0.75,0.35,2020-02-28,0.69,3,424.484520056313
0.76,0.35,2020-02-28,0.69,3,392.983362569171
0.77,0.35,2020-02-28,0.69,3,362.308447909556
0.78,0.35,2020-02-28,0.69,3,332.452732094294
0.79,0.35,2020-02-28,0.69,3,303.411557851375
0.8,0.35,2020-02-28,0.69,3,275.182860561833
0.81,0.35,2020-02-28,0.69,3,247.768772994038
0.82,0.35,2020-02-28,0.69,3,221.175878391698
0.83,0.35,2020-02-28,0.69,3,195.418579112794
0.84,0.35,2020-02-28,0.69,3,170.522957107692
0.85,0.35,2020-02-28,0.69,3,146.53341369653
0.86,0.35,2020-02-28,0.69,3,123.528367292178
0.87,0.35,2020-02-28,0.69,3,101.658117257144
0.88,0.35,2020-02-28,0.69,3,81.340845293704
0.89,0.35,2020-02-28,0.69,3,67.4711448802876
0.9,0.35,2020-02-28,0.69,3,61.4213305197143
0.91,0.35,2020-02-28,0.69,3,55.5177004342747
0.92,0.35,2020-02-28,0.69,3,49.7588986875486
0.93,0.35,2020-02-28,0.69,3,44.1442000880118
0.94,0.35,2020-02-28,0.69,3,38.6741082724317
0.95,0.35,2020-02-28,0.69,3,33.3513194462064
0.55,0.4,2020-02-28,0.69,3,1247.01774920895
0.56,0.4,2020-02-28,0.69,3,1196.22952972566
0.57,0.4,2020-02-28,0.69,3,1146.55516353307
0.58,0.4,2020-02-28,0.69,3,1097.98057340754
0.59,0.4,2020-02-28,0.69,3,1050.48614428462
0.6,0.4,2020-02-28,0.69,3,1004.05723310498
0.61,0.4,2020-02-28,0.69,3,958.675929350126
0.62,0.4,2020-02-28,0.69,3,914.325583812182
0.63,0.4,2020-02-28,0.69,3,870.990053576225
0.64,0.4,2020-02-28,0.69,3,828.652799006785
0.65,0.4,2020-02-28,0.69,3,787.29796596237
0.66,0.4,2020-02-28,0.69,3,746.909143114263
0.67,0.4,2020-02-28,0.69,3,707.471654904167
0.68,0.4,2020-02-28,0.69,3,668.970582578058
0.69,0.4,2020-02-28,0.69,3,631.389699888466
0.7,0.4,2020-02-28,0.69,3,594.715967591987
0.71,0.4,2020-02-28,0.69,3,558.93484986556
0.72,0.4,2020-02-28,0.69,3,524.033365888591
0.73,0.4,2020-02-28,0.69,3,489.999336281793
0.74,0.4,2020-02-28,0.69,3,456.819521708398
0.75,0.4,2020-02-28,0.69,3,424.484520056313
0.76,0.4,2020-02-28,0.69,3,392.983362569171
0.77,0.4,2020-02-28,0.69,3,362.308447909556
0.78,0.4,2020-02-28,0.69,3,332.452732094294
0.79,0.4,2020-02-28,0.69,3,303.411557851375
0.8,0.4,2020-02-28,0.69,3,275.182860561833
0.81,0.4,2020-02-28,0.69,3,247.768772994038
0.82,0.4,2020-02-28,0.69,3,221.175878391698
0.83,0.4,2020-02-28,0.69,3,195.418579112794
0.84,0.4,2020-02-28,0.69,3,170.522957107692
0.85,0.4,2020-02-28,0.69,3,146.53341369653
0.86,0.4,2020-02-28,0.69,3,123.528367292178
0.87,0.4,2020-02-28,0.69,3,101.658117257144
0.88,0.4,2020-02-28,0.69,3,81.340845293704
0.89,0.4,2020-02-28,0.69,3,67.4711448802876
0.9,0.4,2020-02-28,0.69,3,61.4213305197143
0.91,0.4,2020-02-28,0.69,3,55.5177004342747
0.92,0.4,2020-02-28,0.69,3,49.7588986875486
0.93,0.4,2020-02-28,0.69,3,44.1442000880118
0.94,0.4,2020-02-28,0.69,3,38.6741082724317
0.95,0.4,2020-02-28,0.69,3,33.3513194462064
0.55,0.45,2020-02-28,0.69,3,1247.01774920895
0.56,0.45,2020-02-28,0.69,3,1196.22952972566
0.57,0.45,2020-02-28,0.69,3,1146.55516353307
0.58,0.45,2020-02-28,0.69,3,1097.98057340754
0.59,0.45,2020-02-28,0.69,3,1050.48614428462
0.6,0.45,2020-02-28,0.69,3,1004.05723310498
0.61,0.45,2020-02-28,0.69,3,958.675929350126
0.62,0.45,2020-02-28,0.69,3,914.325583812182
0.63,0.45,2020-02-28,0.69,3,870.990053576225
0.64,0.45,2020-02-28,0.69,3,828.652799006785
0.65,0.45,2020-02-28,0.69,3,787.29796596237
0.66,0.45,2020-02-28,0.69,3,746.909143114263
0.67,0.45,2020-02-28,0.69,3,707.471654904167
0.68,0.45,2020-02-28,0.69,3,668.970582578058
0.69,0.45,2020-02-28,0.69,3,631.389699888466
0.7,0.45,2020-02-28,0.69,3,594.715967591987
0.71,0.45,2020-02-28,0.69,3,558.93484986556
0.72,0.45,2020-02-28,0.69,3,524.033365888591
0.73,0.45,2020-02-28,0.69,3,489.999336281793
0.74,0.45,2020-02-28,0.69,3,456.819521708398
0.75,0.45,2020-02-28,0.69,3,424.484520056313
0.76,0.45,2020-02-28,0.69,3,392.983362569171
0.77,0.45,2020-02-28,0.69,3,362.308447909556
0.78,0.45,2020-02-28,0.69,3,332.452732094294
0.79,0.45,2020-02-28,0.69,3,303.411557851375
0.8,0.45,2020-02-28,0.69,3,275.182860561833
0.81,0.45,2020-02-28,0.69,3,247.768772994038
0.82,0.45,2020-02-28,0.69,3,221.175878391698
0.83,0.45,2020-02-28,0.69,3,195.418579112794
0.84,0.45,2020-02-28,0.69,3,170.522957107692
0.85,0.45,2020-02-28,0.69,3,146.53341369653
0.86,0.45,2020-02-28,0.69,3,123.528367292178
0.87,0.45,2020-02-28,0.69,3,101.658117257144
0.88,0.45,2020-02-28,0.69,3,81.340845293704
0.89,0.45,2020-02-28,0.69,3,67.4711448802876
0.9,0.45,2020-02-28,0.69,3,61.4213305197143
0.91,0.45,2020-02-28,0.69,3,55.5177004342747
0.92,0.45,2020-02-28,0.69,3,49.7588986875486
0.93,0.45,2020-02-28,0.69,3,44.1442000880118
0.94,0.45,2020-02-28,0.69,3,38.6741082724317
0.95,0.45,2020-02-28,0.69,3,33.3513194462064
0.55,0.5,2020-02-28,0.69,3,1247.01774920895
0.56,0.5,2020-02-28,0.69,3,1196.22952972566
0.57,0.5,2020-02-28,0.69,3,1146.55516353307
0.58,0.5,2020-02-28,0.69,3,1097.98057340754
0.59,0.5,2020-02-28,0.69,3,1050.48614428462
0.6,0.5,2020-02-28,0.69,3,1004.05723310498
0.61,0.5,2020-02-28,0.69,3,958.675929350126
0.62,0.5,2020-02-28,0.69,3,914.325583812182
0.63,0.5,2020-02-28,0.69,3,870.990053576225
0.64,0.5,2020-02-28,0.69,3,828.652799006785
0.65,0.5,2020-02-28,0.69,3,787.29796596237
0.66,0.5,2020-02-28,0.69,3,746.909143114263
0.67,0.5,2020-02-28,0.69,3,707.471654904167
0.68,0.5,2020-02-28,0.69,3,668.970582578058
0.69,0.5,2020-02-28,0.69,3,631.389699888466
0.7,0.5,2020-02-28,0.69,3,594.715967591987
0.71,0.5,2020-02-28,0.69,3,558.93484986556
0.72,0.5,2020-02-28,0.69,3,524.033365888591
0.73,0.5,2020-02-28,0.69,3,489.999336281793
0.74,0.5,2020-02-28,0.69,3,456.819521708398
0.75,0.5,2020-02-28,0.69,3,424.484520056313
0.76,0.5,2020-02-28,0.69,3,392.983362569171
0.77,0.5,2020-02-28,0.69,3,362.308447909556
0.78,0.5,2020-02-28,0.69,3,332.452732094294
0.79,0.5,2020-02-28,0.69,3,303.411557851375
0.8,0.5,2020-02-28,0.69,3,275.182860561833
0.81,0.5,2020-02-28,0.69,3,247.768772994038
0.82,0.5,2020-02-28,0.69,3,221.175878391698
0.83,0.5,2020-02-28,0.69,3,195.418579112794
0.84,0.5,2020-02-28,0.69,3,170.522957107692
0.85,0.5,2020-02-28,0.69,3,146.53341369653
0.86,0.5,2020-02-28,0.69,3,123.528367292178
0.87,0.5,2020-02-28,0.69,3,101.658117257144
0.88,0.5,2020-02-28,0.69,3,81.340845293704
0.89,0.5,2020-02-28,0.69,3,67.4711448802876
0.9,0.5,2020-02-28,0.69,3,61.4213305197143
0.91,0.5,2020-02-28,0.69,3,55.5177004342747
0.92,0.5,2020-02-28,0.69,3,49.7588986875486
0.93,0.5,2020-02-28,0.69,3,44.1442000880118
0.94,0.5,2020-02-28,0.69,3,38.6741082724317
0.95,0.5,2020-02-28,0.69,3,33.3513194462064
0.55,0.55,2020-02-28,0.69,3,1247.01774920895
0.56,0.55,2020-02-28,0.69,3,1196.22952972566
0.57,0.55,2020-02-28,0.69,3,1146.55516353307
0.58,0.55,2020-02-28,0.69,3,1097.98057340754
0.59,0.55,2020-02-28,0.69,3,1050.48614428462
0.6,0.55,2020-02-28,0.69,3,1004.05723310498
0.61,0.55,2020-02-28,0.69,3,958.675929350126
0.62,0.55,2020-02-28,0.69,3,914.325583812182
0.63,0.55,2020-02-28,0.69,3,870.990053576225
0.64,0.55,2020-02-28,0.69,3,828.652799006785
0.65,0.55,2020-02-28,0.69,3,787.29796596237
0.66,0.55,2020-02-28,0.69,3,746.909143114263
0.67,0.55,2020-02-28,0.69,3,707.471654904167
0.68,0.55,2020-02-28,0.69,3,668.970582578058
0.69,0.55,2020-02-28,0.69,3,631.389699888466
0.7,0.55,2020-02-28,0.69,3,594.715967591987
0.71,0.55,2020-02-28,0.69,3,558.93484986556
0.72,0.55,2020-02-28,0.69,3,524.033365888591
0.73,0.55,2020-02-28,0.69,3,489.999336281793
0.74,0.55,2020-02-28,0.69,3,456.819521708398
0.75,0.55,2020-02-28,0.69,3,424.484520056313
0.76,0.55,2020-02-28,0.69,3,392.983362569171
0.77,0.55,2020-02-28,0.69,3,362.308447909556
0.78,0.55,2020-02-28,0.69,3,332.452732094294
0.79,0.55,2020-02-28,0.69,3,303.411557851375
0.8,0.55,2020-02-28,0.69,3,275.182860561833
0.81,0.55,2020-02-28,0.69,3,247.768772994038
0.82,0.55,2020-02-28,0.69,3,221.175878391698
0.83,0.55,2020-02-28,0.69,3,195.418579112794
0.84,0.55,2020-02-28,0.69,3,170.522957107692
0.85,0.55,2020-02-28,0.69,3,146.53341369653
0.86,0.55,2020-02-28,0.69,3,123.528367292178
0.87,0.55,2020-02-28,0.69,3,101.658117257144
0.88,0.55,2020-02-28,0.69,3,81.340845293704
0.89,0.55,2020-02-28,0.69,3,67.4711448802876
0.9,0.55,2020-02-28,0.69,3,61.4213305197143
0.91,0.55,2020-02-28,0.69,3,55.5177004342747
0.92,0.55,2020-02-28,0.69,3,49.7588986875486
0.93,0.55,2020-02-28,0.69,3,44.1442000880118
0.94,0.55,2020-02-28,0.69,3,38.6741082724317
0.95,0.55,2020-02-28,0.69,3,33.3513194462064
0.55,0.6,2020-02-28,0.69,3,1247.01774920895
0.56,0.6,2020-02-28,0.69,3,1196.22952972566
0.57,0.6,2020-02-28,0.69,3,1146.55516353307
0.58,0.6,2020-02-28,0.69,3,1097.98057340754
0.59,0.6,2020-02-28,0.69,3,1050.48614428462
0.6,0.6,2020-02-28,0.69,3,1004.05723310498
0.61,0.6,2020-02-28,0.69,3,958.675929350126
0.62,0.6,2020-02-28,0.69,3,914.325583812182
0.63,0.6,2020-02-28,0.69,3,870.990053576225
0.64,0.6,2020-02-28,0.69,3,828.652799006785
0.65,0.6,2020-02-28,0.69,3,787.29796596237
0.66,0.6,2020-02-28,0.69,3,746.909143114263
0.67,0.6,2020-02-28,0.69,3,707.471654904167
0.68,0.6,2020-02-28,0.69,3,668.970582578058
0.69,0.6,2020-02-28,0.69,3,631.389699888466
0.7,0.6,2020-02-28,0.69,3,594.715967591987
0.71,0.6,2020-02-28,0.69,3,558.93484986556
0.72,0.6,2020-02-28,0.69,3,524.033365888591
0.73,0.6,2020-02-28,0.69,3,489.999336281793
0.74,0.6,2020-02-28,0.69,3,456.819521708398
0.75,0.6,2020-02-28,0.69,3,424.484520056313
0.76,0.6,2020-02-28,0.69,3,392.983362569171
0.77,0.6,2020-02-28,0.69,3,362.308447909556
0.78,0.6,2020-02-28,0.69,3,332.452732094294
0.79,0.6,2020-02-28,0.69,3,303.411557851375
0.8,0.6,2020-02-28,0.69,3,275.182860561833
0.81,0.6,2020-02-28,0.69,3,247.768772994038
0.82,0.6,2020-02-28,0.69,3,221.175878391698
0.83,0.6,2020-02-28,0.69,3,195.418579112794
0.84,0.6,2020-02-28,0.69,3,170.522957107692
0.85,0.6,2020-02-28,0.69,3,146.53341369653
0.86,0.6,2020-02-28,0.69,3,123.528367292178
0.87,0.6,2020-02-28,0.69,3,101.658117257144
0.88,0.6,2020-02-28,0.69,3,81.340845293704
0.89,0.6,2020-02-28,0.69,3,67.4711448802876
0.9,0.6,2020-02-28,0.69,3,61.4213305197143
