"region","time","date","period","b1"
"Cabarrus County, NC",0,2020-02-25,"baseline",0.13
"Cabarrus County, NC",1,2020-02-26,"baseline",0.13
"Cabarrus County, NC",2,2020-02-27,"baseline",0.13
"Cabarrus County, NC",3,2020-02-28,"baseline",0.13
"Cabarrus County, NC",4,2020-02-29,"baseline",0.13
"Cabarrus County, NC",5,2020-03-01,"baseline",0.13
"Cabarrus County, NC",6,2020-03-02,"baseline",0.13
"Cabarrus County, NC",7,2020-03-03,"baseline",0.13
"Cabarrus County, NC",8,2020-03-04,"baseline",0.13
"Cabarrus County, NC",9,2020-03-05,"baseline",0.13
"Cabarrus County, NC",10,2020-03-06,"baseline",0.13
"Cabarrus County, NC",11,2020-03-07,"baseline",0.13
"Cabarrus County, NC",12,2020-03-08,"baseline",0.13
"Cabarrus County, NC",13,2020-03-09,"baseline",0.13
"Cabarrus County, NC",14,2020-03-10,"baseline",0.13
"Cabarrus County, NC",15,2020-03-11,"baseline",0.13
"Cabarrus County, NC",16,2020-03-12,"baseline",0.13
"Cabarrus County, NC",17,2020-03-13,"baseline",0.13
"Cabarrus County, NC",18,2020-03-14,"baseline",0.13
"Cabarrus County, NC",19,2020-03-15,"baseline",0.13
"Cabarrus County, NC",19,2020-03-15,"step1",0.06
"Cabarrus County, NC",20,2020-03-16,"step1",0.06
"Cabarrus County, NC",21,2020-03-17,"step1",0.06
"Cabarrus County, NC",21,2020-03-17,"step2",0.05
"Cabarrus County, NC",22,2020-03-18,"step2",0.05
"Cabarrus County, NC",23,2020-03-19,"step2",0.05
"Cabarrus County, NC",23,2020-03-19,"step3",0.02
"Cabarrus County, NC",24,2020-03-20,"step3",0.02
"Cabarrus County, NC",25,2020-03-21,"step3",0.02
"Cabarrus County, NC",25,2020-03-21,"step4",0
"Cabarrus County, NC",26,2020-03-22,"step4",0
"Cabarrus County, NC",27,2020-03-23,"step4",0
"Cabarrus County, NC",27,2020-03-23,"step5",0.07
"Cabarrus County, NC",28,2020-03-24,"step5",0.07
"Cabarrus County, NC",29,2020-03-25,"step5",0.07
"Cabarrus County, NC",29,2020-03-25,"step6",0.25
"Cabarrus County, NC",30,2020-03-26,"step6",0.25
"Cabarrus County, NC",31,2020-03-27,"step6",0.25
"Cabarrus County, NC",31,2020-03-27,"step7",0.28
"Cabarrus County, NC",32,2020-03-28,"step7",0.28
"Cabarrus County, NC",33,2020-03-29,"step7",0.28
"Cabarrus County, NC",33,2020-03-29,"step8",0.28
"Cabarrus County, NC",34,2020-03-30,"step8",0.28
"Cabarrus County, NC",35,2020-03-31,"step8",0.28
"Cabarrus County, NC",35,2020-03-31,"step9",0.28
"Cabarrus County, NC",36,2020-04-01,"step9",0.28
"Cabarrus County, NC",37,2020-04-02,"step9",0.28
"Cabarrus County, NC",37,2020-04-02,"step10",0.3
"Cabarrus County, NC",38,2020-04-03,"step10",0.3
"Cabarrus County, NC",39,2020-04-04,"step10",0.3
"Cabarrus County, NC",39,2020-04-04,"step11",0.3
"Cabarrus County, NC",40,2020-04-05,"step11",0.3
"Cabarrus County, NC",41,2020-04-06,"step11",0.3
"Cabarrus County, NC",41,2020-04-06,"step12",0.28
"Cabarrus County, NC",42,2020-04-07,"step12",0.28
"Cabarrus County, NC",43,2020-04-08,"step12",0.28
"Cabarrus County, NC",43,2020-04-08,"step13",0.26
"Cabarrus County, NC",44,2020-04-09,"step13",0.26
"Cabarrus County, NC",45,2020-04-10,"step13",0.26
"Cabarrus County, NC",45,2020-04-10,"step14",0.23
"Cabarrus County, NC",46,2020-04-11,"step14",0.23
"Cabarrus County, NC",47,2020-04-12,"step14",0.23
"Cabarrus County, NC",47,2020-04-12,"step15",0.21
"Cabarrus County, NC",48,2020-04-13,"step15",0.21
"Cabarrus County, NC",49,2020-04-14,"step15",0.21
"Cabarrus County, NC",49,2020-04-14,"step16",0.19
"Cabarrus County, NC",50,2020-04-15,"step16",0.19
"Cabarrus County, NC",51,2020-04-16,"step16",0.19
"Cabarrus County, NC",51,2020-04-16,"step17",0.17
"Cabarrus County, NC",52,2020-04-17,"step17",0.17
"Cabarrus County, NC",53,2020-04-18,"step17",0.17
"Cabarrus County, NC",53,2020-04-18,"step18",0.16
"Cabarrus County, NC",54,2020-04-19,"step18",0.16
"Cabarrus County, NC",55,2020-04-20,"step18",0.16
"Cabarrus County, NC",55,2020-04-20,"step19",0.14
"Cabarrus County, NC",56,2020-04-21,"step19",0.14
"Cabarrus County, NC",57,2020-04-22,"step19",0.14
"Cabarrus County, NC",57,2020-04-22,"step20",0.14
"Cabarrus County, NC",58,2020-04-23,"step20",0.14
"Cabarrus County, NC",59,2020-04-24,"step20",0.14
"Cabarrus County, NC",59,2020-04-24,"step21",0.13
"Cabarrus County, NC",60,2020-04-25,"step21",0.13
"Cabarrus County, NC",61,2020-04-26,"step21",0.13
"Cabarrus County, NC",61,2020-04-26,"step22",0.13
"Cabarrus County, NC",62,2020-04-27,"step22",0.13
"Cabarrus County, NC",63,2020-04-28,"step22",0.13
"Cabarrus County, NC",63,2020-04-28,"step23",0.11
"Cabarrus County, NC",64,2020-04-29,"step23",0.11
"Cabarrus County, NC",65,2020-04-30,"step23",0.11
"Cabarrus County, NC",65,2020-04-30,"step24",0.01
"Cabarrus County, NC",66,2020-05-01,"step24",0.01
"Cabarrus County, NC",67,2020-05-02,"step24",0.01
"Cabarrus County, NC",67,2020-05-02,"step25",0
"Cabarrus County, NC",68,2020-05-03,"step25",0
"Cabarrus County, NC",69,2020-05-04,"step25",0
"Cabarrus County, NC",69,2020-05-04,"step26",0
"Cabarrus County, NC",70,2020-05-05,"step26",0
"Cabarrus County, NC",71,2020-05-06,"step26",0
"Cabarrus County, NC",71,2020-05-06,"step27",0
"Cabarrus County, NC",72,2020-05-07,"step27",0
"Cabarrus County, NC",73,2020-05-08,"step27",0
"Cabarrus County, NC",73,2020-05-08,"step28",0
"Cabarrus County, NC",74,2020-05-09,"step28",0
"Cabarrus County, NC",75,2020-05-10,"step28",0
