"region","time","date","period","b1"
"Cameron County, TX",0,2020-03-13,"baseline",0.67
"Cameron County, TX",1,2020-03-14,"baseline",0.67
"Cameron County, TX",2,2020-03-15,"baseline",0.67
"Cameron County, TX",3,2020-03-16,"baseline",0.67
"Cameron County, TX",4,2020-03-17,"baseline",0.67
"Cameron County, TX",5,2020-03-18,"baseline",0.67
"Cameron County, TX",6,2020-03-19,"baseline",0.67
"Cameron County, TX",7,2020-03-20,"baseline",0.67
"Cameron County, TX",8,2020-03-21,"baseline",0.67
"Cameron County, TX",9,2020-03-22,"baseline",0.67
"Cameron County, TX",9,2020-03-22,"step1",0.27
"Cameron County, TX",10,2020-03-23,"step1",0.27
"Cameron County, TX",11,2020-03-24,"step1",0.27
"Cameron County, TX",11,2020-03-24,"step2",0.28
"Cameron County, TX",12,2020-03-25,"step2",0.28
"Cameron County, TX",13,2020-03-26,"step2",0.28
"Cameron County, TX",13,2020-03-26,"step3",0.24
"Cameron County, TX",14,2020-03-27,"step3",0.24
"Cameron County, TX",15,2020-03-28,"step3",0.24
"Cameron County, TX",15,2020-03-28,"step4",0.23
"Cameron County, TX",16,2020-03-29,"step4",0.23
"Cameron County, TX",17,2020-03-30,"step4",0.23
"Cameron County, TX",17,2020-03-30,"step5",0.22
"Cameron County, TX",18,2020-03-31,"step5",0.22
"Cameron County, TX",19,2020-04-01,"step5",0.22
"Cameron County, TX",19,2020-04-01,"step6",0.2
"Cameron County, TX",20,2020-04-02,"step6",0.2
"Cameron County, TX",21,2020-04-03,"step6",0.2
"Cameron County, TX",21,2020-04-03,"step7",0.2
"Cameron County, TX",22,2020-04-04,"step7",0.2
"Cameron County, TX",23,2020-04-05,"step7",0.2
"Cameron County, TX",23,2020-04-05,"step8",0.18
"Cameron County, TX",24,2020-04-06,"step8",0.18
"Cameron County, TX",25,2020-04-07,"step8",0.18
"Cameron County, TX",25,2020-04-07,"step9",0.17
"Cameron County, TX",26,2020-04-08,"step9",0.17
"Cameron County, TX",27,2020-04-09,"step9",0.17
"Cameron County, TX",27,2020-04-09,"step10",0.15
"Cameron County, TX",28,2020-04-10,"step10",0.15
"Cameron County, TX",29,2020-04-11,"step10",0.15
"Cameron County, TX",29,2020-04-11,"step11",0.13
"Cameron County, TX",30,2020-04-12,"step11",0.13
"Cameron County, TX",31,2020-04-13,"step11",0.13
"Cameron County, TX",31,2020-04-13,"step12",0.1
"Cameron County, TX",32,2020-04-14,"step12",0.1
"Cameron County, TX",33,2020-04-15,"step12",0.1
"Cameron County, TX",33,2020-04-15,"step13",0.08
"Cameron County, TX",34,2020-04-16,"step13",0.08
"Cameron County, TX",35,2020-04-17,"step13",0.08
"Cameron County, TX",35,2020-04-17,"step14",0.06
"Cameron County, TX",36,2020-04-18,"step14",0.06
"Cameron County, TX",37,2020-04-19,"step14",0.06
"Cameron County, TX",37,2020-04-19,"step15",0.06
"Cameron County, TX",38,2020-04-20,"step15",0.06
"Cameron County, TX",39,2020-04-21,"step15",0.06
"Cameron County, TX",39,2020-04-21,"step16",0.06
"Cameron County, TX",40,2020-04-22,"step16",0.06
"Cameron County, TX",41,2020-04-23,"step16",0.06
"Cameron County, TX",41,2020-04-23,"step17",0.06
"Cameron County, TX",42,2020-04-24,"step17",0.06
"Cameron County, TX",43,2020-04-25,"step17",0.06
"Cameron County, TX",43,2020-04-25,"step18",0.06
"Cameron County, TX",44,2020-04-26,"step18",0.06
"Cameron County, TX",45,2020-04-27,"step18",0.06
"Cameron County, TX",45,2020-04-27,"step19",0.07
"Cameron County, TX",46,2020-04-28,"step19",0.07
"Cameron County, TX",47,2020-04-29,"step19",0.07
"Cameron County, TX",47,2020-04-29,"step20",0.08
"Cameron County, TX",48,2020-04-30,"step20",0.08
"Cameron County, TX",49,2020-05-01,"step20",0.08
"Cameron County, TX",49,2020-05-01,"step21",0.13
"Cameron County, TX",50,2020-05-02,"step21",0.13
"Cameron County, TX",51,2020-05-03,"step21",0.13
"Cameron County, TX",51,2020-05-03,"step22",0.33
"Cameron County, TX",52,2020-05-04,"step22",0.33
"Cameron County, TX",53,2020-05-05,"step22",0.33
"Cameron County, TX",53,2020-05-05,"step23",1
"Cameron County, TX",54,2020-05-06,"step23",1
"Cameron County, TX",55,2020-05-07,"step23",1
"Cameron County, TX",55,2020-05-07,"step24",1.33
"Cameron County, TX",56,2020-05-08,"step24",1.33
"Cameron County, TX",57,2020-05-09,"step24",1.33
"Cameron County, TX",57,2020-05-09,"step25",1.3
"Cameron County, TX",58,2020-05-10,"step25",1.3
"Cameron County, TX",59,2020-05-11,"step25",1.3
