"region","time","date","period","b1"
"Carbon County, PA",0,2020-03-07,"baseline",0.13
"Carbon County, PA",1,2020-03-08,"baseline",0.13
"Carbon County, PA",2,2020-03-09,"baseline",0.13
"Carbon County, PA",3,2020-03-10,"baseline",0.13
"Carbon County, PA",4,2020-03-11,"baseline",0.13
"Carbon County, PA",5,2020-03-12,"baseline",0.13
"Carbon County, PA",6,2020-03-13,"baseline",0.13
"Carbon County, PA",7,2020-03-14,"baseline",0.13
"Carbon County, PA",8,2020-03-15,"baseline",0.13
"Carbon County, PA",9,2020-03-16,"baseline",0.13
"Carbon County, PA",10,2020-03-17,"baseline",0.13
"Carbon County, PA",11,2020-03-18,"baseline",0.13
"Carbon County, PA",12,2020-03-19,"baseline",0.13
"Carbon County, PA",13,2020-03-20,"baseline",0.13
"Carbon County, PA",14,2020-03-21,"baseline",0.13
"Carbon County, PA",15,2020-03-22,"baseline",0.13
"Carbon County, PA",16,2020-03-23,"baseline",0.13
"Carbon County, PA",17,2020-03-24,"baseline",0.13
"Carbon County, PA",18,2020-03-25,"baseline",0.13
"Carbon County, PA",19,2020-03-26,"baseline",0.13
"Carbon County, PA",19,2020-03-26,"step1",0.16
"Carbon County, PA",20,2020-03-27,"step1",0.16
"Carbon County, PA",21,2020-03-28,"step1",0.16
"Carbon County, PA",21,2020-03-28,"step2",0.24
"Carbon County, PA",22,2020-03-29,"step2",0.24
"Carbon County, PA",23,2020-03-30,"step2",0.24
"Carbon County, PA",23,2020-03-30,"step3",0.23
"Carbon County, PA",24,2020-03-31,"step3",0.23
"Carbon County, PA",25,2020-04-01,"step3",0.23
"Carbon County, PA",25,2020-04-01,"step4",0.21
"Carbon County, PA",26,2020-04-02,"step4",0.21
"Carbon County, PA",27,2020-04-03,"step4",0.21
"Carbon County, PA",27,2020-04-03,"step5",0.19
"Carbon County, PA",28,2020-04-04,"step5",0.19
"Carbon County, PA",29,2020-04-05,"step5",0.19
"Carbon County, PA",29,2020-04-05,"step6",0.18
"Carbon County, PA",30,2020-04-06,"step6",0.18
"Carbon County, PA",31,2020-04-07,"step6",0.18
"Carbon County, PA",31,2020-04-07,"step7",0.16
"Carbon County, PA",32,2020-04-08,"step7",0.16
"Carbon County, PA",33,2020-04-09,"step7",0.16
"Carbon County, PA",33,2020-04-09,"step8",0.15
"Carbon County, PA",34,2020-04-10,"step8",0.15
"Carbon County, PA",35,2020-04-11,"step8",0.15
"Carbon County, PA",35,2020-04-11,"step9",0.13
"Carbon County, PA",36,2020-04-12,"step9",0.13
"Carbon County, PA",37,2020-04-13,"step9",0.13
"Carbon County, PA",37,2020-04-13,"step10",0.11
"Carbon County, PA",38,2020-04-14,"step10",0.11
"Carbon County, PA",39,2020-04-15,"step10",0.11
"Carbon County, PA",39,2020-04-15,"step11",0.09
"Carbon County, PA",40,2020-04-16,"step11",0.09
"Carbon County, PA",41,2020-04-17,"step11",0.09
"Carbon County, PA",41,2020-04-17,"step12",0.08
"Carbon County, PA",42,2020-04-18,"step12",0.08
"Carbon County, PA",43,2020-04-19,"step12",0.08
"Carbon County, PA",43,2020-04-19,"step13",0.05
"Carbon County, PA",44,2020-04-20,"step13",0.05
"Carbon County, PA",45,2020-04-21,"step13",0.05
"Carbon County, PA",45,2020-04-21,"step14",0.04
"Carbon County, PA",46,2020-04-22,"step14",0.04
"Carbon County, PA",47,2020-04-23,"step14",0.04
"Carbon County, PA",47,2020-04-23,"step15",0.02
"Carbon County, PA",48,2020-04-24,"step15",0.02
"Carbon County, PA",49,2020-04-25,"step15",0.02
"Carbon County, PA",49,2020-04-25,"step16",0
"Carbon County, PA",50,2020-04-26,"step16",0
"Carbon County, PA",51,2020-04-27,"step16",0
"Carbon County, PA",51,2020-04-27,"step17",0
"Carbon County, PA",52,2020-04-28,"step17",0
"Carbon County, PA",53,2020-04-29,"step17",0
"Carbon County, PA",53,2020-04-29,"step18",0
"Carbon County, PA",54,2020-04-30,"step18",0
"Carbon County, PA",55,2020-05-01,"step18",0
"Carbon County, PA",55,2020-05-01,"step19",0
"Carbon County, PA",56,2020-05-02,"step19",0
"Carbon County, PA",57,2020-05-03,"step19",0
"Carbon County, PA",57,2020-05-03,"step20",0
"Carbon County, PA",58,2020-05-04,"step20",0
"Carbon County, PA",59,2020-05-05,"step20",0
"Carbon County, PA",59,2020-05-05,"step21",0
"Carbon County, PA",60,2020-05-06,"step21",0
"Carbon County, PA",61,2020-05-07,"step21",0
"Carbon County, PA",61,2020-05-07,"step22",0
"Carbon County, PA",62,2020-05-08,"step22",0
"Carbon County, PA",63,2020-05-09,"step22",0
"Carbon County, PA",63,2020-05-09,"step23",0
"Carbon County, PA",64,2020-05-10,"step23",0
"Carbon County, PA",65,2020-05-11,"step23",0
