"region","time","date","period","b1"
"Clarendon County, SC",0,2020-03-12,"baseline",0.27
"Clarendon County, SC",1,2020-03-13,"baseline",0.27
"Clarendon County, SC",2,2020-03-14,"baseline",0.27
"Clarendon County, SC",3,2020-03-15,"baseline",0.27
"Clarendon County, SC",4,2020-03-16,"baseline",0.27
"Clarendon County, SC",5,2020-03-17,"baseline",0.27
"Clarendon County, SC",6,2020-03-18,"baseline",0.27
"Clarendon County, SC",7,2020-03-19,"baseline",0.27
"Clarendon County, SC",8,2020-03-20,"baseline",0.27
"Clarendon County, SC",9,2020-03-21,"baseline",0.27
"Clarendon County, SC",10,2020-03-22,"baseline",0.27
"Clarendon County, SC",10,2020-03-22,"step1",0
"Clarendon County, SC",11,2020-03-23,"step1",0
"Clarendon County, SC",12,2020-03-24,"step1",0
"Clarendon County, SC",12,2020-03-24,"step2",0.02
"Clarendon County, SC",13,2020-03-25,"step2",0.02
"Clarendon County, SC",14,2020-03-26,"step2",0.02
"Clarendon County, SC",14,2020-03-26,"step3",0.05
"Clarendon County, SC",15,2020-03-27,"step3",0.05
"Clarendon County, SC",16,2020-03-28,"step3",0.05
"Clarendon County, SC",16,2020-03-28,"step4",0.07
"Clarendon County, SC",17,2020-03-29,"step4",0.07
"Clarendon County, SC",18,2020-03-30,"step4",0.07
"Clarendon County, SC",18,2020-03-30,"step5",0.08
"Clarendon County, SC",19,2020-03-31,"step5",0.08
"Clarendon County, SC",20,2020-04-01,"step5",0.08
"Clarendon County, SC",20,2020-04-01,"step6",0.11
"Clarendon County, SC",21,2020-04-02,"step6",0.11
"Clarendon County, SC",22,2020-04-03,"step6",0.11
"Clarendon County, SC",22,2020-04-03,"step7",0.12
"Clarendon County, SC",23,2020-04-04,"step7",0.12
"Clarendon County, SC",24,2020-04-05,"step7",0.12
"Clarendon County, SC",24,2020-04-05,"step8",0.13
"Clarendon County, SC",25,2020-04-06,"step8",0.13
"Clarendon County, SC",26,2020-04-07,"step8",0.13
"Clarendon County, SC",26,2020-04-07,"step9",0.18
"Clarendon County, SC",27,2020-04-08,"step9",0.18
"Clarendon County, SC",28,2020-04-09,"step9",0.18
"Clarendon County, SC",28,2020-04-09,"step10",0.22
"Clarendon County, SC",29,2020-04-10,"step10",0.22
"Clarendon County, SC",30,2020-04-11,"step10",0.22
"Clarendon County, SC",30,2020-04-11,"step11",0.25
"Clarendon County, SC",31,2020-04-12,"step11",0.25
"Clarendon County, SC",32,2020-04-13,"step11",0.25
"Clarendon County, SC",32,2020-04-13,"step12",0.24
"Clarendon County, SC",33,2020-04-14,"step12",0.24
"Clarendon County, SC",34,2020-04-15,"step12",0.24
"Clarendon County, SC",34,2020-04-15,"step13",0.22
"Clarendon County, SC",35,2020-04-16,"step13",0.22
"Clarendon County, SC",36,2020-04-17,"step13",0.22
"Clarendon County, SC",36,2020-04-17,"step14",0.19
"Clarendon County, SC",37,2020-04-18,"step14",0.19
"Clarendon County, SC",38,2020-04-19,"step14",0.19
"Clarendon County, SC",38,2020-04-19,"step15",0.15
"Clarendon County, SC",39,2020-04-20,"step15",0.15
"Clarendon County, SC",40,2020-04-21,"step15",0.15
"Clarendon County, SC",40,2020-04-21,"step16",0.14
"Clarendon County, SC",41,2020-04-22,"step16",0.14
"Clarendon County, SC",42,2020-04-23,"step16",0.14
"Clarendon County, SC",42,2020-04-23,"step17",0.14
"Clarendon County, SC",43,2020-04-24,"step17",0.14
"Clarendon County, SC",44,2020-04-25,"step17",0.14
"Clarendon County, SC",44,2020-04-25,"step18",0.12
"Clarendon County, SC",45,2020-04-26,"step18",0.12
"Clarendon County, SC",46,2020-04-27,"step18",0.12
"Clarendon County, SC",46,2020-04-27,"step19",0.1
"Clarendon County, SC",47,2020-04-28,"step19",0.1
"Clarendon County, SC",48,2020-04-29,"step19",0.1
"Clarendon County, SC",48,2020-04-29,"step20",0.05
"Clarendon County, SC",49,2020-04-30,"step20",0.05
"Clarendon County, SC",50,2020-05-01,"step20",0.05
"Clarendon County, SC",50,2020-05-01,"step21",0
"Clarendon County, SC",51,2020-05-02,"step21",0
"Clarendon County, SC",52,2020-05-03,"step21",0
"Clarendon County, SC",52,2020-05-03,"step22",0
"Clarendon County, SC",53,2020-05-04,"step22",0
"Clarendon County, SC",54,2020-05-05,"step22",0
"Clarendon County, SC",54,2020-05-05,"step23",0
"Clarendon County, SC",55,2020-05-06,"step23",0
"Clarendon County, SC",56,2020-05-07,"step23",0
"Clarendon County, SC",56,2020-05-07,"step24",0
"Clarendon County, SC",57,2020-05-08,"step24",0
"Clarendon County, SC",58,2020-05-09,"step24",0
"Clarendon County, SC",58,2020-05-09,"step25",0
"Clarendon County, SC",59,2020-05-10,"step25",0
"Clarendon County, SC",60,2020-05-11,"step25",0
