"region","time","date","period","b1"
"Escambia County, FL",0,2020-03-07,"baseline",0.47
"Escambia County, FL",1,2020-03-08,"baseline",0.47
"Escambia County, FL",2,2020-03-09,"baseline",0.47
"Escambia County, FL",3,2020-03-10,"baseline",0.47
"Escambia County, FL",4,2020-03-11,"baseline",0.47
"Escambia County, FL",5,2020-03-12,"baseline",0.47
"Escambia County, FL",6,2020-03-13,"baseline",0.47
"Escambia County, FL",7,2020-03-14,"baseline",0.47
"Escambia County, FL",8,2020-03-15,"baseline",0.47
"Escambia County, FL",9,2020-03-16,"baseline",0.47
"Escambia County, FL",10,2020-03-17,"baseline",0.47
"Escambia County, FL",11,2020-03-18,"baseline",0.47
"Escambia County, FL",11,2020-03-18,"step1",0.06
"Escambia County, FL",12,2020-03-19,"step1",0.06
"Escambia County, FL",13,2020-03-20,"step1",0.06
"Escambia County, FL",13,2020-03-20,"step2",0.29
"Escambia County, FL",14,2020-03-21,"step2",0.29
"Escambia County, FL",15,2020-03-22,"step2",0.29
"Escambia County, FL",15,2020-03-22,"step3",0.25
"Escambia County, FL",16,2020-03-23,"step3",0.25
"Escambia County, FL",17,2020-03-24,"step3",0.25
"Escambia County, FL",17,2020-03-24,"step4",0.21
"Escambia County, FL",18,2020-03-25,"step4",0.21
"Escambia County, FL",19,2020-03-26,"step4",0.21
"Escambia County, FL",19,2020-03-26,"step5",0.21
"Escambia County, FL",20,2020-03-27,"step5",0.21
"Escambia County, FL",21,2020-03-28,"step5",0.21
"Escambia County, FL",21,2020-03-28,"step6",0.2
"Escambia County, FL",22,2020-03-29,"step6",0.2
"Escambia County, FL",23,2020-03-30,"step6",0.2
"Escambia County, FL",23,2020-03-30,"step7",0.2
"Escambia County, FL",24,2020-03-31,"step7",0.2
"Escambia County, FL",25,2020-04-01,"step7",0.2
"Escambia County, FL",25,2020-04-01,"step8",0.18
"Escambia County, FL",26,2020-04-02,"step8",0.18
"Escambia County, FL",27,2020-04-03,"step8",0.18
"Escambia County, FL",27,2020-04-03,"step9",0.16
"Escambia County, FL",28,2020-04-04,"step9",0.16
"Escambia County, FL",29,2020-04-05,"step9",0.16
"Escambia County, FL",29,2020-04-05,"step10",0.13
"Escambia County, FL",30,2020-04-06,"step10",0.13
"Escambia County, FL",31,2020-04-07,"step10",0.13
"Escambia County, FL",31,2020-04-07,"step11",0.1
"Escambia County, FL",32,2020-04-08,"step11",0.1
"Escambia County, FL",33,2020-04-09,"step11",0.1
"Escambia County, FL",33,2020-04-09,"step12",0.07
"Escambia County, FL",34,2020-04-10,"step12",0.07
"Escambia County, FL",35,2020-04-11,"step12",0.07
"Escambia County, FL",35,2020-04-11,"step13",0.06
"Escambia County, FL",36,2020-04-12,"step13",0.06
"Escambia County, FL",37,2020-04-13,"step13",0.06
"Escambia County, FL",37,2020-04-13,"step14",0.05
"Escambia County, FL",38,2020-04-14,"step14",0.05
"Escambia County, FL",39,2020-04-15,"step14",0.05
"Escambia County, FL",39,2020-04-15,"step15",0.06
"Escambia County, FL",40,2020-04-16,"step15",0.06
"Escambia County, FL",41,2020-04-17,"step15",0.06
"Escambia County, FL",41,2020-04-17,"step16",0.1
"Escambia County, FL",42,2020-04-18,"step16",0.1
"Escambia County, FL",43,2020-04-19,"step16",0.1
"Escambia County, FL",43,2020-04-19,"step17",0.12
"Escambia County, FL",44,2020-04-20,"step17",0.12
"Escambia County, FL",45,2020-04-21,"step17",0.12
"Escambia County, FL",45,2020-04-21,"step18",0.13
"Escambia County, FL",46,2020-04-22,"step18",0.13
"Escambia County, FL",47,2020-04-23,"step18",0.13
"Escambia County, FL",47,2020-04-23,"step19",0.13
"Escambia County, FL",48,2020-04-24,"step19",0.13
"Escambia County, FL",49,2020-04-25,"step19",0.13
"Escambia County, FL",49,2020-04-25,"step20",0.15
"Escambia County, FL",50,2020-04-26,"step20",0.15
"Escambia County, FL",51,2020-04-27,"step20",0.15
"Escambia County, FL",51,2020-04-27,"step21",0.16
"Escambia County, FL",52,2020-04-28,"step21",0.16
"Escambia County, FL",53,2020-04-29,"step21",0.16
"Escambia County, FL",53,2020-04-29,"step22",0.19
"Escambia County, FL",54,2020-04-30,"step22",0.19
"Escambia County, FL",55,2020-05-01,"step22",0.19
"Escambia County, FL",55,2020-05-01,"step23",0.24
"Escambia County, FL",56,2020-05-02,"step23",0.24
"Escambia County, FL",57,2020-05-03,"step23",0.24
"Escambia County, FL",57,2020-05-03,"step24",0.31
"Escambia County, FL",58,2020-05-04,"step24",0.31
"Escambia County, FL",59,2020-05-05,"step24",0.31
"Escambia County, FL",59,2020-05-05,"step25",0.48
"Escambia County, FL",60,2020-05-06,"step25",0.48
"Escambia County, FL",61,2020-05-07,"step25",0.48
"Escambia County, FL",61,2020-05-07,"step26",0.4
"Escambia County, FL",62,2020-05-08,"step26",0.4
"Escambia County, FL",63,2020-05-09,"step26",0.4
"Escambia County, FL",63,2020-05-09,"step27",0
"Escambia County, FL",64,2020-05-10,"step27",0
"Escambia County, FL",65,2020-05-11,"step27",0
