"region","time","date","period","b1"
"Graves County, KY",0,2020-03-16,"baseline",-0.03
"Graves County, KY",1,2020-03-17,"baseline",-0.03
"Graves County, KY",2,2020-03-18,"baseline",-0.03
"Graves County, KY",3,2020-03-19,"baseline",-0.03
"Graves County, KY",4,2020-03-20,"baseline",-0.03
"Graves County, KY",5,2020-03-21,"baseline",-0.03
"Graves County, KY",6,2020-03-22,"baseline",-0.03
"Graves County, KY",7,2020-03-23,"baseline",-0.03
"Graves County, KY",8,2020-03-24,"baseline",-0.03
"Graves County, KY",9,2020-03-25,"baseline",-0.03
"Graves County, KY",10,2020-03-26,"baseline",-0.03
"Graves County, KY",11,2020-03-27,"baseline",-0.03
"Graves County, KY",12,2020-03-28,"baseline",-0.03
"Graves County, KY",13,2020-03-29,"baseline",-0.03
"Graves County, KY",14,2020-03-30,"baseline",-0.03
"Graves County, KY",14,2020-03-30,"step1",0.55
"Graves County, KY",15,2020-03-31,"step1",0.55
"Graves County, KY",16,2020-04-01,"step1",0.55
"Graves County, KY",16,2020-04-01,"step2",0.53
"Graves County, KY",17,2020-04-02,"step2",0.53
"Graves County, KY",18,2020-04-03,"step2",0.53
"Graves County, KY",18,2020-04-03,"step3",0.49
"Graves County, KY",19,2020-04-04,"step3",0.49
"Graves County, KY",20,2020-04-05,"step3",0.49
"Graves County, KY",20,2020-04-05,"step4",0.44
"Graves County, KY",21,2020-04-06,"step4",0.44
"Graves County, KY",22,2020-04-07,"step4",0.44
"Graves County, KY",22,2020-04-07,"step5",0.38
"Graves County, KY",23,2020-04-08,"step5",0.38
"Graves County, KY",24,2020-04-09,"step5",0.38
"Graves County, KY",24,2020-04-09,"step6",0.32
"Graves County, KY",25,2020-04-10,"step6",0.32
"Graves County, KY",26,2020-04-11,"step6",0.32
"Graves County, KY",26,2020-04-11,"step7",0.26
"Graves County, KY",27,2020-04-12,"step7",0.26
"Graves County, KY",28,2020-04-13,"step7",0.26
"Graves County, KY",28,2020-04-13,"step8",0.2
"Graves County, KY",29,2020-04-14,"step8",0.2
"Graves County, KY",30,2020-04-15,"step8",0.2
"Graves County, KY",30,2020-04-15,"step9",0.14
"Graves County, KY",31,2020-04-16,"step9",0.14
"Graves County, KY",32,2020-04-17,"step9",0.14
"Graves County, KY",32,2020-04-17,"step10",0.1
"Graves County, KY",33,2020-04-18,"step10",0.1
"Graves County, KY",34,2020-04-19,"step10",0.1
"Graves County, KY",34,2020-04-19,"step11",0.08
"Graves County, KY",35,2020-04-20,"step11",0.08
"Graves County, KY",36,2020-04-21,"step11",0.08
"Graves County, KY",36,2020-04-21,"step12",0.08
"Graves County, KY",37,2020-04-22,"step12",0.08
"Graves County, KY",38,2020-04-23,"step12",0.08
"Graves County, KY",38,2020-04-23,"step13",0.07
"Graves County, KY",39,2020-04-24,"step13",0.07
"Graves County, KY",40,2020-04-25,"step13",0.07
"Graves County, KY",40,2020-04-25,"step14",0.05
"Graves County, KY",41,2020-04-26,"step14",0.05
"Graves County, KY",42,2020-04-27,"step14",0.05
"Graves County, KY",42,2020-04-27,"step15",0.05
"Graves County, KY",43,2020-04-28,"step15",0.05
"Graves County, KY",44,2020-04-29,"step15",0.05
"Graves County, KY",44,2020-04-29,"step16",0.03
"Graves County, KY",45,2020-04-30,"step16",0.03
"Graves County, KY",46,2020-05-01,"step16",0.03
"Graves County, KY",46,2020-05-01,"step17",0.07
"Graves County, KY",47,2020-05-02,"step17",0.07
"Graves County, KY",48,2020-05-03,"step17",0.07
"Graves County, KY",48,2020-05-03,"step18",0.26
"Graves County, KY",49,2020-05-04,"step18",0.26
"Graves County, KY",50,2020-05-05,"step18",0.26
"Graves County, KY",50,2020-05-05,"step19",1.16
"Graves County, KY",51,2020-05-06,"step19",1.16
"Graves County, KY",52,2020-05-07,"step19",1.16
"Graves County, KY",52,2020-05-07,"step20",1.33
"Graves County, KY",53,2020-05-08,"step20",1.33
"Graves County, KY",54,2020-05-09,"step20",1.33
"Graves County, KY",54,2020-05-09,"step21",1.3
"Graves County, KY",55,2020-05-10,"step21",1.3
"Graves County, KY",56,2020-05-11,"step21",1.3
