"region","time","date","period","b1"
"Habersham County, GA",0,2020-03-16,"baseline",-0.03
"Habersham County, GA",1,2020-03-17,"baseline",-0.03
"Habersham County, GA",2,2020-03-18,"baseline",-0.03
"Habersham County, GA",3,2020-03-19,"baseline",-0.03
"Habersham County, GA",4,2020-03-20,"baseline",-0.03
"Habersham County, GA",5,2020-03-21,"baseline",-0.03
"Habersham County, GA",6,2020-03-22,"baseline",-0.03
"Habersham County, GA",7,2020-03-23,"baseline",-0.03
"Habersham County, GA",8,2020-03-24,"baseline",-0.03
"Habersham County, GA",9,2020-03-25,"baseline",-0.03
"Habersham County, GA",10,2020-03-26,"baseline",-0.03
"Habersham County, GA",11,2020-03-27,"baseline",-0.03
"Habersham County, GA",12,2020-03-28,"baseline",-0.03
"Habersham County, GA",13,2020-03-29,"baseline",-0.03
"Habersham County, GA",14,2020-03-30,"baseline",-0.03
"Habersham County, GA",14,2020-03-30,"step1",0.43
"Habersham County, GA",15,2020-03-31,"step1",0.43
"Habersham County, GA",16,2020-04-01,"step1",0.43
"Habersham County, GA",16,2020-04-01,"step2",0.37
"Habersham County, GA",17,2020-04-02,"step2",0.37
"Habersham County, GA",18,2020-04-03,"step2",0.37
"Habersham County, GA",18,2020-04-03,"step3",0.33
"Habersham County, GA",19,2020-04-04,"step3",0.33
"Habersham County, GA",20,2020-04-05,"step3",0.33
"Habersham County, GA",20,2020-04-05,"step4",0.29
"Habersham County, GA",21,2020-04-06,"step4",0.29
"Habersham County, GA",22,2020-04-07,"step4",0.29
"Habersham County, GA",22,2020-04-07,"step5",0.28
"Habersham County, GA",23,2020-04-08,"step5",0.28
"Habersham County, GA",24,2020-04-09,"step5",0.28
"Habersham County, GA",24,2020-04-09,"step6",0.26
"Habersham County, GA",25,2020-04-10,"step6",0.26
"Habersham County, GA",26,2020-04-11,"step6",0.26
"Habersham County, GA",26,2020-04-11,"step7",0.24
"Habersham County, GA",27,2020-04-12,"step7",0.24
"Habersham County, GA",28,2020-04-13,"step7",0.24
"Habersham County, GA",28,2020-04-13,"step8",0.21
"Habersham County, GA",29,2020-04-14,"step8",0.21
"Habersham County, GA",30,2020-04-15,"step8",0.21
"Habersham County, GA",30,2020-04-15,"step9",0.2
"Habersham County, GA",31,2020-04-16,"step9",0.2
"Habersham County, GA",32,2020-04-17,"step9",0.2
"Habersham County, GA",32,2020-04-17,"step10",0.2
"Habersham County, GA",33,2020-04-18,"step10",0.2
"Habersham County, GA",34,2020-04-19,"step10",0.2
"Habersham County, GA",34,2020-04-19,"step11",0.18
"Habersham County, GA",35,2020-04-20,"step11",0.18
"Habersham County, GA",36,2020-04-21,"step11",0.18
"Habersham County, GA",36,2020-04-21,"step12",0.18
"Habersham County, GA",37,2020-04-22,"step12",0.18
"Habersham County, GA",38,2020-04-23,"step12",0.18
"Habersham County, GA",38,2020-04-23,"step13",0.18
"Habersham County, GA",39,2020-04-24,"step13",0.18
"Habersham County, GA",40,2020-04-25,"step13",0.18
"Habersham County, GA",40,2020-04-25,"step14",0.17
"Habersham County, GA",41,2020-04-26,"step14",0.17
"Habersham County, GA",42,2020-04-27,"step14",0.17
"Habersham County, GA",42,2020-04-27,"step15",0.17
"Habersham County, GA",43,2020-04-28,"step15",0.17
"Habersham County, GA",44,2020-04-29,"step15",0.17
"Habersham County, GA",44,2020-04-29,"step16",0.16
"Habersham County, GA",45,2020-04-30,"step16",0.16
"Habersham County, GA",46,2020-05-01,"step16",0.16
"Habersham County, GA",46,2020-05-01,"step17",0.14
"Habersham County, GA",47,2020-05-02,"step17",0.14
"Habersham County, GA",48,2020-05-03,"step17",0.14
"Habersham County, GA",48,2020-05-03,"step18",0.01
"Habersham County, GA",49,2020-05-04,"step18",0.01
"Habersham County, GA",50,2020-05-05,"step18",0.01
"Habersham County, GA",50,2020-05-05,"step19",0
"Habersham County, GA",51,2020-05-06,"step19",0
"Habersham County, GA",52,2020-05-07,"step19",0
"Habersham County, GA",52,2020-05-07,"step20",0
"Habersham County, GA",53,2020-05-08,"step20",0
"Habersham County, GA",54,2020-05-09,"step20",0
"Habersham County, GA",54,2020-05-09,"step21",0
"Habersham County, GA",55,2020-05-10,"step21",0
"Habersham County, GA",56,2020-05-11,"step21",0
