"region","time","date","period","b1"
"Marion County, OR",0,2020-02-18,"baseline",0.27
"Marion County, OR",1,2020-02-19,"baseline",0.27
"Marion County, OR",2,2020-02-20,"baseline",0.27
"Marion County, OR",3,2020-02-21,"baseline",0.27
"Marion County, OR",4,2020-02-22,"baseline",0.27
"Marion County, OR",5,2020-02-23,"baseline",0.27
"Marion County, OR",6,2020-02-24,"baseline",0.27
"Marion County, OR",7,2020-02-25,"baseline",0.27
"Marion County, OR",8,2020-02-26,"baseline",0.27
"Marion County, OR",9,2020-02-27,"baseline",0.27
"Marion County, OR",10,2020-02-28,"baseline",0.27
"Marion County, OR",11,2020-02-29,"baseline",0.27
"Marion County, OR",12,2020-03-01,"baseline",0.27
"Marion County, OR",13,2020-03-02,"baseline",0.27
"Marion County, OR",14,2020-03-03,"baseline",0.27
"Marion County, OR",15,2020-03-04,"baseline",0.27
"Marion County, OR",16,2020-03-05,"baseline",0.27
"Marion County, OR",17,2020-03-06,"baseline",0.27
"Marion County, OR",18,2020-03-07,"baseline",0.27
"Marion County, OR",19,2020-03-08,"baseline",0.27
"Marion County, OR",20,2020-03-09,"baseline",0.27
"Marion County, OR",21,2020-03-10,"baseline",0.27
"Marion County, OR",21,2020-03-10,"step1",0.18
"Marion County, OR",22,2020-03-11,"step1",0.18
"Marion County, OR",23,2020-03-12,"step1",0.18
"Marion County, OR",23,2020-03-12,"step2",0.17
"Marion County, OR",24,2020-03-13,"step2",0.17
"Marion County, OR",25,2020-03-14,"step2",0.17
"Marion County, OR",25,2020-03-14,"step3",0.17
"Marion County, OR",26,2020-03-15,"step3",0.17
"Marion County, OR",27,2020-03-16,"step3",0.17
"Marion County, OR",27,2020-03-16,"step4",0.17
"Marion County, OR",28,2020-03-17,"step4",0.17
"Marion County, OR",29,2020-03-18,"step4",0.17
"Marion County, OR",29,2020-03-18,"step5",0.16
"Marion County, OR",30,2020-03-19,"step5",0.16
"Marion County, OR",31,2020-03-20,"step5",0.16
"Marion County, OR",31,2020-03-20,"step6",0.15
"Marion County, OR",32,2020-03-21,"step6",0.15
"Marion County, OR",33,2020-03-22,"step6",0.15
"Marion County, OR",33,2020-03-22,"step7",0.14
"Marion County, OR",34,2020-03-23,"step7",0.14
"Marion County, OR",35,2020-03-24,"step7",0.14
"Marion County, OR",35,2020-03-24,"step8",0.12
"Marion County, OR",36,2020-03-25,"step8",0.12
"Marion County, OR",37,2020-03-26,"step8",0.12
"Marion County, OR",37,2020-03-26,"step9",0.12
"Marion County, OR",38,2020-03-27,"step9",0.12
"Marion County, OR",39,2020-03-28,"step9",0.12
"Marion County, OR",39,2020-03-28,"step10",0.11
"Marion County, OR",40,2020-03-29,"step10",0.11
"Marion County, OR",41,2020-03-30,"step10",0.11
"Marion County, OR",41,2020-03-30,"step11",0.11
"Marion County, OR",42,2020-03-31,"step11",0.11
"Marion County, OR",43,2020-04-01,"step11",0.11
"Marion County, OR",43,2020-04-01,"step12",0.1
"Marion County, OR",44,2020-04-02,"step12",0.1
"Marion County, OR",45,2020-04-03,"step12",0.1
"Marion County, OR",45,2020-04-03,"step13",0.09
"Marion County, OR",46,2020-04-04,"step13",0.09
"Marion County, OR",47,2020-04-05,"step13",0.09
"Marion County, OR",47,2020-04-05,"step14",0.08
"Marion County, OR",48,2020-04-06,"step14",0.08
"Marion County, OR",49,2020-04-07,"step14",0.08
"Marion County, OR",49,2020-04-07,"step15",0.08
"Marion County, OR",50,2020-04-08,"step15",0.08
"Marion County, OR",51,2020-04-09,"step15",0.08
"Marion County, OR",51,2020-04-09,"step16",0.1
"Marion County, OR",52,2020-04-10,"step16",0.1
"Marion County, OR",53,2020-04-11,"step16",0.1
"Marion County, OR",53,2020-04-11,"step17",0.11
"Marion County, OR",54,2020-04-12,"step17",0.11
"Marion County, OR",55,2020-04-13,"step17",0.11
"Marion County, OR",55,2020-04-13,"step18",0.12
"Marion County, OR",56,2020-04-14,"step18",0.12
"Marion County, OR",57,2020-04-15,"step18",0.12
"Marion County, OR",57,2020-04-15,"step19",0.12
"Marion County, OR",58,2020-04-16,"step19",0.12
"Marion County, OR",59,2020-04-17,"step19",0.12
"Marion County, OR",59,2020-04-17,"step20",0.14
"Marion County, OR",60,2020-04-18,"step20",0.14
"Marion County, OR",61,2020-04-19,"step20",0.14
"Marion County, OR",61,2020-04-19,"step21",0.15
"Marion County, OR",62,2020-04-20,"step21",0.15
"Marion County, OR",63,2020-04-21,"step21",0.15
"Marion County, OR",63,2020-04-21,"step22",0.16
"Marion County, OR",64,2020-04-22,"step22",0.16
"Marion County, OR",65,2020-04-23,"step22",0.16
"Marion County, OR",65,2020-04-23,"step23",0.16
"Marion County, OR",66,2020-04-24,"step23",0.16
"Marion County, OR",67,2020-04-25,"step23",0.16
"Marion County, OR",67,2020-04-25,"step24",0.16
"Marion County, OR",68,2020-04-26,"step24",0.16
"Marion County, OR",69,2020-04-27,"step24",0.16
"Marion County, OR",69,2020-04-27,"step25",0.17
"Marion County, OR",70,2020-04-28,"step25",0.17
"Marion County, OR",71,2020-04-29,"step25",0.17
"Marion County, OR",71,2020-04-29,"step26",0.18
"Marion County, OR",72,2020-04-30,"step26",0.18
"Marion County, OR",73,2020-05-01,"step26",0.18
"Marion County, OR",73,2020-05-01,"step27",0.19
"Marion County, OR",74,2020-05-02,"step27",0.19
"Marion County, OR",75,2020-05-03,"step27",0.19
"Marion County, OR",75,2020-05-03,"step28",0.2
"Marion County, OR",76,2020-05-04,"step28",0.2
"Marion County, OR",77,2020-05-05,"step28",0.2
"Marion County, OR",77,2020-05-05,"step29",0.2
"Marion County, OR",78,2020-05-06,"step29",0.2
"Marion County, OR",79,2020-05-07,"step29",0.2
"Marion County, OR",79,2020-05-07,"step30",0.23
"Marion County, OR",80,2020-05-08,"step30",0.23
"Marion County, OR",81,2020-05-09,"step30",0.23
"Marion County, OR",81,2020-05-09,"step31",0
"Marion County, OR",82,2020-05-10,"step31",0
"Marion County, OR",83,2020-05-11,"step31",0
