"region","time","date","period","b1"
"Rensselaer County, NY",0,2020-03-08,"baseline",0.18
"Rensselaer County, NY",1,2020-03-09,"baseline",0.18
"Rensselaer County, NY",2,2020-03-10,"baseline",0.18
"Rensselaer County, NY",3,2020-03-11,"baseline",0.18
"Rensselaer County, NY",4,2020-03-12,"baseline",0.18
"Rensselaer County, NY",5,2020-03-13,"baseline",0.18
"Rensselaer County, NY",6,2020-03-14,"baseline",0.18
"Rensselaer County, NY",7,2020-03-15,"baseline",0.18
"Rensselaer County, NY",8,2020-03-16,"baseline",0.18
"Rensselaer County, NY",9,2020-03-17,"baseline",0.18
"Rensselaer County, NY",10,2020-03-18,"baseline",0.18
"Rensselaer County, NY",11,2020-03-19,"baseline",0.18
"Rensselaer County, NY",11,2020-03-19,"step1",0.31
"Rensselaer County, NY",12,2020-03-20,"step1",0.31
"Rensselaer County, NY",13,2020-03-21,"step1",0.31
"Rensselaer County, NY",13,2020-03-21,"step2",0.28
"Rensselaer County, NY",14,2020-03-22,"step2",0.28
"Rensselaer County, NY",15,2020-03-23,"step2",0.28
"Rensselaer County, NY",15,2020-03-23,"step3",0.24
"Rensselaer County, NY",16,2020-03-24,"step3",0.24
"Rensselaer County, NY",17,2020-03-25,"step3",0.24
"Rensselaer County, NY",17,2020-03-25,"step4",0.21
"Rensselaer County, NY",18,2020-03-26,"step4",0.21
"Rensselaer County, NY",19,2020-03-27,"step4",0.21
"Rensselaer County, NY",19,2020-03-27,"step5",0.18
"Rensselaer County, NY",20,2020-03-28,"step5",0.18
"Rensselaer County, NY",21,2020-03-29,"step5",0.18
"Rensselaer County, NY",21,2020-03-29,"step6",0.15
"Rensselaer County, NY",22,2020-03-30,"step6",0.15
"Rensselaer County, NY",23,2020-03-31,"step6",0.15
"Rensselaer County, NY",23,2020-03-31,"step7",0.13
"Rensselaer County, NY",24,2020-04-01,"step7",0.13
"Rensselaer County, NY",25,2020-04-02,"step7",0.13
"Rensselaer County, NY",25,2020-04-02,"step8",0.11
"Rensselaer County, NY",26,2020-04-03,"step8",0.11
"Rensselaer County, NY",27,2020-04-04,"step8",0.11
"Rensselaer County, NY",27,2020-04-04,"step9",0.11
"Rensselaer County, NY",28,2020-04-05,"step9",0.11
"Rensselaer County, NY",29,2020-04-06,"step9",0.11
"Rensselaer County, NY",29,2020-04-06,"step10",0.11
"Rensselaer County, NY",30,2020-04-07,"step10",0.11
"Rensselaer County, NY",31,2020-04-08,"step10",0.11
"Rensselaer County, NY",31,2020-04-08,"step11",0.11
"Rensselaer County, NY",32,2020-04-09,"step11",0.11
"Rensselaer County, NY",33,2020-04-10,"step11",0.11
"Rensselaer County, NY",33,2020-04-10,"step12",0.1
"Rensselaer County, NY",34,2020-04-11,"step12",0.1
"Rensselaer County, NY",35,2020-04-12,"step12",0.1
"Rensselaer County, NY",35,2020-04-12,"step13",0.11
"Rensselaer County, NY",36,2020-04-13,"step13",0.11
"Rensselaer County, NY",37,2020-04-14,"step13",0.11
"Rensselaer County, NY",37,2020-04-14,"step14",0.12
"Rensselaer County, NY",38,2020-04-15,"step14",0.12
"Rensselaer County, NY",39,2020-04-16,"step14",0.12
"Rensselaer County, NY",39,2020-04-16,"step15",0.14
"Rensselaer County, NY",40,2020-04-17,"step15",0.14
"Rensselaer County, NY",41,2020-04-18,"step15",0.14
"Rensselaer County, NY",41,2020-04-18,"step16",0.15
"Rensselaer County, NY",42,2020-04-19,"step16",0.15
"Rensselaer County, NY",43,2020-04-20,"step16",0.15
"Rensselaer County, NY",43,2020-04-20,"step17",0.14
"Rensselaer County, NY",44,2020-04-21,"step17",0.14
"Rensselaer County, NY",45,2020-04-22,"step17",0.14
"Rensselaer County, NY",45,2020-04-22,"step18",0.15
"Rensselaer County, NY",46,2020-04-23,"step18",0.15
"Rensselaer County, NY",47,2020-04-24,"step18",0.15
"Rensselaer County, NY",47,2020-04-24,"step19",0.15
"Rensselaer County, NY",48,2020-04-25,"step19",0.15
"Rensselaer County, NY",49,2020-04-26,"step19",0.15
"Rensselaer County, NY",49,2020-04-26,"step20",0.15
"Rensselaer County, NY",50,2020-04-27,"step20",0.15
"Rensselaer County, NY",51,2020-04-28,"step20",0.15
"Rensselaer County, NY",51,2020-04-28,"step21",0.15
"Rensselaer County, NY",52,2020-04-29,"step21",0.15
"Rensselaer County, NY",53,2020-04-30,"step21",0.15
"Rensselaer County, NY",53,2020-04-30,"step22",0.14
"Rensselaer County, NY",54,2020-05-01,"step22",0.14
"Rensselaer County, NY",55,2020-05-02,"step22",0.14
"Rensselaer County, NY",55,2020-05-02,"step23",0.1
"Rensselaer County, NY",56,2020-05-03,"step23",0.1
"Rensselaer County, NY",57,2020-05-04,"step23",0.1
"Rensselaer County, NY",57,2020-05-04,"step24",0
"Rensselaer County, NY",58,2020-05-05,"step24",0
"Rensselaer County, NY",59,2020-05-06,"step24",0
"Rensselaer County, NY",59,2020-05-06,"step25",0
"Rensselaer County, NY",60,2020-05-07,"step25",0
"Rensselaer County, NY",61,2020-05-08,"step25",0
"Rensselaer County, NY",61,2020-05-08,"step26",0
"Rensselaer County, NY",62,2020-05-09,"step26",0
"Rensselaer County, NY",63,2020-05-10,"step26",0
