"region","time","date","period","b1"
"Stanislaus County, CA",0,2020-03-10,"baseline",-0.03
"Stanislaus County, CA",1,2020-03-11,"baseline",-0.03
"Stanislaus County, CA",2,2020-03-12,"baseline",-0.03
"Stanislaus County, CA",3,2020-03-13,"baseline",-0.03
"Stanislaus County, CA",4,2020-03-14,"baseline",-0.03
"Stanislaus County, CA",4,2020-03-14,"step1",0
"Stanislaus County, CA",5,2020-03-15,"step1",0
"Stanislaus County, CA",6,2020-03-16,"step1",0
"Stanislaus County, CA",6,2020-03-16,"step2",0
"Stanislaus County, CA",7,2020-03-17,"step2",0
"Stanislaus County, CA",8,2020-03-18,"step2",0
"Stanislaus County, CA",8,2020-03-18,"step3",0
"Stanislaus County, CA",9,2020-03-19,"step3",0
"Stanislaus County, CA",10,2020-03-20,"step3",0
"Stanislaus County, CA",10,2020-03-20,"step4",0
"Stanislaus County, CA",11,2020-03-21,"step4",0
"Stanislaus County, CA",12,2020-03-22,"step4",0
"Stanislaus County, CA",12,2020-03-22,"step5",0.82
"Stanislaus County, CA",13,2020-03-23,"step5",0.82
"Stanislaus County, CA",14,2020-03-24,"step5",0.82
"Stanislaus County, CA",14,2020-03-24,"step6",0.72
"Stanislaus County, CA",15,2020-03-25,"step6",0.72
"Stanislaus County, CA",16,2020-03-26,"step6",0.72
"Stanislaus County, CA",16,2020-03-26,"step7",0.62
"Stanislaus County, CA",17,2020-03-27,"step7",0.62
"Stanislaus County, CA",18,2020-03-28,"step7",0.62
"Stanislaus County, CA",18,2020-03-28,"step8",0.52
"Stanislaus County, CA",19,2020-03-29,"step8",0.52
"Stanislaus County, CA",20,2020-03-30,"step8",0.52
"Stanislaus County, CA",20,2020-03-30,"step9",0.44
"Stanislaus County, CA",21,2020-03-31,"step9",0.44
"Stanislaus County, CA",22,2020-04-01,"step9",0.44
"Stanislaus County, CA",22,2020-04-01,"step10",0.37
"Stanislaus County, CA",23,2020-04-02,"step10",0.37
"Stanislaus County, CA",24,2020-04-03,"step10",0.37
"Stanislaus County, CA",24,2020-04-03,"step11",0.31
"Stanislaus County, CA",25,2020-04-04,"step11",0.31
"Stanislaus County, CA",26,2020-04-05,"step11",0.31
"Stanislaus County, CA",26,2020-04-05,"step12",0.27
"Stanislaus County, CA",27,2020-04-06,"step12",0.27
"Stanislaus County, CA",28,2020-04-07,"step12",0.27
"Stanislaus County, CA",28,2020-04-07,"step13",0.25
"Stanislaus County, CA",29,2020-04-08,"step13",0.25
"Stanislaus County, CA",30,2020-04-09,"step13",0.25
"Stanislaus County, CA",30,2020-04-09,"step14",0.23
"Stanislaus County, CA",31,2020-04-10,"step14",0.23
"Stanislaus County, CA",32,2020-04-11,"step14",0.23
"Stanislaus County, CA",32,2020-04-11,"step15",0.21
"Stanislaus County, CA",33,2020-04-12,"step15",0.21
"Stanislaus County, CA",34,2020-04-13,"step15",0.21
"Stanislaus County, CA",34,2020-04-13,"step16",0.19
"Stanislaus County, CA",35,2020-04-14,"step16",0.19
"Stanislaus County, CA",36,2020-04-15,"step16",0.19
"Stanislaus County, CA",36,2020-04-15,"step17",0.16
"Stanislaus County, CA",37,2020-04-16,"step17",0.16
"Stanislaus County, CA",38,2020-04-17,"step17",0.16
"Stanislaus County, CA",38,2020-04-17,"step18",0.14
"Stanislaus County, CA",39,2020-04-18,"step18",0.14
"Stanislaus County, CA",40,2020-04-19,"step18",0.14
"Stanislaus County, CA",40,2020-04-19,"step19",0.11
"Stanislaus County, CA",41,2020-04-20,"step19",0.11
"Stanislaus County, CA",42,2020-04-21,"step19",0.11
"Stanislaus County, CA",42,2020-04-21,"step20",0.11
"Stanislaus County, CA",43,2020-04-22,"step20",0.11
"Stanislaus County, CA",44,2020-04-23,"step20",0.11
"Stanislaus County, CA",44,2020-04-23,"step21",0.1
"Stanislaus County, CA",45,2020-04-24,"step21",0.1
"Stanislaus County, CA",46,2020-04-25,"step21",0.1
"Stanislaus County, CA",46,2020-04-25,"step22",0.09
"Stanislaus County, CA",47,2020-04-26,"step22",0.09
"Stanislaus County, CA",48,2020-04-27,"step22",0.09
"Stanislaus County, CA",48,2020-04-27,"step23",0.08
"Stanislaus County, CA",49,2020-04-28,"step23",0.08
"Stanislaus County, CA",50,2020-04-29,"step23",0.08
"Stanislaus County, CA",50,2020-04-29,"step24",0.05
"Stanislaus County, CA",51,2020-04-30,"step24",0.05
"Stanislaus County, CA",52,2020-05-01,"step24",0.05
"Stanislaus County, CA",52,2020-05-01,"step25",0
"Stanislaus County, CA",53,2020-05-02,"step25",0
"Stanislaus County, CA",54,2020-05-03,"step25",0
"Stanislaus County, CA",54,2020-05-03,"step26",0
"Stanislaus County, CA",55,2020-05-04,"step26",0
"Stanislaus County, CA",56,2020-05-05,"step26",0
"Stanislaus County, CA",56,2020-05-05,"step27",0
"Stanislaus County, CA",57,2020-05-06,"step27",0
"Stanislaus County, CA",58,2020-05-07,"step27",0
"Stanislaus County, CA",58,2020-05-07,"step28",0
"Stanislaus County, CA",59,2020-05-08,"step28",0
"Stanislaus County, CA",60,2020-05-09,"step28",0
"Stanislaus County, CA",60,2020-05-09,"step29",0
"Stanislaus County, CA",61,2020-05-10,"step29",0
"Stanislaus County, CA",62,2020-05-11,"step29",0
