"region","time","date","period","b1"
"Volusia County, FL",0,2020-03-05,"baseline",0.48
"Volusia County, FL",1,2020-03-06,"baseline",0.48
"Volusia County, FL",2,2020-03-07,"baseline",0.48
"Volusia County, FL",3,2020-03-08,"baseline",0.48
"Volusia County, FL",4,2020-03-09,"baseline",0.48
"Volusia County, FL",5,2020-03-10,"baseline",0.48
"Volusia County, FL",5,2020-03-10,"step1",0.24
"Volusia County, FL",6,2020-03-11,"step1",0.24
"Volusia County, FL",7,2020-03-12,"step1",0.24
"Volusia County, FL",7,2020-03-12,"step2",0.28
"Volusia County, FL",8,2020-03-13,"step2",0.28
"Volusia County, FL",9,2020-03-14,"step2",0.28
"Volusia County, FL",9,2020-03-14,"step3",0.34
"Volusia County, FL",10,2020-03-15,"step3",0.34
"Volusia County, FL",11,2020-03-16,"step3",0.34
"Volusia County, FL",11,2020-03-16,"step4",0.41
"Volusia County, FL",12,2020-03-17,"step4",0.41
"Volusia County, FL",13,2020-03-18,"step4",0.41
"Volusia County, FL",13,2020-03-18,"step5",0.37
"Volusia County, FL",14,2020-03-19,"step5",0.37
"Volusia County, FL",15,2020-03-20,"step5",0.37
"Volusia County, FL",15,2020-03-20,"step6",0.34
"Volusia County, FL",16,2020-03-21,"step6",0.34
"Volusia County, FL",17,2020-03-22,"step6",0.34
"Volusia County, FL",17,2020-03-22,"step7",0.3
"Volusia County, FL",18,2020-03-23,"step7",0.3
"Volusia County, FL",19,2020-03-24,"step7",0.3
"Volusia County, FL",19,2020-03-24,"step8",0.26
"Volusia County, FL",20,2020-03-25,"step8",0.26
"Volusia County, FL",21,2020-03-26,"step8",0.26
"Volusia County, FL",21,2020-03-26,"step9",0.22
"Volusia County, FL",22,2020-03-27,"step9",0.22
"Volusia County, FL",23,2020-03-28,"step9",0.22
"Volusia County, FL",23,2020-03-28,"step10",0.2
"Volusia County, FL",24,2020-03-29,"step10",0.2
"Volusia County, FL",25,2020-03-30,"step10",0.2
"Volusia County, FL",25,2020-03-30,"step11",0.17
"Volusia County, FL",26,2020-03-31,"step11",0.17
"Volusia County, FL",27,2020-04-01,"step11",0.17
"Volusia County, FL",27,2020-04-01,"step12",0.16
"Volusia County, FL",28,2020-04-02,"step12",0.16
"Volusia County, FL",29,2020-04-03,"step12",0.16
"Volusia County, FL",29,2020-04-03,"step13",0.14
"Volusia County, FL",30,2020-04-04,"step13",0.14
"Volusia County, FL",31,2020-04-05,"step13",0.14
"Volusia County, FL",31,2020-04-05,"step14",0.12
"Volusia County, FL",32,2020-04-06,"step14",0.12
"Volusia County, FL",33,2020-04-07,"step14",0.12
"Volusia County, FL",33,2020-04-07,"step15",0.1
"Volusia County, FL",34,2020-04-08,"step15",0.1
"Volusia County, FL",35,2020-04-09,"step15",0.1
"Volusia County, FL",35,2020-04-09,"step16",0.1
"Volusia County, FL",36,2020-04-10,"step16",0.1
"Volusia County, FL",37,2020-04-11,"step16",0.1
"Volusia County, FL",37,2020-04-11,"step17",0.1
"Volusia County, FL",38,2020-04-12,"step17",0.1
"Volusia County, FL",39,2020-04-13,"step17",0.1
"Volusia County, FL",39,2020-04-13,"step18",0.1
"Volusia County, FL",40,2020-04-14,"step18",0.1
"Volusia County, FL",41,2020-04-15,"step18",0.1
"Volusia County, FL",41,2020-04-15,"step19",0.1
"Volusia County, FL",42,2020-04-16,"step19",0.1
"Volusia County, FL",43,2020-04-17,"step19",0.1
"Volusia County, FL",43,2020-04-17,"step20",0.09
"Volusia County, FL",44,2020-04-18,"step20",0.09
"Volusia County, FL",45,2020-04-19,"step20",0.09
"Volusia County, FL",45,2020-04-19,"step21",0.07
"Volusia County, FL",46,2020-04-20,"step21",0.07
"Volusia County, FL",47,2020-04-21,"step21",0.07
"Volusia County, FL",47,2020-04-21,"step22",0.07
"Volusia County, FL",48,2020-04-22,"step22",0.07
"Volusia County, FL",49,2020-04-23,"step22",0.07
"Volusia County, FL",49,2020-04-23,"step23",0.06
"Volusia County, FL",50,2020-04-24,"step23",0.06
"Volusia County, FL",51,2020-04-25,"step23",0.06
"Volusia County, FL",51,2020-04-25,"step24",0.06
"Volusia County, FL",52,2020-04-26,"step24",0.06
"Volusia County, FL",53,2020-04-27,"step24",0.06
"Volusia County, FL",53,2020-04-27,"step25",0.05
"Volusia County, FL",54,2020-04-28,"step25",0.05
"Volusia County, FL",55,2020-04-29,"step25",0.05
"Volusia County, FL",55,2020-04-29,"step26",0.02
"Volusia County, FL",56,2020-04-30,"step26",0.02
"Volusia County, FL",57,2020-05-01,"step26",0.02
"Volusia County, FL",57,2020-05-01,"step27",0
"Volusia County, FL",58,2020-05-02,"step27",0
"Volusia County, FL",59,2020-05-03,"step27",0
"Volusia County, FL",59,2020-05-03,"step28",0
"Volusia County, FL",60,2020-05-04,"step28",0
"Volusia County, FL",61,2020-05-05,"step28",0
"Volusia County, FL",61,2020-05-05,"step29",0
"Volusia County, FL",62,2020-05-06,"step29",0
"Volusia County, FL",63,2020-05-07,"step29",0
"Volusia County, FL",63,2020-05-07,"step30",0
"Volusia County, FL",64,2020-05-08,"step30",0
"Volusia County, FL",65,2020-05-09,"step30",0
"Volusia County, FL",65,2020-05-09,"step31",0
"Volusia County, FL",66,2020-05-10,"step31",0
"Volusia County, FL",67,2020-05-11,"step31",0
