"region","time","date","period","b1"
"Ada County, ID",0,2020-02-29,"baseline",0.23
"Ada County, ID",1,2020-03-01,"baseline",0.23
"Ada County, ID",2,2020-03-02,"baseline",0.23
"Ada County, ID",3,2020-03-03,"baseline",0.23
"Ada County, ID",4,2020-03-04,"baseline",0.23
"Ada County, ID",5,2020-03-05,"baseline",0.23
"Ada County, ID",6,2020-03-06,"baseline",0.23
"Ada County, ID",7,2020-03-07,"baseline",0.23
"Ada County, ID",8,2020-03-08,"baseline",0.23
"Ada County, ID",9,2020-03-09,"baseline",0.23
"Ada County, ID",10,2020-03-10,"baseline",0.23
"Ada County, ID",11,2020-03-11,"baseline",0.23
"Ada County, ID",12,2020-03-12,"baseline",0.23
"Ada County, ID",13,2020-03-13,"baseline",0.23
"Ada County, ID",14,2020-03-14,"baseline",0.23
"Ada County, ID",15,2020-03-15,"baseline",0.23
"Ada County, ID",16,2020-03-16,"baseline",0.23
"Ada County, ID",16,2020-03-16,"step1",0.47
"Ada County, ID",17,2020-03-17,"step1",0.47
"Ada County, ID",18,2020-03-18,"step1",0.47
"Ada County, ID",18,2020-03-18,"step2",0.41
"Ada County, ID",19,2020-03-19,"step2",0.41
"Ada County, ID",20,2020-03-20,"step2",0.41
"Ada County, ID",20,2020-03-20,"step4",0.36
"Ada County, ID",21,2020-03-21,"step4",0.36
"Ada County, ID",22,2020-03-22,"step4",0.36
"Ada County, ID",22,2020-03-22,"step5",0.32
"Ada County, ID",23,2020-03-23,"step5",0.32
"Ada County, ID",24,2020-03-24,"step5",0.32
"Ada County, ID",24,2020-03-24,"step6",0.28
"Ada County, ID",25,2020-03-25,"step6",0.28
"Ada County, ID",26,2020-03-26,"step6",0.28
"Ada County, ID",26,2020-03-26,"step7",0.25
"Ada County, ID",27,2020-03-27,"step7",0.25
"Ada County, ID",28,2020-03-28,"step7",0.25
"Ada County, ID",28,2020-03-28,"step8",0.21
"Ada County, ID",29,2020-03-29,"step8",0.21
"Ada County, ID",30,2020-03-30,"step8",0.21
"Ada County, ID",30,2020-03-30,"step9",0.19
"Ada County, ID",31,2020-03-31,"step9",0.19
"Ada County, ID",32,2020-04-01,"step9",0.19
"Ada County, ID",32,2020-04-01,"step10",0.17
"Ada County, ID",33,2020-04-02,"step10",0.17
"Ada County, ID",34,2020-04-03,"step10",0.17
"Ada County, ID",34,2020-04-03,"step11",0.14
"Ada County, ID",35,2020-04-04,"step11",0.14
"Ada County, ID",36,2020-04-05,"step11",0.14
"Ada County, ID",36,2020-04-05,"step12",0.12
"Ada County, ID",37,2020-04-06,"step12",0.12
"Ada County, ID",38,2020-04-07,"step12",0.12
"Ada County, ID",38,2020-04-07,"step13",0.09
"Ada County, ID",39,2020-04-08,"step13",0.09
"Ada County, ID",40,2020-04-09,"step13",0.09
"Ada County, ID",40,2020-04-09,"step14",0.06
"Ada County, ID",41,2020-04-10,"step14",0.06
"Ada County, ID",42,2020-04-11,"step14",0.06
"Ada County, ID",42,2020-04-11,"step15",0.05
"Ada County, ID",43,2020-04-12,"step15",0.05
"Ada County, ID",44,2020-04-13,"step15",0.05
"Ada County, ID",44,2020-04-13,"step16",0.04
"Ada County, ID",45,2020-04-14,"step16",0.04
"Ada County, ID",46,2020-04-15,"step16",0.04
"Ada County, ID",46,2020-04-15,"step18",0.04
"Ada County, ID",47,2020-04-16,"step18",0.04
"Ada County, ID",48,2020-04-17,"step18",0.04
"Ada County, ID",48,2020-04-17,"step19",0.04
"Ada County, ID",49,2020-04-18,"step19",0.04
"Ada County, ID",50,2020-04-19,"step19",0.04
"Ada County, ID",50,2020-04-19,"step20",0.05
"Ada County, ID",51,2020-04-20,"step20",0.05
"Ada County, ID",52,2020-04-21,"step20",0.05
"Ada County, ID",52,2020-04-21,"step21",0.08
"Ada County, ID",53,2020-04-22,"step21",0.08
"Ada County, ID",54,2020-04-23,"step21",0.08
"Ada County, ID",54,2020-04-23,"step22",0.13
"Ada County, ID",55,2020-04-24,"step22",0.13
"Ada County, ID",56,2020-04-25,"step22",0.13
"Ada County, ID",56,2020-04-25,"step23",0.17
"Ada County, ID",57,2020-04-26,"step23",0.17
"Ada County, ID",58,2020-04-27,"step23",0.17
"Ada County, ID",58,2020-04-27,"step24",0.15
"Ada County, ID",59,2020-04-28,"step24",0.15
"Ada County, ID",60,2020-04-29,"step24",0.15
"Ada County, ID",60,2020-04-29,"step25",0.12
"Ada County, ID",61,2020-04-30,"step25",0.12
"Ada County, ID",62,2020-05-01,"step25",0.12
"Ada County, ID",62,2020-05-01,"step26",0
"Ada County, ID",63,2020-05-02,"step26",0
"Ada County, ID",64,2020-05-03,"step26",0
"Ada County, ID",64,2020-05-03,"step27",0
"Ada County, ID",65,2020-05-04,"step27",0
"Ada County, ID",66,2020-05-05,"step27",0
"Ada County, ID",66,2020-05-05,"step29",0
"Ada County, ID",67,2020-05-06,"step29",0
"Ada County, ID",68,2020-05-07,"step29",0
"Ada County, ID",68,2020-05-07,"step31",0
"Ada County, ID",69,2020-05-08,"step31",0
"Ada County, ID",69,2020-05-08,"step33",0
"Ada County, ID",70,2020-05-09,"step33",0
"Ada County, ID",71,2020-05-10,"step33",0
"Ada County, ID",71,2020-05-10,"step35",0
"Ada County, ID",72,2020-05-11,"step35",0
"Ada County, ID",73,2020-05-12,"step35",0
"Ada County, ID",73,2020-05-12,"step38",0
"Ada County, ID",73,2020-05-12,"step39",0
"Ada County, ID",74,2020-05-13,"step39",0
"Ada County, ID",75,2020-05-14,"step39",0
"Ada County, ID",75,2020-05-14,"step40",0
"Ada County, ID",76,2020-05-15,"step40",0
"Ada County, ID",77,2020-05-16,"step40",0
"Ada County, ID",77,2020-05-16,"step41",0
"Ada County, ID",78,2020-05-17,"step41",0
"Ada County, ID",79,2020-05-18,"step41",0
"Ada County, ID",79,2020-05-18,"step42",0
"Ada County, ID",80,2020-05-19,"step42",0
"Ada County, ID",81,2020-05-20,"step42",0
"Ada County, ID",81,2020-05-20,"step43",0
"Ada County, ID",82,2020-05-21,"step43",0
"Ada County, ID",83,2020-05-22,"step43",0
"Ada County, ID",83,2020-05-22,"step44",0
"Ada County, ID",84,2020-05-23,"step44",0
"Ada County, ID",85,2020-05-24,"step44",0
"Ada County, ID",85,2020-05-24,"step45",0
"Ada County, ID",86,2020-05-25,"step45",0
"Ada County, ID",87,2020-05-26,"step45",0
"Ada County, ID",87,2020-05-26,"step46",0
"Ada County, ID",88,2020-05-27,"step46",0
"Ada County, ID",89,2020-05-28,"step46",0
"Ada County, ID",89,2020-05-28,"step47",0
"Ada County, ID",90,2020-05-29,"step47",0
"Ada County, ID",91,2020-05-30,"step47",0
"Ada County, ID",91,2020-05-30,"step48",0
"Ada County, ID",92,2020-05-31,"step48",0
"Ada County, ID",93,2020-06-01,"step48",0
"Ada County, ID",93,2020-06-01,"step49",0
"Ada County, ID",94,2020-06-02,"step49",0
"Ada County, ID",95,2020-06-03,"step49",0
