"region","time","date","period","b1"
"Allen County, IN",0,2020-03-07,"baseline",0.17
"Allen County, IN",1,2020-03-08,"baseline",0.17
"Allen County, IN",2,2020-03-09,"baseline",0.17
"Allen County, IN",3,2020-03-10,"baseline",0.17
"Allen County, IN",4,2020-03-11,"baseline",0.17
"Allen County, IN",5,2020-03-12,"baseline",0.17
"Allen County, IN",6,2020-03-13,"baseline",0.17
"Allen County, IN",7,2020-03-14,"baseline",0.17
"Allen County, IN",8,2020-03-15,"baseline",0.17
"Allen County, IN",9,2020-03-16,"baseline",0.17
"Allen County, IN",10,2020-03-17,"baseline",0.17
"Allen County, IN",11,2020-03-18,"baseline",0.17
"Allen County, IN",12,2020-03-19,"baseline",0.17
"Allen County, IN",13,2020-03-20,"baseline",0.17
"Allen County, IN",14,2020-03-21,"baseline",0.17
"Allen County, IN",15,2020-03-22,"baseline",0.17
"Allen County, IN",15,2020-03-22,"step1",0.69
"Allen County, IN",16,2020-03-23,"step1",0.69
"Allen County, IN",17,2020-03-24,"step1",0.69
"Allen County, IN",17,2020-03-24,"step2",0.59
"Allen County, IN",18,2020-03-25,"step2",0.59
"Allen County, IN",19,2020-03-26,"step2",0.59
"Allen County, IN",19,2020-03-26,"step3",0.51
"Allen County, IN",20,2020-03-27,"step3",0.51
"Allen County, IN",21,2020-03-28,"step3",0.51
"Allen County, IN",21,2020-03-28,"step4",0.44
"Allen County, IN",22,2020-03-29,"step4",0.44
"Allen County, IN",23,2020-03-30,"step4",0.44
"Allen County, IN",23,2020-03-30,"step5",0.38
"Allen County, IN",24,2020-03-31,"step5",0.38
"Allen County, IN",25,2020-04-01,"step5",0.38
"Allen County, IN",25,2020-04-01,"step6",0.32
"Allen County, IN",26,2020-04-02,"step6",0.32
"Allen County, IN",27,2020-04-03,"step6",0.32
"Allen County, IN",27,2020-04-03,"step7",0.27
"Allen County, IN",28,2020-04-04,"step7",0.27
"Allen County, IN",29,2020-04-05,"step7",0.27
"Allen County, IN",29,2020-04-05,"step8",0.22
"Allen County, IN",30,2020-04-06,"step8",0.22
"Allen County, IN",31,2020-04-07,"step8",0.22
"Allen County, IN",31,2020-04-07,"step9",0.2
"Allen County, IN",32,2020-04-08,"step9",0.2
"Allen County, IN",33,2020-04-09,"step9",0.2
"Allen County, IN",33,2020-04-09,"step10",0.19
"Allen County, IN",34,2020-04-10,"step10",0.19
"Allen County, IN",35,2020-04-11,"step10",0.19
"Allen County, IN",33,2020-04-09,"step11",0.185
"Allen County, IN",34,2020-04-10,"step11",0.185
"Allen County, IN",35,2020-04-11,"step11",0.185
"Allen County, IN",36,2020-04-12,"step11",0.185
"Allen County, IN",37,2020-04-13,"step11",0.185
"Allen County, IN",35,2020-04-11,"step12",0.17
"Allen County, IN",36,2020-04-12,"step12",0.17
"Allen County, IN",37,2020-04-13,"step12",0.17
"Allen County, IN",38,2020-04-14,"step12",0.17
"Allen County, IN",39,2020-04-15,"step12",0.17
"Allen County, IN",37,2020-04-13,"step13",0.15
"Allen County, IN",38,2020-04-14,"step13",0.15
"Allen County, IN",39,2020-04-15,"step13",0.15
