"region","time","date","period","b1"
"Arizona",0,2020-02-07,"baseline",0.4
"Arizona",1,2020-02-08,"baseline",0.4
"Arizona",2,2020-02-09,"baseline",0.4
"Arizona",3,2020-02-10,"baseline",0.4
"Arizona",3,2020-02-10,"step1",0
"Arizona",4,2020-02-11,"step1",0
"Arizona",5,2020-02-12,"step1",0
"Arizona",5,2020-02-12,"step2",0
"Arizona",6,2020-02-13,"step2",0
"Arizona",7,2020-02-14,"step2",0
"Arizona",7,2020-02-14,"step3",0
"Arizona",8,2020-02-15,"step3",0
"Arizona",9,2020-02-16,"step3",0
"Arizona",9,2020-02-16,"step4",0
"Arizona",10,2020-02-17,"step4",0
"Arizona",11,2020-02-18,"step4",0
"Arizona",11,2020-02-18,"step5",0
"Arizona",12,2020-02-19,"step5",0
"Arizona",13,2020-02-20,"step5",0
"Arizona",13,2020-02-20,"step6",0
"Arizona",14,2020-02-21,"step6",0
"Arizona",15,2020-02-22,"step6",0
"Arizona",15,2020-02-22,"step7",0
"Arizona",16,2020-02-23,"step7",0
"Arizona",17,2020-02-24,"step7",0
"Arizona",17,2020-02-24,"step8",0
"Arizona",18,2020-02-25,"step8",0
"Arizona",19,2020-02-26,"step8",0
"Arizona",19,2020-02-26,"step9",0
"Arizona",20,2020-02-27,"step9",0
"Arizona",21,2020-02-28,"step9",0
"Arizona",21,2020-02-28,"step10",0
"Arizona",22,2020-02-29,"step10",0
"Arizona",23,2020-03-01,"step10",0
"Arizona",23,2020-03-01,"step11",0
"Arizona",24,2020-03-02,"step11",0
"Arizona",25,2020-03-03,"step11",0
"Arizona",25,2020-03-03,"step12",1.33
"Arizona",26,2020-03-04,"step12",1.33
"Arizona",27,2020-03-05,"step12",1.33
"Arizona",27,2020-03-05,"step13",1.33
"Arizona",28,2020-03-06,"step13",1.33
"Arizona",29,2020-03-07,"step13",1.33
"Arizona",29,2020-03-07,"step14",1.33
"Arizona",30,2020-03-08,"step14",1.33
"Arizona",31,2020-03-09,"step14",1.33
"Arizona",31,2020-03-09,"step15",1.22
"Arizona",32,2020-03-10,"step15",1.22
"Arizona",33,2020-03-11,"step15",1.22
"Arizona",33,2020-03-11,"step16",1.04
"Arizona",34,2020-03-12,"step16",1.04
"Arizona",35,2020-03-13,"step16",1.04
"Arizona",35,2020-03-13,"step17",0.89
"Arizona",36,2020-03-14,"step17",0.89
"Arizona",37,2020-03-15,"step17",0.89
"Arizona",37,2020-03-15,"step18",0.76
"Arizona",38,2020-03-16,"step18",0.76
"Arizona",39,2020-03-17,"step18",0.76
