"region","time","date","period","b1"
"Berkshire County, MA",0,2020-03-05,"baseline",0.42
"Berkshire County, MA",1,2020-03-06,"baseline",0.42
"Berkshire County, MA",2,2020-03-07,"baseline",0.42
"Berkshire County, MA",3,2020-03-08,"baseline",0.42
"Berkshire County, MA",4,2020-03-09,"baseline",0.42
"Berkshire County, MA",5,2020-03-10,"baseline",0.42
"Berkshire County, MA",5,2020-03-10,"step1",0.32
"Berkshire County, MA",6,2020-03-11,"step1",0.32
"Berkshire County, MA",7,2020-03-12,"step1",0.32
"Berkshire County, MA",7,2020-03-12,"step2",0.28
"Berkshire County, MA",8,2020-03-13,"step2",0.28
"Berkshire County, MA",9,2020-03-14,"step2",0.28
"Berkshire County, MA",9,2020-03-14,"step3",0.26
"Berkshire County, MA",10,2020-03-15,"step3",0.26
"Berkshire County, MA",11,2020-03-16,"step3",0.26
"Berkshire County, MA",11,2020-03-16,"step4",0.24
"Berkshire County, MA",12,2020-03-17,"step4",0.24
"Berkshire County, MA",13,2020-03-18,"step4",0.24
"Berkshire County, MA",13,2020-03-18,"step5",0.23
"Berkshire County, MA",14,2020-03-19,"step5",0.23
"Berkshire County, MA",15,2020-03-20,"step5",0.23
"Berkshire County, MA",15,2020-03-20,"step6",0.21
"Berkshire County, MA",16,2020-03-21,"step6",0.21
"Berkshire County, MA",17,2020-03-22,"step6",0.21
"Berkshire County, MA",17,2020-03-22,"step7",0.18
"Berkshire County, MA",18,2020-03-23,"step7",0.18
"Berkshire County, MA",19,2020-03-24,"step7",0.18
"Berkshire County, MA",19,2020-03-24,"step8",0.14
"Berkshire County, MA",20,2020-03-25,"step8",0.14
"Berkshire County, MA",21,2020-03-26,"step8",0.14
"Berkshire County, MA",21,2020-03-26,"step9",0.12
"Berkshire County, MA",22,2020-03-27,"step9",0.12
"Berkshire County, MA",23,2020-03-28,"step9",0.12
"Berkshire County, MA",23,2020-03-28,"step10",0.09
"Berkshire County, MA",24,2020-03-29,"step10",0.09
"Berkshire County, MA",25,2020-03-30,"step10",0.09
"Berkshire County, MA",25,2020-03-30,"step11",0.08
"Berkshire County, MA",26,2020-03-31,"step11",0.08
"Berkshire County, MA",27,2020-04-01,"step11",0.08
"Berkshire County, MA",27,2020-04-01,"step12",0.06
"Berkshire County, MA",28,2020-04-02,"step12",0.06
"Berkshire County, MA",29,2020-04-03,"step12",0.06
"Berkshire County, MA",29,2020-04-03,"step13",0.06
"Berkshire County, MA",30,2020-04-04,"step13",0.06
"Berkshire County, MA",31,2020-04-05,"step13",0.06
"Berkshire County, MA",31,2020-04-05,"step14",0.05
"Berkshire County, MA",32,2020-04-06,"step14",0.05
"Berkshire County, MA",33,2020-04-07,"step14",0.05
"Berkshire County, MA",33,2020-04-07,"step15",0.05
"Berkshire County, MA",34,2020-04-08,"step15",0.05
"Berkshire County, MA",35,2020-04-09,"step15",0.05
"Berkshire County, MA",35,2020-04-09,"step16",0.06
"Berkshire County, MA",36,2020-04-10,"step16",0.06
"Berkshire County, MA",37,2020-04-11,"step16",0.06
"Berkshire County, MA",35,2020-04-09,"step17",0.07
"Berkshire County, MA",36,2020-04-10,"step17",0.07
"Berkshire County, MA",37,2020-04-11,"step17",0.07
"Berkshire County, MA",38,2020-04-12,"step17",0.07
"Berkshire County, MA",39,2020-04-13,"step17",0.07
"Berkshire County, MA",37,2020-04-11,"step18",0.095
"Berkshire County, MA",38,2020-04-12,"step18",0.095
"Berkshire County, MA",39,2020-04-13,"step18",0.095
