"region","time","date","period","b1"
"Broward County, FL",0,2020-02-03,"baseline",0.28
"Broward County, FL",1,2020-02-04,"baseline",0.28
"Broward County, FL",2,2020-02-05,"baseline",0.28
"Broward County, FL",3,2020-02-06,"baseline",0.28
"Broward County, FL",4,2020-02-07,"baseline",0.28
"Broward County, FL",5,2020-02-08,"baseline",0.28
"Broward County, FL",6,2020-02-09,"baseline",0.28
"Broward County, FL",7,2020-02-10,"baseline",0.28
"Broward County, FL",8,2020-02-11,"baseline",0.28
"Broward County, FL",9,2020-02-12,"baseline",0.28
"Broward County, FL",10,2020-02-13,"baseline",0.28
"Broward County, FL",11,2020-02-14,"baseline",0.28
"Broward County, FL",12,2020-02-15,"baseline",0.28
"Broward County, FL",13,2020-02-16,"baseline",0.28
"Broward County, FL",14,2020-02-17,"baseline",0.28
"Broward County, FL",15,2020-02-18,"baseline",0.28
"Broward County, FL",16,2020-02-19,"baseline",0.28
"Broward County, FL",17,2020-02-20,"baseline",0.28
"Broward County, FL",18,2020-02-21,"baseline",0.28
"Broward County, FL",19,2020-02-22,"baseline",0.28
"Broward County, FL",20,2020-02-23,"baseline",0.28
"Broward County, FL",21,2020-02-24,"baseline",0.28
"Broward County, FL",22,2020-02-25,"baseline",0.28
"Broward County, FL",23,2020-02-26,"baseline",0.28
"Broward County, FL",24,2020-02-27,"baseline",0.28
"Broward County, FL",25,2020-02-28,"baseline",0.28
"Broward County, FL",26,2020-02-29,"baseline",0.28
"Broward County, FL",27,2020-03-01,"baseline",0.28
"Broward County, FL",28,2020-03-02,"baseline",0.28
"Broward County, FL",29,2020-03-03,"baseline",0.28
"Broward County, FL",30,2020-03-04,"baseline",0.28
"Broward County, FL",31,2020-03-05,"baseline",0.28
"Broward County, FL",32,2020-03-06,"baseline",0.28
"Broward County, FL",33,2020-03-07,"baseline",0.28
"Broward County, FL",34,2020-03-08,"baseline",0.28
"Broward County, FL",35,2020-03-09,"baseline",0.28
"Broward County, FL",35,2020-03-09,"step1",0.03
"Broward County, FL",36,2020-03-10,"step1",0.03
"Broward County, FL",37,2020-03-11,"step1",0.03
"Broward County, FL",37,2020-03-11,"step2",0.36
"Broward County, FL",38,2020-03-12,"step2",0.36
"Broward County, FL",39,2020-03-13,"step2",0.36
"Broward County, FL",39,2020-03-13,"step3",0.41
"Broward County, FL",40,2020-03-14,"step3",0.41
"Broward County, FL",41,2020-03-15,"step3",0.41
"Broward County, FL",41,2020-03-15,"step4",0.38
"Broward County, FL",42,2020-03-16,"step4",0.38
"Broward County, FL",43,2020-03-17,"step4",0.38
"Broward County, FL",43,2020-03-17,"step5",0.34
"Broward County, FL",44,2020-03-18,"step5",0.34
"Broward County, FL",45,2020-03-19,"step5",0.34
"Broward County, FL",45,2020-03-19,"step6",0.31
"Broward County, FL",46,2020-03-20,"step6",0.31
"Broward County, FL",47,2020-03-21,"step6",0.31
