"region","time","date","period","b1"
"Brown County, WI",0,2020-03-16,"baseline",0
"Brown County, WI",1,2020-03-17,"baseline",0
"Brown County, WI",2,2020-03-18,"baseline",0
"Brown County, WI",3,2020-03-19,"baseline",0
"Brown County, WI",4,2020-03-20,"baseline",0
"Brown County, WI",4,2020-03-20,"step2",0
"Brown County, WI",5,2020-03-21,"step2",0
"Brown County, WI",6,2020-03-22,"step2",0
"Brown County, WI",6,2020-03-22,"step3",0.43
"Brown County, WI",7,2020-03-23,"step3",0.43
"Brown County, WI",8,2020-03-24,"step3",0.43
"Brown County, WI",8,2020-03-24,"step4",0.46
"Brown County, WI",9,2020-03-25,"step4",0.46
"Brown County, WI",10,2020-03-26,"step4",0.46
"Brown County, WI",10,2020-03-26,"step5",0.39
"Brown County, WI",11,2020-03-27,"step5",0.39
"Brown County, WI",12,2020-03-28,"step5",0.39
"Brown County, WI",12,2020-03-28,"step6",0.3
"Brown County, WI",13,2020-03-29,"step6",0.3
"Brown County, WI",14,2020-03-30,"step6",0.3
"Brown County, WI",14,2020-03-30,"step7",0.25
"Brown County, WI",15,2020-03-31,"step7",0.25
"Brown County, WI",16,2020-04-01,"step7",0.25
"Brown County, WI",16,2020-04-01,"step8",0.25
"Brown County, WI",17,2020-04-02,"step8",0.25
"Brown County, WI",18,2020-04-03,"step8",0.25
"Brown County, WI",18,2020-04-03,"step9",0.24
"Brown County, WI",19,2020-04-04,"step9",0.24
"Brown County, WI",20,2020-04-05,"step9",0.24
"Brown County, WI",20,2020-04-05,"step10",0.2
"Brown County, WI",21,2020-04-06,"step10",0.2
"Brown County, WI",22,2020-04-07,"step10",0.2
"Brown County, WI",22,2020-04-07,"step11",0.21
"Brown County, WI",23,2020-04-08,"step11",0.21
"Brown County, WI",24,2020-04-09,"step11",0.21
"Brown County, WI",24,2020-04-09,"step12",0.21
"Brown County, WI",25,2020-04-10,"step12",0.21
"Brown County, WI",26,2020-04-11,"step12",0.21
"Brown County, WI",26,2020-04-11,"step13",0.22
"Brown County, WI",27,2020-04-12,"step13",0.22
"Brown County, WI",28,2020-04-13,"step13",0.22
"Brown County, WI",28,2020-04-13,"step14",0.22
"Brown County, WI",29,2020-04-14,"step14",0.22
"Brown County, WI",30,2020-04-15,"step14",0.22
"Brown County, WI",30,2020-04-15,"step16",0.22
"Brown County, WI",31,2020-04-16,"step16",0.22
"Brown County, WI",32,2020-04-17,"step16",0.22
"Brown County, WI",32,2020-04-17,"step17",0.23
"Brown County, WI",33,2020-04-18,"step17",0.23
"Brown County, WI",34,2020-04-19,"step17",0.23
"Brown County, WI",34,2020-04-19,"step18",0.23
"Brown County, WI",35,2020-04-20,"step18",0.23
"Brown County, WI",36,2020-04-21,"step18",0.23
"Brown County, WI",36,2020-04-21,"step19",0.21
"Brown County, WI",37,2020-04-22,"step19",0.21
"Brown County, WI",38,2020-04-23,"step19",0.21
"Brown County, WI",38,2020-04-23,"step20",0.17
"Brown County, WI",39,2020-04-24,"step20",0.17
"Brown County, WI",40,2020-04-25,"step20",0.17
"Brown County, WI",40,2020-04-25,"step21",0.14
"Brown County, WI",41,2020-04-26,"step21",0.14
"Brown County, WI",42,2020-04-27,"step21",0.14
"Brown County, WI",42,2020-04-27,"step22",0.11
"Brown County, WI",43,2020-04-28,"step22",0.11
"Brown County, WI",44,2020-04-29,"step22",0.11
"Brown County, WI",44,2020-04-29,"step23",0.1
"Brown County, WI",45,2020-04-30,"step23",0.1
"Brown County, WI",46,2020-05-01,"step23",0.1
"Brown County, WI",46,2020-05-01,"step24",0.09
"Brown County, WI",47,2020-05-02,"step24",0.09
"Brown County, WI",48,2020-05-03,"step24",0.09
"Brown County, WI",48,2020-05-03,"step25",0.09
"Brown County, WI",49,2020-05-04,"step25",0.09
"Brown County, WI",50,2020-05-05,"step25",0.09
"Brown County, WI",50,2020-05-05,"step27",0.07
"Brown County, WI",51,2020-05-06,"step27",0.07
"Brown County, WI",52,2020-05-07,"step27",0.07
"Brown County, WI",52,2020-05-07,"step29",0.06
"Brown County, WI",53,2020-05-08,"step29",0.06
"Brown County, WI",53,2020-05-08,"step31",0.06
"Brown County, WI",54,2020-05-09,"step31",0.06
"Brown County, WI",55,2020-05-10,"step31",0.06
"Brown County, WI",55,2020-05-10,"step33",0.06
"Brown County, WI",56,2020-05-11,"step33",0.06
"Brown County, WI",57,2020-05-12,"step33",0.06
"Brown County, WI",57,2020-05-12,"step36",0.05
"Brown County, WI",57,2020-05-12,"step37",0.05
"Brown County, WI",58,2020-05-13,"step37",0.05
"Brown County, WI",59,2020-05-14,"step37",0.05
"Brown County, WI",59,2020-05-14,"step38",0.05
"Brown County, WI",60,2020-05-15,"step38",0.05
"Brown County, WI",61,2020-05-16,"step38",0.05
"Brown County, WI",61,2020-05-16,"step39",0.05
"Brown County, WI",62,2020-05-17,"step39",0.05
"Brown County, WI",63,2020-05-18,"step39",0.05
"Brown County, WI",63,2020-05-18,"step40",0.04
"Brown County, WI",64,2020-05-19,"step40",0.04
"Brown County, WI",65,2020-05-20,"step40",0.04
"Brown County, WI",65,2020-05-20,"step41",0.03
"Brown County, WI",66,2020-05-21,"step41",0.03
"Brown County, WI",67,2020-05-22,"step41",0.03
"Brown County, WI",67,2020-05-22,"step42",0.03
"Brown County, WI",68,2020-05-23,"step42",0.03
"Brown County, WI",69,2020-05-24,"step42",0.03
"Brown County, WI",69,2020-05-24,"step43",0.02
"Brown County, WI",70,2020-05-25,"step43",0.02
"Brown County, WI",71,2020-05-26,"step43",0.02
"Brown County, WI",71,2020-05-26,"step44",0.01
"Brown County, WI",72,2020-05-27,"step44",0.01
"Brown County, WI",73,2020-05-28,"step44",0.01
"Brown County, WI",73,2020-05-28,"step45",0
"Brown County, WI",74,2020-05-29,"step45",0
"Brown County, WI",75,2020-05-30,"step45",0
"Brown County, WI",75,2020-05-30,"step46",0
"Brown County, WI",76,2020-05-31,"step46",0
"Brown County, WI",77,2020-06-01,"step46",0
"Brown County, WI",77,2020-06-01,"step47",0
"Brown County, WI",78,2020-06-02,"step47",0
"Brown County, WI",79,2020-06-03,"step47",0
