"region","time","date","period","b1"
"Chaffee County, CO",0,2020-03-17,"baseline",0
"Chaffee County, CO",1,2020-03-18,"baseline",0
"Chaffee County, CO",2,2020-03-19,"baseline",0
"Chaffee County, CO",3,2020-03-20,"baseline",0
"Chaffee County, CO",3,2020-03-20,"stepNA",0.0977267110839581
"Chaffee County, CO",4,2020-03-21,"stepNA",0.0977267110839581
"Chaffee County, CO",5,2020-03-22,"stepNA",0.0977267110839581
"Chaffee County, CO",6,2020-03-23,"stepNA",0.0977267110839581
"Chaffee County, CO",7,2020-03-24,"stepNA",0.0977267110839581
"Chaffee County, CO",8,2020-03-25,"stepNA",0.0977267110839581
"Chaffee County, CO",9,2020-03-26,"stepNA",0.0977267110839581
"Chaffee County, CO",10,2020-03-27,"stepNA",0.0977267110839581
"Chaffee County, CO",11,2020-03-28,"stepNA",0.0977267110839581
"Chaffee County, CO",12,2020-03-29,"stepNA",0.0977267110839581
"Chaffee County, CO",13,2020-03-30,"stepNA",0.0977267110839581
"Chaffee County, CO",14,2020-03-31,"stepNA",0.0977267110839581
"Chaffee County, CO",15,2020-04-01,"stepNA",0.0977267110839581
"Chaffee County, CO",16,2020-04-02,"stepNA",0.0977267110839581
"Chaffee County, CO",17,2020-04-03,"stepNA",0.0977267110839581
"Chaffee County, CO",18,2020-04-04,"stepNA",0.0977267110839581
"Chaffee County, CO",19,2020-04-05,"stepNA",0.0977267110839581
"Chaffee County, CO",20,2020-04-06,"stepNA",0.0977267110839581
"Chaffee County, CO",21,2020-04-07,"stepNA",0.0977267110839581
"Chaffee County, CO",22,2020-04-08,"stepNA",0.0977267110839581
"Chaffee County, CO",23,2020-04-09,"stepNA",0.0977267110839581
"Chaffee County, CO",24,2020-04-10,"stepNA",0.0977267110839581
"Chaffee County, CO",25,2020-04-11,"stepNA",0.0977267110839581
"Chaffee County, CO",26,2020-04-12,"stepNA",0.0977267110839581
"Chaffee County, CO",27,2020-04-13,"stepNA",0.0977267110839581
"Chaffee County, CO",28,2020-04-14,"stepNA",0.0977267110839581
"Chaffee County, CO",29,2020-04-15,"stepNA",0.0977267110839581
"Chaffee County, CO",30,2020-04-16,"stepNA",0.0977267110839581
"Chaffee County, CO",31,2020-04-17,"stepNA",0.0977267110839581
"Chaffee County, CO",32,2020-04-18,"stepNA",0.0977267110839581
"Chaffee County, CO",33,2020-04-19,"stepNA",0.0977267110839581
"Chaffee County, CO",34,2020-04-20,"stepNA",0.0977267110839581
"Chaffee County, CO",35,2020-04-21,"stepNA",0.0977267110839581
"Chaffee County, CO",36,2020-04-22,"stepNA",0.0977267110839581
"Chaffee County, CO",37,2020-04-23,"stepNA",0.0977267110839581
"Chaffee County, CO",38,2020-04-24,"stepNA",0.0977267110839581
"Chaffee County, CO",39,2020-04-25,"stepNA",0.0977267110839581
"Chaffee County, CO",40,2020-04-26,"stepNA",0.0977267110839581
"Chaffee County, CO",41,2020-04-27,"stepNA",0.0977267110839581
"Chaffee County, CO",42,2020-04-28,"stepNA",0.0977267110839581
"Chaffee County, CO",43,2020-04-29,"stepNA",0.0977267110839581
"Chaffee County, CO",44,2020-04-30,"stepNA",0.0977267110839581
"Chaffee County, CO",45,2020-05-01,"stepNA",0.0977267110839581
"Chaffee County, CO",46,2020-05-02,"stepNA",0.0977267110839581
"Chaffee County, CO",47,2020-05-03,"stepNA",0.0977267110839581
"Chaffee County, CO",48,2020-05-04,"stepNA",0.0977267110839581
"Chaffee County, CO",49,2020-05-05,"stepNA",0.0977267110839581
"Chaffee County, CO",50,2020-05-06,"stepNA",0.0977267110839581
"Chaffee County, CO",51,2020-05-07,"stepNA",0.0977267110839581
"Chaffee County, CO",52,2020-05-08,"stepNA",0.0977267110839581
"Chaffee County, CO",53,2020-05-09,"stepNA",0.0977267110839581
"Chaffee County, CO",54,2020-05-10,"stepNA",0.0977267110839581
"Chaffee County, CO",55,2020-05-11,"stepNA",0.0977267110839581
"Chaffee County, CO",56,2020-05-12,"stepNA",0.0977267110839581
"Chaffee County, CO",56,2020-05-12,"stepNA",0
"Chaffee County, CO",57,2020-05-13,"stepNA",0
"Chaffee County, CO",58,2020-05-14,"stepNA",0
"Chaffee County, CO",58,2020-05-14,"stepNA",0
"Chaffee County, CO",59,2020-05-15,"stepNA",0
"Chaffee County, CO",60,2020-05-16,"stepNA",0
"Chaffee County, CO",60,2020-05-16,"stepNA",0
"Chaffee County, CO",61,2020-05-17,"stepNA",0
"Chaffee County, CO",62,2020-05-18,"stepNA",0
"Chaffee County, CO",62,2020-05-18,"stepNA",0
"Chaffee County, CO",63,2020-05-19,"stepNA",0
