"region","time","date","period","b1"
"Charlotte County, FL",0,2020-03-15,"baseline",0.08
"Charlotte County, FL",1,2020-03-16,"baseline",0.08
"Charlotte County, FL",2,2020-03-17,"baseline",0.08
"Charlotte County, FL",3,2020-03-18,"baseline",0.08
"Charlotte County, FL",4,2020-03-19,"baseline",0.08
"Charlotte County, FL",5,2020-03-20,"baseline",0.08
"Charlotte County, FL",6,2020-03-21,"baseline",0.08
"Charlotte County, FL",7,2020-03-22,"baseline",0.08
"Charlotte County, FL",8,2020-03-23,"baseline",0.08
"Charlotte County, FL",9,2020-03-24,"baseline",0.08
"Charlotte County, FL",10,2020-03-25,"baseline",0.08
"Charlotte County, FL",11,2020-03-26,"baseline",0.08
"Charlotte County, FL",12,2020-03-27,"baseline",0.08
"Charlotte County, FL",13,2020-03-28,"baseline",0.08
"Charlotte County, FL",14,2020-03-29,"baseline",0.08
"Charlotte County, FL",14,2020-03-29,"step1",0.75
"Charlotte County, FL",15,2020-03-30,"step1",0.75
"Charlotte County, FL",16,2020-03-31,"step1",0.75
"Charlotte County, FL",16,2020-03-31,"step2",0.63
"Charlotte County, FL",17,2020-04-01,"step2",0.63
"Charlotte County, FL",18,2020-04-02,"step2",0.63
"Charlotte County, FL",18,2020-04-02,"step3",0.54
"Charlotte County, FL",19,2020-04-03,"step3",0.54
"Charlotte County, FL",20,2020-04-04,"step3",0.54
"Charlotte County, FL",20,2020-04-04,"step4",0.45
"Charlotte County, FL",21,2020-04-05,"step4",0.45
"Charlotte County, FL",22,2020-04-06,"step4",0.45
"Charlotte County, FL",22,2020-04-06,"step5",0.39
"Charlotte County, FL",23,2020-04-07,"step5",0.39
"Charlotte County, FL",24,2020-04-08,"step5",0.39
"Charlotte County, FL",24,2020-04-08,"step6",0.33
"Charlotte County, FL",25,2020-04-09,"step6",0.33
"Charlotte County, FL",26,2020-04-10,"step6",0.33
"Charlotte County, FL",25,2020-04-09,"step7",0.3
"Charlotte County, FL",26,2020-04-10,"step7",0.3
"Charlotte County, FL",27,2020-04-11,"step7",0.3
"Charlotte County, FL",28,2020-04-12,"step7",0.3
"Charlotte County, FL",27,2020-04-11,"step8",0.26
"Charlotte County, FL",28,2020-04-12,"step8",0.26
"Charlotte County, FL",29,2020-04-13,"step8",0.26
"Charlotte County, FL",30,2020-04-14,"step8",0.26
"Charlotte County, FL",29,2020-04-13,"step9",0.22
"Charlotte County, FL",30,2020-04-14,"step9",0.22
"Charlotte County, FL",31,2020-04-15,"step9",0.22
"Charlotte County, FL",31,2020-04-15,"step11",0.07
"Charlotte County, FL",32,2020-04-16,"step11",0.07
"Charlotte County, FL",33,2020-04-17,"step11",0.07
"Charlotte County, FL",33,2020-04-17,"step12",0.06
"Charlotte County, FL",34,2020-04-18,"step12",0.06
"Charlotte County, FL",35,2020-04-19,"step12",0.06
"Charlotte County, FL",35,2020-04-19,"step13",0.05
"Charlotte County, FL",36,2020-04-20,"step13",0.05
"Charlotte County, FL",37,2020-04-21,"step13",0.05
"Charlotte County, FL",37,2020-04-21,"step14",0.05
"Charlotte County, FL",38,2020-04-22,"step14",0.05
"Charlotte County, FL",39,2020-04-23,"step14",0.05
"Charlotte County, FL",39,2020-04-23,"step15",0.05
"Charlotte County, FL",40,2020-04-24,"step15",0.05
"Charlotte County, FL",41,2020-04-25,"step15",0.05
"Charlotte County, FL",41,2020-04-25,"step16",0.06
"Charlotte County, FL",42,2020-04-26,"step16",0.06
"Charlotte County, FL",43,2020-04-27,"step16",0.06
"Charlotte County, FL",43,2020-04-27,"step17",0.09
"Charlotte County, FL",44,2020-04-28,"step17",0.09
"Charlotte County, FL",45,2020-04-29,"step17",0.09
"Charlotte County, FL",45,2020-04-29,"step18",0.13
"Charlotte County, FL",46,2020-04-30,"step18",0.13
"Charlotte County, FL",47,2020-05-01,"step18",0.13
"Charlotte County, FL",47,2020-05-01,"step19",0.17
"Charlotte County, FL",48,2020-05-02,"step19",0.17
"Charlotte County, FL",49,2020-05-03,"step19",0.17
"Charlotte County, FL",49,2020-05-03,"step20",0.17
"Charlotte County, FL",50,2020-05-04,"step20",0.17
"Charlotte County, FL",51,2020-05-05,"step20",0.17
"Charlotte County, FL",51,2020-05-05,"step22",0.22
"Charlotte County, FL",52,2020-05-06,"step22",0.22
"Charlotte County, FL",53,2020-05-07,"step22",0.22
"Charlotte County, FL",53,2020-05-07,"step24",0.2
"Charlotte County, FL",54,2020-05-08,"step24",0.2
"Charlotte County, FL",54,2020-05-08,"step26",0.18
"Charlotte County, FL",55,2020-05-09,"step26",0.18
"Charlotte County, FL",56,2020-05-10,"step26",0.18
"Charlotte County, FL",56,2020-05-10,"step28",0.16
"Charlotte County, FL",57,2020-05-11,"step28",0.16
"Charlotte County, FL",58,2020-05-12,"step28",0.16
"Charlotte County, FL",58,2020-05-12,"step31",0.14
"Charlotte County, FL",58,2020-05-12,"step32",0.14
"Charlotte County, FL",59,2020-05-13,"step32",0.14
"Charlotte County, FL",60,2020-05-14,"step32",0.14
"Charlotte County, FL",60,2020-05-14,"step33",0.12
"Charlotte County, FL",61,2020-05-15,"step33",0.12
"Charlotte County, FL",62,2020-05-16,"step33",0.12
"Charlotte County, FL",62,2020-05-16,"step34",0.11
"Charlotte County, FL",63,2020-05-17,"step34",0.11
"Charlotte County, FL",64,2020-05-18,"step34",0.11
"Charlotte County, FL",64,2020-05-18,"step35",0.1
"Charlotte County, FL",65,2020-05-19,"step35",0.1
"Charlotte County, FL",66,2020-05-20,"step35",0.1
"Charlotte County, FL",66,2020-05-20,"step36",0.09
"Charlotte County, FL",67,2020-05-21,"step36",0.09
"Charlotte County, FL",68,2020-05-22,"step36",0.09
"Charlotte County, FL",68,2020-05-22,"step37",0.09
"Charlotte County, FL",69,2020-05-23,"step37",0.09
"Charlotte County, FL",70,2020-05-24,"step37",0.09
"Charlotte County, FL",70,2020-05-24,"step38",0.09
"Charlotte County, FL",71,2020-05-25,"step38",0.09
"Charlotte County, FL",72,2020-05-26,"step38",0.09
"Charlotte County, FL",72,2020-05-26,"step39",0.06
"Charlotte County, FL",73,2020-05-27,"step39",0.06
"Charlotte County, FL",74,2020-05-28,"step39",0.06
"Charlotte County, FL",74,2020-05-28,"step40",0
"Charlotte County, FL",75,2020-05-29,"step40",0
"Charlotte County, FL",76,2020-05-30,"step40",0
"Charlotte County, FL",76,2020-05-30,"step41",0
"Charlotte County, FL",77,2020-05-31,"step41",0
"Charlotte County, FL",78,2020-06-01,"step41",0
"Charlotte County, FL",78,2020-06-01,"step42",0
"Charlotte County, FL",79,2020-06-02,"step42",0
"Charlotte County, FL",80,2020-06-03,"step42",0
