"region","time","date","period","b1"
"Clark County, NV",0,2020-02-04,"baseline",0.32
"Clark County, NV",1,2020-02-05,"baseline",0.32
"Clark County, NV",2,2020-02-06,"baseline",0.32
"Clark County, NV",3,2020-02-07,"baseline",0.32
"Clark County, NV",4,2020-02-08,"baseline",0.32
"Clark County, NV",5,2020-02-09,"baseline",0.32
"Clark County, NV",6,2020-02-10,"baseline",0.32
"Clark County, NV",7,2020-02-11,"baseline",0.32
"Clark County, NV",8,2020-02-12,"baseline",0.32
"Clark County, NV",9,2020-02-13,"baseline",0.32
"Clark County, NV",10,2020-02-14,"baseline",0.32
"Clark County, NV",11,2020-02-15,"baseline",0.32
"Clark County, NV",12,2020-02-16,"baseline",0.32
"Clark County, NV",13,2020-02-17,"baseline",0.32
"Clark County, NV",14,2020-02-18,"baseline",0.32
"Clark County, NV",15,2020-02-19,"baseline",0.32
"Clark County, NV",16,2020-02-20,"baseline",0.32
"Clark County, NV",17,2020-02-21,"baseline",0.32
"Clark County, NV",18,2020-02-22,"baseline",0.32
"Clark County, NV",19,2020-02-23,"baseline",0.32
"Clark County, NV",20,2020-02-24,"baseline",0.32
"Clark County, NV",21,2020-02-25,"baseline",0.32
"Clark County, NV",22,2020-02-26,"baseline",0.32
"Clark County, NV",23,2020-02-27,"baseline",0.32
"Clark County, NV",24,2020-02-28,"baseline",0.32
"Clark County, NV",25,2020-02-29,"baseline",0.32
"Clark County, NV",26,2020-03-01,"baseline",0.32
"Clark County, NV",27,2020-03-02,"baseline",0.32
"Clark County, NV",28,2020-03-03,"baseline",0.32
"Clark County, NV",29,2020-03-04,"baseline",0.32
"Clark County, NV",30,2020-03-05,"baseline",0.32
"Clark County, NV",31,2020-03-06,"baseline",0.32
"Clark County, NV",32,2020-03-07,"baseline",0.32
"Clark County, NV",32,2020-03-07,"step1",0
"Clark County, NV",33,2020-03-08,"step1",0
"Clark County, NV",34,2020-03-09,"step1",0
"Clark County, NV",34,2020-03-09,"step2",0.3
"Clark County, NV",35,2020-03-10,"step2",0.3
"Clark County, NV",36,2020-03-11,"step2",0.3
"Clark County, NV",36,2020-03-11,"step3",0.29
"Clark County, NV",37,2020-03-12,"step3",0.29
"Clark County, NV",38,2020-03-13,"step3",0.29
"Clark County, NV",38,2020-03-13,"step4",0.27
"Clark County, NV",39,2020-03-14,"step4",0.27
"Clark County, NV",40,2020-03-15,"step4",0.27
"Clark County, NV",40,2020-03-15,"step5",0.25
"Clark County, NV",41,2020-03-16,"step5",0.25
"Clark County, NV",42,2020-03-17,"step5",0.25
"Clark County, NV",42,2020-03-17,"step6",0.23
"Clark County, NV",43,2020-03-18,"step6",0.23
"Clark County, NV",44,2020-03-19,"step6",0.23
"Clark County, NV",44,2020-03-19,"step7",0.21
"Clark County, NV",45,2020-03-20,"step7",0.21
"Clark County, NV",46,2020-03-21,"step7",0.21
"Clark County, NV",46,2020-03-21,"step8",0.18
"Clark County, NV",47,2020-03-22,"step8",0.18
"Clark County, NV",48,2020-03-23,"step8",0.18
"Clark County, NV",48,2020-03-23,"step9",0.16
"Clark County, NV",49,2020-03-24,"step9",0.16
"Clark County, NV",50,2020-03-25,"step9",0.16
"Clark County, NV",50,2020-03-25,"step10",0.14
"Clark County, NV",51,2020-03-26,"step10",0.14
"Clark County, NV",52,2020-03-27,"step10",0.14
"Clark County, NV",52,2020-03-27,"step11",0.14
"Clark County, NV",53,2020-03-28,"step11",0.14
"Clark County, NV",54,2020-03-29,"step11",0.14
"Clark County, NV",54,2020-03-29,"step12",0.14
"Clark County, NV",55,2020-03-30,"step12",0.14
"Clark County, NV",56,2020-03-31,"step12",0.14
"Clark County, NV",56,2020-03-31,"step13",0.14
"Clark County, NV",57,2020-04-01,"step13",0.14
"Clark County, NV",58,2020-04-02,"step13",0.14
"Clark County, NV",58,2020-04-02,"step14",0.13
"Clark County, NV",59,2020-04-03,"step14",0.13
"Clark County, NV",60,2020-04-04,"step14",0.13
"Clark County, NV",60,2020-04-04,"step15",0.11
"Clark County, NV",61,2020-04-05,"step15",0.11
"Clark County, NV",62,2020-04-06,"step15",0.11
"Clark County, NV",62,2020-04-06,"step16",0.1
"Clark County, NV",63,2020-04-07,"step16",0.1
"Clark County, NV",64,2020-04-08,"step16",0.1
"Clark County, NV",64,2020-04-08,"step17",0.09
"Clark County, NV",65,2020-04-09,"step17",0.09
"Clark County, NV",66,2020-04-10,"step17",0.09
"Clark County, NV",65,2020-04-09,"step18",0.08
"Clark County, NV",66,2020-04-10,"step18",0.08
"Clark County, NV",67,2020-04-11,"step18",0.08
"Clark County, NV",68,2020-04-12,"step18",0.08
"Clark County, NV",67,2020-04-11,"step19",0.08
"Clark County, NV",68,2020-04-12,"step19",0.08
"Clark County, NV",69,2020-04-13,"step19",0.08
"Clark County, NV",70,2020-04-14,"step19",0.08
"Clark County, NV",69,2020-04-13,"step20",0.09
"Clark County, NV",70,2020-04-14,"step20",0.09
"Clark County, NV",71,2020-04-15,"step20",0.09
"Clark County, NV",71,2020-04-15,"step22",0
"Clark County, NV",72,2020-04-16,"step22",0
"Clark County, NV",73,2020-04-17,"step22",0
"Clark County, NV",73,2020-04-17,"step23",0.03
"Clark County, NV",74,2020-04-18,"step23",0.03
"Clark County, NV",75,2020-04-19,"step23",0.03
"Clark County, NV",75,2020-04-19,"step24",0.11
"Clark County, NV",76,2020-04-20,"step24",0.11
"Clark County, NV",77,2020-04-21,"step24",0.11
"Clark County, NV",77,2020-04-21,"step25",0.15
"Clark County, NV",78,2020-04-22,"step25",0.15
"Clark County, NV",79,2020-04-23,"step25",0.15
"Clark County, NV",79,2020-04-23,"step26",0.18
"Clark County, NV",80,2020-04-24,"step26",0.18
"Clark County, NV",81,2020-04-25,"step26",0.18
"Clark County, NV",81,2020-04-25,"step27",0.19
"Clark County, NV",82,2020-04-26,"step27",0.19
"Clark County, NV",83,2020-04-27,"step27",0.19
"Clark County, NV",83,2020-04-27,"step28",0.18
"Clark County, NV",84,2020-04-28,"step28",0.18
"Clark County, NV",85,2020-04-29,"step28",0.18
"Clark County, NV",85,2020-04-29,"step29",0.17
"Clark County, NV",86,2020-04-30,"step29",0.17
"Clark County, NV",87,2020-05-01,"step29",0.17
"Clark County, NV",87,2020-05-01,"step30",0.16
"Clark County, NV",88,2020-05-02,"step30",0.16
"Clark County, NV",89,2020-05-03,"step30",0.16
"Clark County, NV",89,2020-05-03,"step31",0.15
"Clark County, NV",90,2020-05-04,"step31",0.15
"Clark County, NV",91,2020-05-05,"step31",0.15
"Clark County, NV",91,2020-05-05,"step33",0.13
"Clark County, NV",92,2020-05-06,"step33",0.13
"Clark County, NV",93,2020-05-07,"step33",0.13
"Clark County, NV",93,2020-05-07,"step35",0.11
"Clark County, NV",94,2020-05-08,"step35",0.11
"Clark County, NV",94,2020-05-08,"step37",0.1
"Clark County, NV",95,2020-05-09,"step37",0.1
"Clark County, NV",96,2020-05-10,"step37",0.1
"Clark County, NV",96,2020-05-10,"step39",0.08
"Clark County, NV",97,2020-05-11,"step39",0.08
"Clark County, NV",98,2020-05-12,"step39",0.08
"Clark County, NV",98,2020-05-12,"step42",0.06
"Clark County, NV",98,2020-05-12,"step43",0.06
"Clark County, NV",99,2020-05-13,"step43",0.06
"Clark County, NV",100,2020-05-14,"step43",0.06
"Clark County, NV",100,2020-05-14,"step44",0.06
"Clark County, NV",101,2020-05-15,"step44",0.06
"Clark County, NV",102,2020-05-16,"step44",0.06
"Clark County, NV",102,2020-05-16,"step45",0.07
"Clark County, NV",103,2020-05-17,"step45",0.07
"Clark County, NV",104,2020-05-18,"step45",0.07
"Clark County, NV",104,2020-05-18,"step46",0.08
"Clark County, NV",105,2020-05-19,"step46",0.08
"Clark County, NV",106,2020-05-20,"step46",0.08
"Clark County, NV",106,2020-05-20,"step47",0.1
"Clark County, NV",107,2020-05-21,"step47",0.1
"Clark County, NV",108,2020-05-22,"step47",0.1
"Clark County, NV",108,2020-05-22,"step48",0.1
"Clark County, NV",109,2020-05-23,"step48",0.1
"Clark County, NV",110,2020-05-24,"step48",0.1
"Clark County, NV",110,2020-05-24,"step49",0.1
"Clark County, NV",111,2020-05-25,"step49",0.1
"Clark County, NV",112,2020-05-26,"step49",0.1
"Clark County, NV",112,2020-05-26,"step50",0.1
"Clark County, NV",113,2020-05-27,"step50",0.1
"Clark County, NV",114,2020-05-28,"step50",0.1
"Clark County, NV",114,2020-05-28,"step51",0.12
"Clark County, NV",115,2020-05-29,"step51",0.12
"Clark County, NV",116,2020-05-30,"step51",0.12
"Clark County, NV",116,2020-05-30,"step52",0.14
"Clark County, NV",117,2020-05-31,"step52",0.14
"Clark County, NV",118,2020-06-01,"step52",0.14
"Clark County, NV",118,2020-06-01,"step53",0.2
"Clark County, NV",119,2020-06-02,"step53",0.2
"Clark County, NV",120,2020-06-03,"step53",0.2
