"region","time","date","period","b1"
"Dauphin County, PA",0,2020-03-07,"baseline",0.28
"Dauphin County, PA",1,2020-03-08,"baseline",0.28
"Dauphin County, PA",2,2020-03-09,"baseline",0.28
"Dauphin County, PA",3,2020-03-10,"baseline",0.28
"Dauphin County, PA",4,2020-03-11,"baseline",0.28
"Dauphin County, PA",5,2020-03-12,"baseline",0.28
"Dauphin County, PA",6,2020-03-13,"baseline",0.28
"Dauphin County, PA",7,2020-03-14,"baseline",0.28
"Dauphin County, PA",8,2020-03-15,"baseline",0.28
"Dauphin County, PA",9,2020-03-16,"baseline",0.28
"Dauphin County, PA",10,2020-03-17,"baseline",0.28
"Dauphin County, PA",11,2020-03-18,"baseline",0.28
"Dauphin County, PA",12,2020-03-19,"baseline",0.28
"Dauphin County, PA",13,2020-03-20,"baseline",0.28
"Dauphin County, PA",14,2020-03-21,"baseline",0.28
"Dauphin County, PA",15,2020-03-22,"baseline",0.28
"Dauphin County, PA",16,2020-03-23,"baseline",0.28
"Dauphin County, PA",17,2020-03-24,"baseline",0.28
"Dauphin County, PA",17,2020-03-24,"step1",0
"Dauphin County, PA",18,2020-03-25,"step1",0
"Dauphin County, PA",19,2020-03-26,"step1",0
"Dauphin County, PA",19,2020-03-26,"step2",0
"Dauphin County, PA",20,2020-03-27,"step2",0
"Dauphin County, PA",21,2020-03-28,"step2",0
"Dauphin County, PA",21,2020-03-28,"step3",0
"Dauphin County, PA",22,2020-03-29,"step3",0
"Dauphin County, PA",23,2020-03-30,"step3",0
"Dauphin County, PA",23,2020-03-30,"step4",0
"Dauphin County, PA",24,2020-03-31,"step4",0
"Dauphin County, PA",25,2020-04-01,"step4",0
"Dauphin County, PA",25,2020-04-01,"step5",0
"Dauphin County, PA",26,2020-04-02,"step5",0
"Dauphin County, PA",27,2020-04-03,"step5",0
"Dauphin County, PA",27,2020-04-03,"step6",0.26
"Dauphin County, PA",28,2020-04-04,"step6",0.26
"Dauphin County, PA",29,2020-04-05,"step6",0.26
"Dauphin County, PA",29,2020-04-05,"step7",0.33
"Dauphin County, PA",30,2020-04-06,"step7",0.33
"Dauphin County, PA",31,2020-04-07,"step7",0.33
"Dauphin County, PA",31,2020-04-07,"step8",0.32
"Dauphin County, PA",32,2020-04-08,"step8",0.32
"Dauphin County, PA",33,2020-04-09,"step8",0.32
"Dauphin County, PA",33,2020-04-09,"step10",0.275
"Dauphin County, PA",34,2020-04-10,"step10",0.275
"Dauphin County, PA",35,2020-04-11,"step10",0.275
"Dauphin County, PA",36,2020-04-12,"step10",0.275
"Dauphin County, PA",37,2020-04-13,"step10",0.275
"Dauphin County, PA",33,2020-04-09,"step9",0.29
"Dauphin County, PA",34,2020-04-10,"step9",0.29
"Dauphin County, PA",35,2020-04-11,"step9",0.29
"Dauphin County, PA",35,2020-04-11,"step11",0.245
"Dauphin County, PA",36,2020-04-12,"step11",0.245
"Dauphin County, PA",37,2020-04-13,"step11",0.245
"Dauphin County, PA",38,2020-04-14,"step11",0.245
"Dauphin County, PA",39,2020-04-15,"step11",0.245
"Dauphin County, PA",37,2020-04-13,"step12",0.225
"Dauphin County, PA",38,2020-04-14,"step12",0.225
"Dauphin County, PA",39,2020-04-15,"step12",0.225
"Dauphin County, PA",39,2020-04-15,"step14",0
"Dauphin County, PA",40,2020-04-16,"step14",0
"Dauphin County, PA",41,2020-04-17,"step14",0
"Dauphin County, PA",41,2020-04-17,"step15",0
"Dauphin County, PA",42,2020-04-18,"step15",0
"Dauphin County, PA",43,2020-04-19,"step15",0
"Dauphin County, PA",43,2020-04-19,"step16",0
"Dauphin County, PA",44,2020-04-20,"step16",0
"Dauphin County, PA",45,2020-04-21,"step16",0
"Dauphin County, PA",45,2020-04-21,"step17",0
"Dauphin County, PA",46,2020-04-22,"step17",0
"Dauphin County, PA",47,2020-04-23,"step17",0
"Dauphin County, PA",47,2020-04-23,"step18",0
"Dauphin County, PA",48,2020-04-24,"step18",0
"Dauphin County, PA",49,2020-04-25,"step18",0
"Dauphin County, PA",49,2020-04-25,"step19",0
"Dauphin County, PA",50,2020-04-26,"step19",0
"Dauphin County, PA",51,2020-04-27,"step19",0
"Dauphin County, PA",51,2020-04-27,"step20",0
"Dauphin County, PA",52,2020-04-28,"step20",0
"Dauphin County, PA",53,2020-04-29,"step20",0
"Dauphin County, PA",53,2020-04-29,"step21",0
"Dauphin County, PA",54,2020-04-30,"step21",0
"Dauphin County, PA",55,2020-05-01,"step21",0
"Dauphin County, PA",55,2020-05-01,"step22",0
"Dauphin County, PA",56,2020-05-02,"step22",0
"Dauphin County, PA",57,2020-05-03,"step22",0
"Dauphin County, PA",57,2020-05-03,"step23",0.42
"Dauphin County, PA",58,2020-05-04,"step23",0.42
"Dauphin County, PA",59,2020-05-05,"step23",0.42
"Dauphin County, PA",59,2020-05-05,"step25",0.51
"Dauphin County, PA",60,2020-05-06,"step25",0.51
"Dauphin County, PA",61,2020-05-07,"step25",0.51
"Dauphin County, PA",61,2020-05-07,"step27",0.45
"Dauphin County, PA",62,2020-05-08,"step27",0.45
"Dauphin County, PA",62,2020-05-08,"step29",0.42
"Dauphin County, PA",63,2020-05-09,"step29",0.42
"Dauphin County, PA",64,2020-05-10,"step29",0.42
"Dauphin County, PA",64,2020-05-10,"step31",0.36
"Dauphin County, PA",65,2020-05-11,"step31",0.36
"Dauphin County, PA",66,2020-05-12,"step31",0.36
"Dauphin County, PA",66,2020-05-12,"step34",0.31
"Dauphin County, PA",66,2020-05-12,"step35",0.3
"Dauphin County, PA",67,2020-05-13,"step35",0.3
"Dauphin County, PA",68,2020-05-14,"step35",0.3
"Dauphin County, PA",68,2020-05-14,"step36",0.27
"Dauphin County, PA",69,2020-05-15,"step36",0.27
"Dauphin County, PA",70,2020-05-16,"step36",0.27
"Dauphin County, PA",70,2020-05-16,"step37",0.23
"Dauphin County, PA",71,2020-05-17,"step37",0.23
"Dauphin County, PA",72,2020-05-18,"step37",0.23
"Dauphin County, PA",72,2020-05-18,"step38",0.19
"Dauphin County, PA",73,2020-05-19,"step38",0.19
"Dauphin County, PA",74,2020-05-20,"step38",0.19
"Dauphin County, PA",74,2020-05-20,"step39",0.16
"Dauphin County, PA",75,2020-05-21,"step39",0.16
"Dauphin County, PA",76,2020-05-22,"step39",0.16
"Dauphin County, PA",76,2020-05-22,"step40",0.16
"Dauphin County, PA",77,2020-05-23,"step40",0.16
"Dauphin County, PA",78,2020-05-24,"step40",0.16
"Dauphin County, PA",78,2020-05-24,"step41",0.16
"Dauphin County, PA",79,2020-05-25,"step41",0.16
"Dauphin County, PA",80,2020-05-26,"step41",0.16
"Dauphin County, PA",80,2020-05-26,"step42",0.15
"Dauphin County, PA",81,2020-05-27,"step42",0.15
"Dauphin County, PA",82,2020-05-28,"step42",0.15
"Dauphin County, PA",82,2020-05-28,"step43",0.12
"Dauphin County, PA",83,2020-05-29,"step43",0.12
"Dauphin County, PA",84,2020-05-30,"step43",0.12
"Dauphin County, PA",84,2020-05-30,"step44",0.1
"Dauphin County, PA",85,2020-05-31,"step44",0.1
"Dauphin County, PA",86,2020-06-01,"step44",0.1
"Dauphin County, PA",86,2020-06-01,"step45",0.05
"Dauphin County, PA",87,2020-06-02,"step45",0.05
"Dauphin County, PA",88,2020-06-03,"step45",0.05
