"region","time","date","period","b1"
"Davidson County, TN",0,2020-02-17,"baseline",0.32
"Davidson County, TN",1,2020-02-18,"baseline",0.32
"Davidson County, TN",2,2020-02-19,"baseline",0.32
"Davidson County, TN",3,2020-02-20,"baseline",0.32
"Davidson County, TN",4,2020-02-21,"baseline",0.32
"Davidson County, TN",5,2020-02-22,"baseline",0.32
"Davidson County, TN",6,2020-02-23,"baseline",0.32
"Davidson County, TN",7,2020-02-24,"baseline",0.32
"Davidson County, TN",8,2020-02-25,"baseline",0.32
"Davidson County, TN",9,2020-02-26,"baseline",0.32
"Davidson County, TN",10,2020-02-27,"baseline",0.32
"Davidson County, TN",11,2020-02-28,"baseline",0.32
"Davidson County, TN",12,2020-02-29,"baseline",0.32
"Davidson County, TN",13,2020-03-01,"baseline",0.32
"Davidson County, TN",14,2020-03-02,"baseline",0.32
"Davidson County, TN",15,2020-03-03,"baseline",0.32
"Davidson County, TN",16,2020-03-04,"baseline",0.32
"Davidson County, TN",17,2020-03-05,"baseline",0.32
"Davidson County, TN",18,2020-03-06,"baseline",0.32
"Davidson County, TN",19,2020-03-07,"baseline",0.32
"Davidson County, TN",20,2020-03-08,"baseline",0.32
"Davidson County, TN",21,2020-03-09,"baseline",0.32
"Davidson County, TN",22,2020-03-10,"baseline",0.32
"Davidson County, TN",22,2020-03-10,"step1",0
"Davidson County, TN",23,2020-03-11,"step1",0
"Davidson County, TN",24,2020-03-12,"step1",0
"Davidson County, TN",24,2020-03-12,"step2",0
"Davidson County, TN",25,2020-03-13,"step2",0
"Davidson County, TN",26,2020-03-14,"step2",0
"Davidson County, TN",26,2020-03-14,"step3",0.3
"Davidson County, TN",27,2020-03-15,"step3",0.3
"Davidson County, TN",28,2020-03-16,"step3",0.3
"Davidson County, TN",28,2020-03-16,"step4",0.39
"Davidson County, TN",29,2020-03-17,"step4",0.39
"Davidson County, TN",30,2020-03-18,"step4",0.39
"Davidson County, TN",30,2020-03-18,"step5",0.36
"Davidson County, TN",31,2020-03-19,"step5",0.36
"Davidson County, TN",32,2020-03-20,"step5",0.36
"Davidson County, TN",32,2020-03-20,"step6",0.32
"Davidson County, TN",33,2020-03-21,"step6",0.32
"Davidson County, TN",34,2020-03-22,"step6",0.32
"Davidson County, TN",34,2020-03-22,"step7",0.28
"Davidson County, TN",35,2020-03-23,"step7",0.28
"Davidson County, TN",36,2020-03-24,"step7",0.28
"Davidson County, TN",36,2020-03-24,"step8",0.25
"Davidson County, TN",37,2020-03-25,"step8",0.25
"Davidson County, TN",38,2020-03-26,"step8",0.25
"Davidson County, TN",38,2020-03-26,"step9",0.21
"Davidson County, TN",39,2020-03-27,"step9",0.21
"Davidson County, TN",40,2020-03-28,"step9",0.21
"Davidson County, TN",40,2020-03-28,"step10",0.19
"Davidson County, TN",41,2020-03-29,"step10",0.19
"Davidson County, TN",42,2020-03-30,"step10",0.19
"Davidson County, TN",42,2020-03-30,"step11",0.16
"Davidson County, TN",43,2020-03-31,"step11",0.16
"Davidson County, TN",44,2020-04-01,"step11",0.16
"Davidson County, TN",44,2020-04-01,"step12",0.13
"Davidson County, TN",45,2020-04-02,"step12",0.13
"Davidson County, TN",46,2020-04-03,"step12",0.13
"Davidson County, TN",46,2020-04-03,"step13",0.1
"Davidson County, TN",47,2020-04-04,"step13",0.1
"Davidson County, TN",48,2020-04-05,"step13",0.1
"Davidson County, TN",48,2020-04-05,"step14",0.09
"Davidson County, TN",49,2020-04-06,"step14",0.09
"Davidson County, TN",50,2020-04-07,"step14",0.09
"Davidson County, TN",50,2020-04-07,"step15",0.08
"Davidson County, TN",51,2020-04-08,"step15",0.08
"Davidson County, TN",52,2020-04-09,"step15",0.08
"Davidson County, TN",52,2020-04-09,"step16",0.08
"Davidson County, TN",53,2020-04-10,"step16",0.08
"Davidson County, TN",54,2020-04-11,"step16",0.08
"Davidson County, TN",52,2020-04-09,"step17",0.08
"Davidson County, TN",53,2020-04-10,"step17",0.08
"Davidson County, TN",54,2020-04-11,"step17",0.08
"Davidson County, TN",55,2020-04-12,"step17",0.08
"Davidson County, TN",56,2020-04-13,"step17",0.08
"Davidson County, TN",54,2020-04-11,"step18",0.07
"Davidson County, TN",55,2020-04-12,"step18",0.07
"Davidson County, TN",56,2020-04-13,"step18",0.07
"Davidson County, TN",57,2020-04-14,"step18",0.07
"Davidson County, TN",58,2020-04-15,"step18",0.07
"Davidson County, TN",56,2020-04-13,"step19",0.075
"Davidson County, TN",57,2020-04-14,"step19",0.075
"Davidson County, TN",58,2020-04-15,"step19",0.075
"Davidson County, TN",58,2020-04-15,"step21",0
"Davidson County, TN",59,2020-04-16,"step21",0
"Davidson County, TN",60,2020-04-17,"step21",0
"Davidson County, TN",60,2020-04-17,"step22",0
"Davidson County, TN",61,2020-04-18,"step22",0
"Davidson County, TN",62,2020-04-19,"step22",0
"Davidson County, TN",62,2020-04-19,"step23",0
"Davidson County, TN",63,2020-04-20,"step23",0
"Davidson County, TN",64,2020-04-21,"step23",0
"Davidson County, TN",64,2020-04-21,"step24",0
"Davidson County, TN",65,2020-04-22,"step24",0
"Davidson County, TN",66,2020-04-23,"step24",0
"Davidson County, TN",66,2020-04-23,"step25",0
"Davidson County, TN",67,2020-04-24,"step25",0
"Davidson County, TN",68,2020-04-25,"step25",0
"Davidson County, TN",68,2020-04-25,"step26",0.16
"Davidson County, TN",69,2020-04-26,"step26",0.16
"Davidson County, TN",70,2020-04-27,"step26",0.16
"Davidson County, TN",70,2020-04-27,"step27",0.46
"Davidson County, TN",71,2020-04-28,"step27",0.46
"Davidson County, TN",72,2020-04-29,"step27",0.46
"Davidson County, TN",72,2020-04-29,"step28",0.41
"Davidson County, TN",73,2020-04-30,"step28",0.41
"Davidson County, TN",74,2020-05-01,"step28",0.41
"Davidson County, TN",74,2020-05-01,"step29",0.37
"Davidson County, TN",75,2020-05-02,"step29",0.37
"Davidson County, TN",76,2020-05-03,"step29",0.37
"Davidson County, TN",76,2020-05-03,"step30",0.33
"Davidson County, TN",77,2020-05-04,"step30",0.33
"Davidson County, TN",78,2020-05-05,"step30",0.33
"Davidson County, TN",78,2020-05-05,"step32",0.27
"Davidson County, TN",79,2020-05-06,"step32",0.27
"Davidson County, TN",80,2020-05-07,"step32",0.27
"Davidson County, TN",80,2020-05-07,"step34",0.24
"Davidson County, TN",81,2020-05-08,"step34",0.24
"Davidson County, TN",81,2020-05-08,"step36",0.22
"Davidson County, TN",82,2020-05-09,"step36",0.22
"Davidson County, TN",83,2020-05-10,"step36",0.22
"Davidson County, TN",83,2020-05-10,"step38",0.19
"Davidson County, TN",84,2020-05-11,"step38",0.19
"Davidson County, TN",85,2020-05-12,"step38",0.19
"Davidson County, TN",85,2020-05-12,"step41",0.17
"Davidson County, TN",85,2020-05-12,"step42",0.17
"Davidson County, TN",86,2020-05-13,"step42",0.17
"Davidson County, TN",87,2020-05-14,"step42",0.17
"Davidson County, TN",87,2020-05-14,"step43",0.15
"Davidson County, TN",88,2020-05-15,"step43",0.15
"Davidson County, TN",89,2020-05-16,"step43",0.15
"Davidson County, TN",89,2020-05-16,"step44",0.13
"Davidson County, TN",90,2020-05-17,"step44",0.13
"Davidson County, TN",91,2020-05-18,"step44",0.13
"Davidson County, TN",91,2020-05-18,"step45",0.12
"Davidson County, TN",92,2020-05-19,"step45",0.12
"Davidson County, TN",93,2020-05-20,"step45",0.12
"Davidson County, TN",93,2020-05-20,"step46",0.1
"Davidson County, TN",94,2020-05-21,"step46",0.1
"Davidson County, TN",95,2020-05-22,"step46",0.1
"Davidson County, TN",95,2020-05-22,"step47",0.1
"Davidson County, TN",96,2020-05-23,"step47",0.1
"Davidson County, TN",97,2020-05-24,"step47",0.1
"Davidson County, TN",97,2020-05-24,"step48",0.1
"Davidson County, TN",98,2020-05-25,"step48",0.1
"Davidson County, TN",99,2020-05-26,"step48",0.1
"Davidson County, TN",99,2020-05-26,"step49",0.1
"Davidson County, TN",100,2020-05-27,"step49",0.1
"Davidson County, TN",101,2020-05-28,"step49",0.1
"Davidson County, TN",101,2020-05-28,"step50",0.09
"Davidson County, TN",102,2020-05-29,"step50",0.09
"Davidson County, TN",103,2020-05-30,"step50",0.09
"Davidson County, TN",103,2020-05-30,"step51",0.08
"Davidson County, TN",104,2020-05-31,"step51",0.08
"Davidson County, TN",105,2020-06-01,"step51",0.08
"Davidson County, TN",105,2020-06-01,"step52",0.1
"Davidson County, TN",106,2020-06-02,"step52",0.1
"Davidson County, TN",107,2020-06-03,"step52",0.1
