"region","time","date","period","b1"
"Delaware",0,2020-02-21,"baseline",0.4
"Delaware",1,2020-02-22,"baseline",0.4
"Delaware",2,2020-02-23,"baseline",0.4
"Delaware",3,2020-02-24,"baseline",0.4
"Delaware",4,2020-02-25,"baseline",0.4
"Delaware",5,2020-02-26,"baseline",0.4
"Delaware",6,2020-02-27,"baseline",0.4
"Delaware",7,2020-02-28,"baseline",0.4
"Delaware",8,2020-02-29,"baseline",0.4
"Delaware",9,2020-03-01,"baseline",0.4
"Delaware",10,2020-03-02,"baseline",0.4
"Delaware",11,2020-03-03,"baseline",0.4
"Delaware",12,2020-03-04,"baseline",0.4
"Delaware",13,2020-03-05,"baseline",0.4
"Delaware",14,2020-03-06,"baseline",0.4
"Delaware",15,2020-03-07,"baseline",0.4
"Delaware",16,2020-03-08,"baseline",0.4
"Delaware",17,2020-03-09,"baseline",0.4
"Delaware",18,2020-03-10,"baseline",0.4
"Delaware",19,2020-03-11,"baseline",0.4
"Delaware",20,2020-03-12,"baseline",0.4
"Delaware",21,2020-03-13,"baseline",0.4
"Delaware",22,2020-03-14,"baseline",0.4
"Delaware",22,2020-03-14,"step1",0.22
"Delaware",23,2020-03-15,"step1",0.22
"Delaware",24,2020-03-16,"step1",0.22
"Delaware",24,2020-03-16,"step2",0.19
"Delaware",25,2020-03-17,"step2",0.19
"Delaware",26,2020-03-18,"step2",0.19
"Delaware",26,2020-03-18,"step3",0.17
"Delaware",27,2020-03-19,"step3",0.17
"Delaware",28,2020-03-20,"step3",0.17
"Delaware",28,2020-03-20,"step4",0.17
"Delaware",29,2020-03-21,"step4",0.17
"Delaware",30,2020-03-22,"step4",0.17
"Delaware",30,2020-03-22,"step5",0.16
"Delaware",31,2020-03-23,"step5",0.16
"Delaware",32,2020-03-24,"step5",0.16
"Delaware",32,2020-03-24,"step6",0.16
"Delaware",33,2020-03-25,"step6",0.16
"Delaware",34,2020-03-26,"step6",0.16
"Delaware",34,2020-03-26,"step7",0.17
"Delaware",35,2020-03-27,"step7",0.17
"Delaware",36,2020-03-28,"step7",0.17
"Delaware",36,2020-03-28,"step8",0.17
"Delaware",37,2020-03-29,"step8",0.17
"Delaware",38,2020-03-30,"step8",0.17
"Delaware",38,2020-03-30,"step9",0.17
"Delaware",39,2020-03-31,"step9",0.17
"Delaware",40,2020-04-01,"step9",0.17
"Delaware",40,2020-04-01,"step10",0.17
"Delaware",41,2020-04-02,"step10",0.17
"Delaware",42,2020-04-03,"step10",0.17
"Delaware",42,2020-04-03,"step11",0.17
"Delaware",43,2020-04-04,"step11",0.17
"Delaware",44,2020-04-05,"step11",0.17
"Delaware",44,2020-04-05,"step12",0.17
"Delaware",45,2020-04-06,"step12",0.17
"Delaware",46,2020-04-07,"step12",0.17
"Delaware",46,2020-04-07,"step13",0.16
"Delaware",47,2020-04-08,"step13",0.16
"Delaware",48,2020-04-09,"step13",0.16
"Delaware",48,2020-04-09,"step14",0.15
"Delaware",49,2020-04-10,"step14",0.15
"Delaware",50,2020-04-11,"step14",0.15
"Delaware",50,2020-04-11,"step15",0.15
"Delaware",51,2020-04-12,"step15",0.15
"Delaware",52,2020-04-13,"step15",0.15
"Delaware",52,2020-04-13,"step16",0.14
"Delaware",53,2020-04-14,"step16",0.14
"Delaware",54,2020-04-15,"step16",0.14
"Delaware",54,2020-04-15,"step17",0.13
"Delaware",55,2020-04-16,"step17",0.13
"Delaware",56,2020-04-17,"step17",0.13
"Delaware",56,2020-04-17,"step18",0.12
"Delaware",57,2020-04-18,"step18",0.12
"Delaware",58,2020-04-19,"step18",0.12
"Delaware",58,2020-04-19,"step19",0.11
"Delaware",59,2020-04-20,"step19",0.11
"Delaware",60,2020-04-21,"step19",0.11
"Delaware",60,2020-04-21,"step20",0.1
"Delaware",61,2020-04-22,"step20",0.1
"Delaware",62,2020-04-23,"step20",0.1
"Delaware",62,2020-04-23,"step21",0.11
"Delaware",63,2020-04-24,"step21",0.11
"Delaware",64,2020-04-25,"step21",0.11
"Delaware",64,2020-04-25,"step22",0.12
"Delaware",65,2020-04-26,"step22",0.12
"Delaware",66,2020-04-27,"step22",0.12
"Delaware",66,2020-04-27,"step23",0.13
"Delaware",67,2020-04-28,"step23",0.13
"Delaware",68,2020-04-29,"step23",0.13
"Delaware",68,2020-04-29,"step24",0.13
"Delaware",69,2020-04-30,"step24",0.13
"Delaware",70,2020-05-01,"step24",0.13
"Delaware",70,2020-05-01,"step25",0.12
"Delaware",71,2020-05-02,"step25",0.12
"Delaware",72,2020-05-03,"step25",0.12
"Delaware",72,2020-05-03,"step26",0.12
"Delaware",73,2020-05-04,"step26",0.12
"Delaware",74,2020-05-05,"step26",0.12
"Delaware",74,2020-05-05,"step27",0.11
"Delaware",75,2020-05-06,"step27",0.11
"Delaware",76,2020-05-07,"step27",0.11
"Delaware",76,2020-05-07,"step28",0.11
"Delaware",77,2020-05-08,"step28",0.11
"Delaware",78,2020-05-09,"step28",0.11
"Delaware",78,2020-05-09,"step29",0.1
"Delaware",79,2020-05-10,"step29",0.1
"Delaware",80,2020-05-11,"step29",0.1
"Delaware",80,2020-05-11,"step30",0.09
"Delaware",81,2020-05-12,"step30",0.09
"Delaware",81,2020-05-12,"step31",0.09
"Delaware",81,2020-05-12,"step32",0.09
"Delaware",82,2020-05-13,"step32",0.09
"Delaware",83,2020-05-14,"step32",0.09
"Delaware",83,2020-05-14,"step33",0.08
"Delaware",84,2020-05-15,"step33",0.08
"Delaware",85,2020-05-16,"step33",0.08
"Delaware",85,2020-05-16,"step34",0.08
"Delaware",86,2020-05-17,"step34",0.08
"Delaware",87,2020-05-18,"step34",0.08
"Delaware",87,2020-05-18,"step35",0.1
"Delaware",88,2020-05-19,"step35",0.1
"Delaware",89,2020-05-20,"step35",0.1
"Delaware",89,2020-05-20,"step36",0.11
"Delaware",90,2020-05-21,"step36",0.11
"Delaware",91,2020-05-22,"step36",0.11
"Delaware",91,2020-05-22,"step37",0.11
"Delaware",92,2020-05-23,"step37",0.11
"Delaware",93,2020-05-24,"step37",0.11
"Delaware",93,2020-05-24,"step38",0.11
"Delaware",94,2020-05-25,"step38",0.11
"Delaware",95,2020-05-26,"step38",0.11
"Delaware",95,2020-05-26,"step39",0.12
"Delaware",96,2020-05-27,"step39",0.12
"Delaware",97,2020-05-28,"step39",0.12
"Delaware",97,2020-05-28,"step40",0.13
"Delaware",98,2020-05-29,"step40",0.13
"Delaware",99,2020-05-30,"step40",0.13
"Delaware",99,2020-05-30,"step41",0.15
"Delaware",100,2020-05-31,"step41",0.15
"Delaware",101,2020-06-01,"step41",0.15
"Delaware",101,2020-06-01,"step42",0.2
"Delaware",102,2020-06-02,"step42",0.2
"Delaware",103,2020-06-03,"step42",0.2
