"region","time","date","period","b1"
"Denver County, CO",0,2020-02-29,"baseline",0.47
"Denver County, CO",1,2020-03-01,"baseline",0.47
"Denver County, CO",2,2020-03-02,"baseline",0.47
"Denver County, CO",3,2020-03-03,"baseline",0.47
"Denver County, CO",4,2020-03-04,"baseline",0.47
"Denver County, CO",5,2020-03-05,"baseline",0.47
"Denver County, CO",6,2020-03-06,"baseline",0.47
"Denver County, CO",7,2020-03-07,"baseline",0.47
"Denver County, CO",8,2020-03-08,"baseline",0.47
"Denver County, CO",8,2020-03-08,"step1",0.65
"Denver County, CO",9,2020-03-09,"step1",0.65
"Denver County, CO",10,2020-03-10,"step1",0.65
"Denver County, CO",10,2020-03-10,"step2",0.57
"Denver County, CO",11,2020-03-11,"step2",0.57
"Denver County, CO",12,2020-03-12,"step2",0.57
"Denver County, CO",12,2020-03-12,"step3",0.5
"Denver County, CO",13,2020-03-13,"step3",0.5
"Denver County, CO",14,2020-03-14,"step3",0.5
"Denver County, CO",14,2020-03-14,"step4",0.44
"Denver County, CO",15,2020-03-15,"step4",0.44
"Denver County, CO",16,2020-03-16,"step4",0.44
"Denver County, CO",16,2020-03-16,"step5",0.39
"Denver County, CO",17,2020-03-17,"step5",0.39
"Denver County, CO",18,2020-03-18,"step5",0.39
"Denver County, CO",18,2020-03-18,"step6",0.35
"Denver County, CO",19,2020-03-19,"step6",0.35
"Denver County, CO",20,2020-03-20,"step6",0.35
"Denver County, CO",20,2020-03-20,"step7",0.32
"Denver County, CO",21,2020-03-21,"step7",0.32
"Denver County, CO",22,2020-03-22,"step7",0.32
"Denver County, CO",22,2020-03-22,"step8",0.28
"Denver County, CO",23,2020-03-23,"step8",0.28
"Denver County, CO",24,2020-03-24,"step8",0.28
"Denver County, CO",24,2020-03-24,"step9",0.25
"Denver County, CO",25,2020-03-25,"step9",0.25
"Denver County, CO",26,2020-03-26,"step9",0.25
"Denver County, CO",26,2020-03-26,"step10",0.21
"Denver County, CO",27,2020-03-27,"step10",0.21
"Denver County, CO",28,2020-03-28,"step10",0.21
"Denver County, CO",28,2020-03-28,"step11",0.19
"Denver County, CO",29,2020-03-29,"step11",0.19
"Denver County, CO",30,2020-03-30,"step11",0.19
"Denver County, CO",30,2020-03-30,"step12",0.17
"Denver County, CO",31,2020-03-31,"step12",0.17
"Denver County, CO",32,2020-04-01,"step12",0.17
"Denver County, CO",32,2020-04-01,"step13",0.15
"Denver County, CO",33,2020-04-02,"step13",0.15
"Denver County, CO",34,2020-04-03,"step13",0.15
"Denver County, CO",34,2020-04-03,"step14",0.14
"Denver County, CO",35,2020-04-04,"step14",0.14
"Denver County, CO",36,2020-04-05,"step14",0.14
"Denver County, CO",36,2020-04-05,"step15",0.13
"Denver County, CO",37,2020-04-06,"step15",0.13
"Denver County, CO",38,2020-04-07,"step15",0.13
"Denver County, CO",38,2020-04-07,"step16",0.11
"Denver County, CO",39,2020-04-08,"step16",0.11
"Denver County, CO",40,2020-04-09,"step16",0.11
"Denver County, CO",40,2020-04-09,"step17",0.11
"Denver County, CO",41,2020-04-10,"step17",0.11
"Denver County, CO",42,2020-04-11,"step17",0.11
"Denver County, CO",40,2020-04-09,"step18",0.105
"Denver County, CO",41,2020-04-10,"step18",0.105
"Denver County, CO",42,2020-04-11,"step18",0.105
"Denver County, CO",43,2020-04-12,"step18",0.105
"Denver County, CO",44,2020-04-13,"step18",0.105
"Denver County, CO",42,2020-04-11,"step19",0.095
"Denver County, CO",43,2020-04-12,"step19",0.095
"Denver County, CO",44,2020-04-13,"step19",0.095
"Denver County, CO",45,2020-04-14,"step19",0.095
"Denver County, CO",46,2020-04-15,"step19",0.095
"Denver County, CO",44,2020-04-13,"step20",0.095
"Denver County, CO",45,2020-04-14,"step20",0.095
"Denver County, CO",46,2020-04-15,"step20",0.095
"Denver County, CO",46,2020-04-15,"step22",0
"Denver County, CO",47,2020-04-16,"step22",0
"Denver County, CO",48,2020-04-17,"step22",0
"Denver County, CO",48,2020-04-17,"step23",0
"Denver County, CO",49,2020-04-18,"step23",0
"Denver County, CO",50,2020-04-19,"step23",0
"Denver County, CO",50,2020-04-19,"step24",0
"Denver County, CO",51,2020-04-20,"step24",0
"Denver County, CO",52,2020-04-21,"step24",0
"Denver County, CO",52,2020-04-21,"step25",0
"Denver County, CO",53,2020-04-22,"step25",0
"Denver County, CO",54,2020-04-23,"step25",0
"Denver County, CO",54,2020-04-23,"step26",0.25
"Denver County, CO",55,2020-04-24,"step26",0.25
"Denver County, CO",56,2020-04-25,"step26",0.25
"Denver County, CO",56,2020-04-25,"step27",0.28
"Denver County, CO",57,2020-04-26,"step27",0.28
"Denver County, CO",58,2020-04-27,"step27",0.28
"Denver County, CO",58,2020-04-27,"step28",0.27
"Denver County, CO",59,2020-04-28,"step28",0.27
"Denver County, CO",60,2020-04-29,"step28",0.27
"Denver County, CO",60,2020-04-29,"step29",0.25
"Denver County, CO",61,2020-04-30,"step29",0.25
"Denver County, CO",62,2020-05-01,"step29",0.25
"Denver County, CO",62,2020-05-01,"step30",0.23
"Denver County, CO",63,2020-05-02,"step30",0.23
"Denver County, CO",64,2020-05-03,"step30",0.23
"Denver County, CO",64,2020-05-03,"step31",0.2
"Denver County, CO",65,2020-05-04,"step31",0.2
"Denver County, CO",66,2020-05-05,"step31",0.2
"Denver County, CO",66,2020-05-05,"step33",0.17
"Denver County, CO",67,2020-05-06,"step33",0.17
"Denver County, CO",68,2020-05-07,"step33",0.17
"Denver County, CO",68,2020-05-07,"step35",0.15
"Denver County, CO",69,2020-05-08,"step35",0.15
"Denver County, CO",69,2020-05-08,"step37",0.14
"Denver County, CO",70,2020-05-09,"step37",0.14
"Denver County, CO",71,2020-05-10,"step37",0.14
"Denver County, CO",71,2020-05-10,"step39",0.12
"Denver County, CO",72,2020-05-11,"step39",0.12
"Denver County, CO",73,2020-05-12,"step39",0.12
"Denver County, CO",73,2020-05-12,"step42",0.11
"Denver County, CO",73,2020-05-12,"step43",0.11
"Denver County, CO",74,2020-05-13,"step43",0.11
"Denver County, CO",75,2020-05-14,"step43",0.11
"Denver County, CO",75,2020-05-14,"step44",0.09
"Denver County, CO",76,2020-05-15,"step44",0.09
