"region","time","date","period","b1"
"District of Columbia",0,2020-02-10,"baseline",0.28
"District of Columbia",1,2020-02-11,"baseline",0.28
"District of Columbia",2,2020-02-12,"baseline",0.28
"District of Columbia",3,2020-02-13,"baseline",0.28
"District of Columbia",4,2020-02-14,"baseline",0.28
"District of Columbia",5,2020-02-15,"baseline",0.28
"District of Columbia",6,2020-02-16,"baseline",0.28
"District of Columbia",7,2020-02-17,"baseline",0.28
"District of Columbia",8,2020-02-18,"baseline",0.28
"District of Columbia",9,2020-02-19,"baseline",0.28
"District of Columbia",10,2020-02-20,"baseline",0.28
"District of Columbia",11,2020-02-21,"baseline",0.28
"District of Columbia",12,2020-02-22,"baseline",0.28
"District of Columbia",13,2020-02-23,"baseline",0.28
"District of Columbia",14,2020-02-24,"baseline",0.28
"District of Columbia",15,2020-02-25,"baseline",0.28
"District of Columbia",16,2020-02-26,"baseline",0.28
"District of Columbia",17,2020-02-27,"baseline",0.28
"District of Columbia",18,2020-02-28,"baseline",0.28
"District of Columbia",19,2020-02-29,"baseline",0.28
"District of Columbia",20,2020-03-01,"baseline",0.28
"District of Columbia",21,2020-03-02,"baseline",0.28
"District of Columbia",22,2020-03-03,"baseline",0.28
"District of Columbia",23,2020-03-04,"baseline",0.28
"District of Columbia",24,2020-03-05,"baseline",0.28
"District of Columbia",25,2020-03-06,"baseline",0.28
"District of Columbia",26,2020-03-07,"baseline",0.28
"District of Columbia",27,2020-03-08,"baseline",0.28
"District of Columbia",28,2020-03-09,"baseline",0.28
"District of Columbia",29,2020-03-10,"baseline",0.28
"District of Columbia",29,2020-03-10,"step1",0.28
"District of Columbia",30,2020-03-11,"step1",0.28
"District of Columbia",31,2020-03-12,"step1",0.28
"District of Columbia",31,2020-03-12,"step2",0.27
"District of Columbia",32,2020-03-13,"step2",0.27
"District of Columbia",33,2020-03-14,"step2",0.27
"District of Columbia",33,2020-03-14,"step3",0.25
"District of Columbia",34,2020-03-15,"step3",0.25
"District of Columbia",35,2020-03-16,"step3",0.25
"District of Columbia",35,2020-03-16,"step4",0.22
"District of Columbia",36,2020-03-17,"step4",0.22
"District of Columbia",37,2020-03-18,"step4",0.22
"District of Columbia",37,2020-03-18,"step5",0.18
"District of Columbia",38,2020-03-19,"step5",0.18
"District of Columbia",39,2020-03-20,"step5",0.18
"District of Columbia",39,2020-03-20,"step6",0.14
"District of Columbia",40,2020-03-21,"step6",0.14
"District of Columbia",41,2020-03-22,"step6",0.14
"District of Columbia",41,2020-03-22,"step7",0.13
"District of Columbia",42,2020-03-23,"step7",0.13
"District of Columbia",43,2020-03-24,"step7",0.13
"District of Columbia",43,2020-03-24,"step8",0.17
"District of Columbia",44,2020-03-25,"step8",0.17
"District of Columbia",45,2020-03-26,"step8",0.17
"District of Columbia",45,2020-03-26,"step9",0.23
"District of Columbia",46,2020-03-27,"step9",0.23
"District of Columbia",47,2020-03-28,"step9",0.23
"District of Columbia",47,2020-03-28,"step10",0.23
"District of Columbia",48,2020-03-29,"step10",0.23
"District of Columbia",49,2020-03-30,"step10",0.23
"District of Columbia",49,2020-03-30,"step11",0.22
"District of Columbia",50,2020-03-31,"step11",0.22
"District of Columbia",51,2020-04-01,"step11",0.22
"District of Columbia",51,2020-04-01,"step12",0.2
"District of Columbia",52,2020-04-02,"step12",0.2
"District of Columbia",53,2020-04-03,"step12",0.2
"District of Columbia",53,2020-04-03,"step13",0.19
"District of Columbia",54,2020-04-04,"step13",0.19
"District of Columbia",55,2020-04-05,"step13",0.19
"District of Columbia",55,2020-04-05,"step14",0.18
"District of Columbia",56,2020-04-06,"step14",0.18
"District of Columbia",57,2020-04-07,"step14",0.18
"District of Columbia",57,2020-04-07,"step15",0.17
"District of Columbia",58,2020-04-08,"step15",0.17
"District of Columbia",59,2020-04-09,"step15",0.17
"District of Columbia",59,2020-04-09,"step16",0.16
"District of Columbia",60,2020-04-10,"step16",0.16
"District of Columbia",61,2020-04-11,"step16",0.16
"District of Columbia",61,2020-04-11,"step17",0.14
"District of Columbia",62,2020-04-12,"step17",0.14
"District of Columbia",63,2020-04-13,"step17",0.14
"District of Columbia",63,2020-04-13,"step18",0.13
"District of Columbia",64,2020-04-14,"step18",0.13
"District of Columbia",65,2020-04-15,"step18",0.13
"District of Columbia",65,2020-04-15,"step19",0.11
"District of Columbia",66,2020-04-16,"step19",0.11
"District of Columbia",67,2020-04-17,"step19",0.11
"District of Columbia",67,2020-04-17,"step20",0.11
