"region","time","date","period","b1"
"Florence County, SC",0,2020-02-11,"baseline",0.23
"Florence County, SC",1,2020-02-12,"baseline",0.23
"Florence County, SC",2,2020-02-13,"baseline",0.23
"Florence County, SC",3,2020-02-14,"baseline",0.23
"Florence County, SC",4,2020-02-15,"baseline",0.23
"Florence County, SC",5,2020-02-16,"baseline",0.23
"Florence County, SC",6,2020-02-17,"baseline",0.23
"Florence County, SC",7,2020-02-18,"baseline",0.23
"Florence County, SC",8,2020-02-19,"baseline",0.23
"Florence County, SC",9,2020-02-20,"baseline",0.23
"Florence County, SC",10,2020-02-21,"baseline",0.23
"Florence County, SC",11,2020-02-22,"baseline",0.23
"Florence County, SC",12,2020-02-23,"baseline",0.23
"Florence County, SC",13,2020-02-24,"baseline",0.23
"Florence County, SC",14,2020-02-25,"baseline",0.23
"Florence County, SC",15,2020-02-26,"baseline",0.23
"Florence County, SC",16,2020-02-27,"baseline",0.23
"Florence County, SC",17,2020-02-28,"baseline",0.23
"Florence County, SC",18,2020-02-29,"baseline",0.23
"Florence County, SC",19,2020-03-01,"baseline",0.23
"Florence County, SC",20,2020-03-02,"baseline",0.23
"Florence County, SC",21,2020-03-03,"baseline",0.23
"Florence County, SC",22,2020-03-04,"baseline",0.23
"Florence County, SC",23,2020-03-05,"baseline",0.23
"Florence County, SC",24,2020-03-06,"baseline",0.23
"Florence County, SC",25,2020-03-07,"baseline",0.23
"Florence County, SC",26,2020-03-08,"baseline",0.23
"Florence County, SC",27,2020-03-09,"baseline",0.23
"Florence County, SC",28,2020-03-10,"baseline",0.23
"Florence County, SC",29,2020-03-11,"baseline",0.23
"Florence County, SC",30,2020-03-12,"baseline",0.23
"Florence County, SC",31,2020-03-13,"baseline",0.23
"Florence County, SC",32,2020-03-14,"baseline",0.23
"Florence County, SC",33,2020-03-15,"baseline",0.23
"Florence County, SC",34,2020-03-16,"baseline",0.23
"Florence County, SC",35,2020-03-17,"baseline",0.23
"Florence County, SC",36,2020-03-18,"baseline",0.23
"Florence County, SC",37,2020-03-19,"baseline",0.23
"Florence County, SC",38,2020-03-20,"baseline",0.23
"Florence County, SC",38,2020-03-20,"stepNA",0.103315562917243
"Florence County, SC",39,2020-03-21,"stepNA",0.103315562917243
"Florence County, SC",40,2020-03-22,"stepNA",0.103315562917243
"Florence County, SC",41,2020-03-23,"stepNA",0.103315562917243
"Florence County, SC",42,2020-03-24,"stepNA",0.103315562917243
"Florence County, SC",43,2020-03-25,"stepNA",0.103315562917243
"Florence County, SC",44,2020-03-26,"stepNA",0.103315562917243
"Florence County, SC",45,2020-03-27,"stepNA",0.103315562917243
"Florence County, SC",46,2020-03-28,"stepNA",0.103315562917243
"Florence County, SC",47,2020-03-29,"stepNA",0.103315562917243
"Florence County, SC",48,2020-03-30,"stepNA",0.103315562917243
"Florence County, SC",49,2020-03-31,"stepNA",0.103315562917243
"Florence County, SC",50,2020-04-01,"stepNA",0.103315562917243
"Florence County, SC",51,2020-04-02,"stepNA",0.103315562917243
"Florence County, SC",52,2020-04-03,"stepNA",0.103315562917243
"Florence County, SC",53,2020-04-04,"stepNA",0.103315562917243
"Florence County, SC",54,2020-04-05,"stepNA",0.103315562917243
"Florence County, SC",55,2020-04-06,"stepNA",0.103315562917243
"Florence County, SC",56,2020-04-07,"stepNA",0.103315562917243
"Florence County, SC",57,2020-04-08,"stepNA",0.103315562917243
"Florence County, SC",58,2020-04-09,"stepNA",0.103315562917243
"Florence County, SC",59,2020-04-10,"stepNA",0.103315562917243
"Florence County, SC",60,2020-04-11,"stepNA",0.103315562917243
"Florence County, SC",61,2020-04-12,"stepNA",0.103315562917243
"Florence County, SC",62,2020-04-13,"stepNA",0.103315562917243
"Florence County, SC",63,2020-04-14,"stepNA",0.103315562917243
"Florence County, SC",64,2020-04-15,"stepNA",0.103315562917243
"Florence County, SC",65,2020-04-16,"stepNA",0.103315562917243
"Florence County, SC",66,2020-04-17,"stepNA",0.103315562917243
"Florence County, SC",67,2020-04-18,"stepNA",0.103315562917243
"Florence County, SC",68,2020-04-19,"stepNA",0.103315562917243
"Florence County, SC",69,2020-04-20,"stepNA",0.103315562917243
"Florence County, SC",70,2020-04-21,"stepNA",0.103315562917243
"Florence County, SC",71,2020-04-22,"stepNA",0.103315562917243
"Florence County, SC",72,2020-04-23,"stepNA",0.103315562917243
"Florence County, SC",73,2020-04-24,"stepNA",0.103315562917243
"Florence County, SC",74,2020-04-25,"stepNA",0.103315562917243
"Florence County, SC",75,2020-04-26,"stepNA",0.103315562917243
"Florence County, SC",76,2020-04-27,"stepNA",0.103315562917243
"Florence County, SC",77,2020-04-28,"stepNA",0.103315562917243
"Florence County, SC",78,2020-04-29,"stepNA",0.103315562917243
"Florence County, SC",79,2020-04-30,"stepNA",0.103315562917243
"Florence County, SC",80,2020-05-01,"stepNA",0.103315562917243
"Florence County, SC",81,2020-05-02,"stepNA",0.103315562917243
"Florence County, SC",82,2020-05-03,"stepNA",0.103315562917243
"Florence County, SC",83,2020-05-04,"stepNA",0.103315562917243
"Florence County, SC",84,2020-05-05,"stepNA",0.103315562917243
"Florence County, SC",85,2020-05-06,"stepNA",0.103315562917243
"Florence County, SC",86,2020-05-07,"stepNA",0.103315562917243
"Florence County, SC",87,2020-05-08,"stepNA",0.103315562917243
"Florence County, SC",88,2020-05-09,"stepNA",0.103315562917243
"Florence County, SC",89,2020-05-10,"stepNA",0.103315562917243
"Florence County, SC",90,2020-05-11,"stepNA",0.103315562917243
"Florence County, SC",91,2020-05-12,"stepNA",0.103315562917243
"Florence County, SC",91,2020-05-12,"stepNA",0.44
"Florence County, SC",92,2020-05-13,"stepNA",0.44
"Florence County, SC",93,2020-05-14,"stepNA",0.44
"Florence County, SC",93,2020-05-14,"stepNA",0.38
"Florence County, SC",94,2020-05-15,"stepNA",0.38
"Florence County, SC",95,2020-05-16,"stepNA",0.38
"Florence County, SC",95,2020-05-16,"stepNA",0.32
"Florence County, SC",96,2020-05-17,"stepNA",0.32
"Florence County, SC",97,2020-05-18,"stepNA",0.32
"Florence County, SC",97,2020-05-18,"stepNA",0.27
"Florence County, SC",98,2020-05-19,"stepNA",0.27
"Florence County, SC",99,2020-05-20,"stepNA",0.27
"Florence County, SC",99,2020-05-20,"stepNA",0.22
"Florence County, SC",100,2020-05-21,"stepNA",0.22
"Florence County, SC",101,2020-05-22,"stepNA",0.22
"Florence County, SC",101,2020-05-22,"stepNA",0.22
"Florence County, SC",102,2020-05-23,"stepNA",0.22
"Florence County, SC",103,2020-05-24,"stepNA",0.22
"Florence County, SC",103,2020-05-24,"stepNA",0.22
"Florence County, SC",104,2020-05-25,"stepNA",0.22
"Florence County, SC",105,2020-05-26,"stepNA",0.22
"Florence County, SC",105,2020-05-26,"stepNA",0.21
"Florence County, SC",106,2020-05-27,"stepNA",0.21
"Florence County, SC",107,2020-05-28,"stepNA",0.21
"Florence County, SC",107,2020-05-28,"stepNA",0.21
"Florence County, SC",108,2020-05-29,"stepNA",0.21
"Florence County, SC",109,2020-05-30,"stepNA",0.21
"Florence County, SC",109,2020-05-30,"stepNA",0.19
"Florence County, SC",110,2020-05-31,"stepNA",0.19
