"region","time","date","period","b1"
"Florida",0,2020-01-27,"baseline",0.39
"Florida",1,2020-01-28,"baseline",0.39
"Florida",2,2020-01-29,"baseline",0.39
"Florida",3,2020-01-30,"baseline",0.39
"Florida",4,2020-01-31,"baseline",0.39
"Florida",5,2020-02-01,"baseline",0.39
"Florida",6,2020-02-02,"baseline",0.39
"Florida",7,2020-02-03,"baseline",0.39
"Florida",8,2020-02-04,"baseline",0.39
"Florida",9,2020-02-05,"baseline",0.39
"Florida",10,2020-02-06,"baseline",0.39
"Florida",11,2020-02-07,"baseline",0.39
"Florida",12,2020-02-08,"baseline",0.39
"Florida",13,2020-02-09,"baseline",0.39
"Florida",14,2020-02-10,"baseline",0.39
"Florida",15,2020-02-11,"baseline",0.39
"Florida",16,2020-02-12,"baseline",0.39
"Florida",17,2020-02-13,"baseline",0.39
"Florida",18,2020-02-14,"baseline",0.39
"Florida",19,2020-02-15,"baseline",0.39
"Florida",20,2020-02-16,"baseline",0.39
"Florida",21,2020-02-17,"baseline",0.39
"Florida",22,2020-02-18,"baseline",0.39
"Florida",23,2020-02-19,"baseline",0.39
"Florida",24,2020-02-20,"baseline",0.39
"Florida",25,2020-02-21,"baseline",0.39
"Florida",26,2020-02-22,"baseline",0.39
"Florida",27,2020-02-23,"baseline",0.39
"Florida",28,2020-02-24,"baseline",0.39
"Florida",29,2020-02-25,"baseline",0.39
"Florida",30,2020-02-26,"baseline",0.39
"Florida",31,2020-02-27,"baseline",0.39
"Florida",32,2020-02-28,"baseline",0.39
"Florida",33,2020-02-29,"baseline",0.39
"Florida",34,2020-03-01,"baseline",0.39
"Florida",35,2020-03-02,"baseline",0.39
"Florida",36,2020-03-03,"baseline",0.39
"Florida",37,2020-03-04,"baseline",0.39
"Florida",37,2020-03-04,"step1",0
"Florida",38,2020-03-05,"step1",0
"Florida",39,2020-03-06,"step1",0
"Florida",39,2020-03-06,"step2",0
"Florida",40,2020-03-07,"step2",0
"Florida",41,2020-03-08,"step2",0
"Florida",41,2020-03-08,"step3",0.18
"Florida",42,2020-03-09,"step3",0.18
"Florida",43,2020-03-10,"step3",0.18
"Florida",43,2020-03-10,"step4",0.49
"Florida",44,2020-03-11,"step4",0.49
"Florida",45,2020-03-12,"step4",0.49
"Florida",45,2020-03-12,"step5",0.54
"Florida",46,2020-03-13,"step5",0.54
"Florida",47,2020-03-14,"step5",0.54
"Florida",47,2020-03-14,"step6",0.48
"Florida",48,2020-03-15,"step6",0.48
"Florida",49,2020-03-16,"step6",0.48
"Florida",49,2020-03-16,"step7",0.42
"Florida",50,2020-03-17,"step7",0.42
"Florida",51,2020-03-18,"step7",0.42
"Florida",51,2020-03-18,"step8",0.37
"Florida",52,2020-03-19,"step8",0.37
"Florida",53,2020-03-20,"step8",0.37
"Florida",53,2020-03-20,"step9",0.33
"Florida",54,2020-03-21,"step9",0.33
"Florida",55,2020-03-22,"step9",0.33
"Florida",55,2020-03-22,"step10",0.29
"Florida",56,2020-03-23,"step10",0.29
"Florida",57,2020-03-24,"step10",0.29
"Florida",57,2020-03-24,"step11",0.25
"Florida",58,2020-03-25,"step11",0.25
"Florida",59,2020-03-26,"step11",0.25
"Florida",59,2020-03-26,"step12",0.22
"Florida",60,2020-03-27,"step12",0.22
"Florida",61,2020-03-28,"step12",0.22
"Florida",61,2020-03-28,"step13",0.2
"Florida",62,2020-03-29,"step13",0.2
"Florida",63,2020-03-30,"step13",0.2
"Florida",63,2020-03-30,"step14",0.18
"Florida",64,2020-03-31,"step14",0.18
"Florida",65,2020-04-01,"step14",0.18
"Florida",65,2020-04-01,"step15",0.16
"Florida",66,2020-04-02,"step15",0.16
"Florida",67,2020-04-03,"step15",0.16
"Florida",67,2020-04-03,"step16",0.14
"Florida",68,2020-04-04,"step16",0.14
"Florida",69,2020-04-05,"step16",0.14
"Florida",69,2020-04-05,"step17",0.13
"Florida",70,2020-04-06,"step17",0.13
"Florida",71,2020-04-07,"step17",0.13
"Florida",71,2020-04-07,"step18",0.12
"Florida",72,2020-04-08,"step18",0.12
"Florida",73,2020-04-09,"step18",0.12
"Florida",73,2020-04-09,"step19",0.11
"Florida",74,2020-04-10,"step19",0.11
"Florida",75,2020-04-11,"step19",0.11
"Florida",75,2020-04-11,"step20",0.1
"Florida",76,2020-04-12,"step20",0.1
"Florida",77,2020-04-13,"step20",0.1
"Florida",77,2020-04-13,"step21",0.08
"Florida",78,2020-04-14,"step21",0.08
"Florida",79,2020-04-15,"step21",0.08
"Florida",79,2020-04-15,"step22",0.07
"Florida",80,2020-04-16,"step22",0.07
"Florida",81,2020-04-17,"step22",0.07
"Florida",81,2020-04-17,"step23",0.07
"Florida",82,2020-04-18,"step23",0.07
"Florida",83,2020-04-19,"step23",0.07
"Florida",83,2020-04-19,"step24",0.08
"Florida",84,2020-04-20,"step24",0.08
"Florida",85,2020-04-21,"step24",0.08
"Florida",85,2020-04-21,"step25",0.08
"Florida",86,2020-04-22,"step25",0.08
"Florida",87,2020-04-23,"step25",0.08
"Florida",87,2020-04-23,"step26",0.09
"Florida",88,2020-04-24,"step26",0.09
"Florida",89,2020-04-25,"step26",0.09
"Florida",89,2020-04-25,"step27",0.1
"Florida",90,2020-04-26,"step27",0.1
"Florida",91,2020-04-27,"step27",0.1
"Florida",91,2020-04-27,"step28",0.11
"Florida",92,2020-04-28,"step28",0.11
"Florida",93,2020-04-29,"step28",0.11
"Florida",93,2020-04-29,"step29",0.12
"Florida",94,2020-04-30,"step29",0.12
"Florida",95,2020-05-01,"step29",0.12
"Florida",95,2020-05-01,"step30",0.13
"Florida",96,2020-05-02,"step30",0.13
"Florida",97,2020-05-03,"step30",0.13
"Florida",97,2020-05-03,"step31",0.13
"Florida",98,2020-05-04,"step31",0.13
