"region","time","date","period","b1"
"Forrest County, MS",0,2020-03-08,"baseline",0.27
"Forrest County, MS",1,2020-03-09,"baseline",0.27
"Forrest County, MS",2,2020-03-10,"baseline",0.27
"Forrest County, MS",3,2020-03-11,"baseline",0.27
"Forrest County, MS",4,2020-03-12,"baseline",0.27
"Forrest County, MS",5,2020-03-13,"baseline",0.27
"Forrest County, MS",6,2020-03-14,"baseline",0.27
"Forrest County, MS",6,2020-03-14,"step1",0
"Forrest County, MS",7,2020-03-15,"step1",0
"Forrest County, MS",8,2020-03-16,"step1",0
"Forrest County, MS",8,2020-03-16,"step2",0
"Forrest County, MS",9,2020-03-17,"step2",0
"Forrest County, MS",10,2020-03-18,"step2",0
"Forrest County, MS",10,2020-03-18,"step3",0.35
"Forrest County, MS",11,2020-03-19,"step3",0.35
"Forrest County, MS",12,2020-03-20,"step3",0.35
"Forrest County, MS",12,2020-03-20,"step5",0.32
"Forrest County, MS",13,2020-03-21,"step5",0.32
"Forrest County, MS",14,2020-03-22,"step5",0.32
"Forrest County, MS",14,2020-03-22,"step6",0.28
"Forrest County, MS",15,2020-03-23,"step6",0.28
"Forrest County, MS",16,2020-03-24,"step6",0.28
"Forrest County, MS",16,2020-03-24,"step7",0.24
"Forrest County, MS",17,2020-03-25,"step7",0.24
"Forrest County, MS",18,2020-03-26,"step7",0.24
"Forrest County, MS",18,2020-03-26,"step8",0.21
"Forrest County, MS",19,2020-03-27,"step8",0.21
"Forrest County, MS",20,2020-03-28,"step8",0.21
"Forrest County, MS",20,2020-03-28,"step9",0.19
"Forrest County, MS",21,2020-03-29,"step9",0.19
"Forrest County, MS",22,2020-03-30,"step9",0.19
"Forrest County, MS",22,2020-03-30,"step10",0.18
"Forrest County, MS",23,2020-03-31,"step10",0.18
"Forrest County, MS",24,2020-04-01,"step10",0.18
"Forrest County, MS",24,2020-04-01,"step11",0.17
"Forrest County, MS",25,2020-04-02,"step11",0.17
"Forrest County, MS",26,2020-04-03,"step11",0.17
"Forrest County, MS",26,2020-04-03,"step12",0.17
"Forrest County, MS",27,2020-04-04,"step12",0.17
"Forrest County, MS",28,2020-04-05,"step12",0.17
"Forrest County, MS",28,2020-04-05,"step13",0.17
"Forrest County, MS",29,2020-04-06,"step13",0.17
"Forrest County, MS",30,2020-04-07,"step13",0.17
"Forrest County, MS",30,2020-04-07,"step14",0.16
"Forrest County, MS",31,2020-04-08,"step14",0.16
"Forrest County, MS",32,2020-04-09,"step14",0.16
"Forrest County, MS",32,2020-04-09,"step15",0.16
"Forrest County, MS",33,2020-04-10,"step15",0.16
"Forrest County, MS",34,2020-04-11,"step15",0.16
"Forrest County, MS",34,2020-04-11,"step16",0.15
"Forrest County, MS",35,2020-04-12,"step16",0.15
"Forrest County, MS",36,2020-04-13,"step16",0.15
"Forrest County, MS",36,2020-04-13,"step17",0.15
"Forrest County, MS",37,2020-04-14,"step17",0.15
"Forrest County, MS",38,2020-04-15,"step17",0.15
"Forrest County, MS",38,2020-04-15,"step19",0.14
"Forrest County, MS",39,2020-04-16,"step19",0.14
"Forrest County, MS",40,2020-04-17,"step19",0.14
"Forrest County, MS",40,2020-04-17,"step20",0.14
"Forrest County, MS",41,2020-04-18,"step20",0.14
"Forrest County, MS",42,2020-04-19,"step20",0.14
"Forrest County, MS",42,2020-04-19,"step21",0.13
"Forrest County, MS",43,2020-04-20,"step21",0.13
"Forrest County, MS",44,2020-04-21,"step21",0.13
"Forrest County, MS",44,2020-04-21,"step22",0.13
"Forrest County, MS",45,2020-04-22,"step22",0.13
"Forrest County, MS",46,2020-04-23,"step22",0.13
"Forrest County, MS",46,2020-04-23,"step23",0.12
"Forrest County, MS",47,2020-04-24,"step23",0.12
"Forrest County, MS",48,2020-04-25,"step23",0.12
"Forrest County, MS",48,2020-04-25,"step24",0.12
"Forrest County, MS",49,2020-04-26,"step24",0.12
"Forrest County, MS",50,2020-04-27,"step24",0.12
"Forrest County, MS",50,2020-04-27,"step25",0.11
"Forrest County, MS",51,2020-04-28,"step25",0.11
"Forrest County, MS",52,2020-04-29,"step25",0.11
"Forrest County, MS",52,2020-04-29,"step26",0.12
"Forrest County, MS",53,2020-04-30,"step26",0.12
"Forrest County, MS",54,2020-05-01,"step26",0.12
"Forrest County, MS",54,2020-05-01,"step27",0.12
"Forrest County, MS",55,2020-05-02,"step27",0.12
"Forrest County, MS",56,2020-05-03,"step27",0.12
"Forrest County, MS",56,2020-05-03,"step28",0.12
"Forrest County, MS",57,2020-05-04,"step28",0.12
"Forrest County, MS",58,2020-05-05,"step28",0.12
"Forrest County, MS",58,2020-05-05,"step30",0.12
"Forrest County, MS",59,2020-05-06,"step30",0.12
"Forrest County, MS",60,2020-05-07,"step30",0.12
"Forrest County, MS",60,2020-05-07,"step32",0.12
"Forrest County, MS",61,2020-05-08,"step32",0.12
"Forrest County, MS",61,2020-05-08,"step34",0.12
"Forrest County, MS",62,2020-05-09,"step34",0.12
"Forrest County, MS",63,2020-05-10,"step34",0.12
"Forrest County, MS",63,2020-05-10,"step36",0.11
"Forrest County, MS",64,2020-05-11,"step36",0.11
"Forrest County, MS",65,2020-05-12,"step36",0.11
"Forrest County, MS",65,2020-05-12,"step39",0.11
"Forrest County, MS",65,2020-05-12,"step40",0.11
"Forrest County, MS",66,2020-05-13,"step40",0.11
"Forrest County, MS",67,2020-05-14,"step40",0.11
"Forrest County, MS",67,2020-05-14,"step41",0.08
"Forrest County, MS",68,2020-05-15,"step41",0.08
"Forrest County, MS",69,2020-05-16,"step41",0.08
"Forrest County, MS",69,2020-05-16,"step42",0.06
"Forrest County, MS",70,2020-05-17,"step42",0.06
"Forrest County, MS",71,2020-05-18,"step42",0.06
"Forrest County, MS",71,2020-05-18,"step43",0.03
"Forrest County, MS",72,2020-05-19,"step43",0.03
"Forrest County, MS",73,2020-05-20,"step43",0.03
"Forrest County, MS",73,2020-05-20,"step44",0.03
"Forrest County, MS",74,2020-05-21,"step44",0.03
"Forrest County, MS",75,2020-05-22,"step44",0.03
"Forrest County, MS",75,2020-05-22,"step45",0.03
"Forrest County, MS",76,2020-05-23,"step45",0.03
"Forrest County, MS",77,2020-05-24,"step45",0.03
"Forrest County, MS",77,2020-05-24,"step46",0.04
"Forrest County, MS",78,2020-05-25,"step46",0.04
"Forrest County, MS",79,2020-05-26,"step46",0.04
"Forrest County, MS",79,2020-05-26,"step47",0.04
"Forrest County, MS",80,2020-05-27,"step47",0.04
"Forrest County, MS",81,2020-05-28,"step47",0.04
"Forrest County, MS",81,2020-05-28,"step48",0.04
"Forrest County, MS",82,2020-05-29,"step48",0.04
"Forrest County, MS",83,2020-05-30,"step48",0.04
"Forrest County, MS",83,2020-05-30,"step49",0.09
"Forrest County, MS",84,2020-05-31,"step49",0.09
"Forrest County, MS",85,2020-06-01,"step49",0.09
"Forrest County, MS",85,2020-06-01,"step50",0.25
"Forrest County, MS",86,2020-06-02,"step50",0.25
"Forrest County, MS",87,2020-06-03,"step50",0.25
