"region","time","date","period","b1"
"Harris County, TX",0,2020-02-23,"baseline",0.43
"Harris County, TX",1,2020-02-24,"baseline",0.43
"Harris County, TX",2,2020-02-25,"baseline",0.43
"Harris County, TX",3,2020-02-26,"baseline",0.43
"Harris County, TX",4,2020-02-27,"baseline",0.43
"Harris County, TX",5,2020-02-28,"baseline",0.43
"Harris County, TX",6,2020-02-29,"baseline",0.43
"Harris County, TX",7,2020-03-01,"baseline",0.43
"Harris County, TX",8,2020-03-02,"baseline",0.43
"Harris County, TX",9,2020-03-03,"baseline",0.43
"Harris County, TX",10,2020-03-04,"baseline",0.43
"Harris County, TX",11,2020-03-05,"baseline",0.43
"Harris County, TX",12,2020-03-06,"baseline",0.43
"Harris County, TX",13,2020-03-07,"baseline",0.43
"Harris County, TX",13,2020-03-07,"step1",0
"Harris County, TX",14,2020-03-08,"step1",0
"Harris County, TX",15,2020-03-09,"step1",0
"Harris County, TX",15,2020-03-09,"step2",0.23
"Harris County, TX",16,2020-03-10,"step2",0.23
"Harris County, TX",17,2020-03-11,"step2",0.23
"Harris County, TX",17,2020-03-11,"step3",0.44
"Harris County, TX",18,2020-03-12,"step3",0.44
"Harris County, TX",19,2020-03-13,"step3",0.44
"Harris County, TX",19,2020-03-13,"step4",0.6
"Harris County, TX",20,2020-03-14,"step4",0.6
"Harris County, TX",21,2020-03-15,"step4",0.6
"Harris County, TX",21,2020-03-15,"step5",0.68
"Harris County, TX",22,2020-03-16,"step5",0.68
"Harris County, TX",23,2020-03-17,"step5",0.68
"Harris County, TX",23,2020-03-17,"step6",0.59
"Harris County, TX",24,2020-03-18,"step6",0.59
"Harris County, TX",25,2020-03-19,"step6",0.59
"Harris County, TX",25,2020-03-19,"step7",0.52
"Harris County, TX",26,2020-03-20,"step7",0.52
"Harris County, TX",27,2020-03-21,"step7",0.52
"Harris County, TX",27,2020-03-21,"step8",0.45
"Harris County, TX",28,2020-03-22,"step8",0.45
"Harris County, TX",29,2020-03-23,"step8",0.45
"Harris County, TX",29,2020-03-23,"step9",0.39
"Harris County, TX",30,2020-03-24,"step9",0.39
"Harris County, TX",31,2020-03-25,"step9",0.39
"Harris County, TX",31,2020-03-25,"step10",0.34
"Harris County, TX",32,2020-03-26,"step10",0.34
"Harris County, TX",33,2020-03-27,"step10",0.34
"Harris County, TX",33,2020-03-27,"step11",0.29
"Harris County, TX",34,2020-03-28,"step11",0.29
"Harris County, TX",35,2020-03-29,"step11",0.29
"Harris County, TX",35,2020-03-29,"step12",0.26
"Harris County, TX",36,2020-03-30,"step12",0.26
"Harris County, TX",37,2020-03-31,"step12",0.26
"Harris County, TX",37,2020-03-31,"step13",0.22
"Harris County, TX",38,2020-04-01,"step13",0.22
"Harris County, TX",39,2020-04-02,"step13",0.22
"Harris County, TX",39,2020-04-02,"step14",0.19
"Harris County, TX",40,2020-04-03,"step14",0.19
"Harris County, TX",41,2020-04-04,"step14",0.19
"Harris County, TX",41,2020-04-04,"step15",0.16
"Harris County, TX",42,2020-04-05,"step15",0.16
"Harris County, TX",43,2020-04-06,"step15",0.16
"Harris County, TX",43,2020-04-06,"step16",0.13
"Harris County, TX",44,2020-04-07,"step16",0.13
"Harris County, TX",45,2020-04-08,"step16",0.13
"Harris County, TX",45,2020-04-08,"step17",0.11
"Harris County, TX",46,2020-04-09,"step17",0.11
"Harris County, TX",47,2020-04-10,"step17",0.11
"Harris County, TX",46,2020-04-09,"step18",0.095
"Harris County, TX",47,2020-04-10,"step18",0.095
"Harris County, TX",48,2020-04-11,"step18",0.095
"Harris County, TX",49,2020-04-12,"step18",0.095
"Harris County, TX",48,2020-04-11,"step19",0.09
"Harris County, TX",49,2020-04-12,"step19",0.09
"Harris County, TX",50,2020-04-13,"step19",0.09
"Harris County, TX",51,2020-04-14,"step19",0.09
"Harris County, TX",50,2020-04-13,"step20",0.08
"Harris County, TX",51,2020-04-14,"step20",0.08
"Harris County, TX",52,2020-04-15,"step20",0.08
"Harris County, TX",52,2020-04-15,"step22",0
"Harris County, TX",53,2020-04-16,"step22",0
"Harris County, TX",54,2020-04-17,"step22",0
"Harris County, TX",54,2020-04-17,"step23",0
"Harris County, TX",55,2020-04-18,"step23",0
"Harris County, TX",56,2020-04-19,"step23",0
"Harris County, TX",56,2020-04-19,"step24",0.02
"Harris County, TX",57,2020-04-20,"step24",0.02
"Harris County, TX",58,2020-04-21,"step24",0.02
"Harris County, TX",58,2020-04-21,"step25",0.2
"Harris County, TX",59,2020-04-22,"step25",0.2
"Harris County, TX",60,2020-04-23,"step25",0.2
"Harris County, TX",60,2020-04-23,"step26",0.2
"Harris County, TX",61,2020-04-24,"step26",0.2
"Harris County, TX",62,2020-04-25,"step26",0.2
"Harris County, TX",62,2020-04-25,"step27",0.19
"Harris County, TX",63,2020-04-26,"step27",0.19
"Harris County, TX",64,2020-04-27,"step27",0.19
"Harris County, TX",64,2020-04-27,"step28",0.18
"Harris County, TX",65,2020-04-28,"step28",0.18
"Harris County, TX",66,2020-04-29,"step28",0.18
"Harris County, TX",66,2020-04-29,"step29",0.17
"Harris County, TX",67,2020-04-30,"step29",0.17
"Harris County, TX",68,2020-05-01,"step29",0.17
"Harris County, TX",68,2020-05-01,"step30",0.15
"Harris County, TX",69,2020-05-02,"step30",0.15
"Harris County, TX",70,2020-05-03,"step30",0.15
"Harris County, TX",70,2020-05-03,"step31",0.13
"Harris County, TX",71,2020-05-04,"step31",0.13
"Harris County, TX",72,2020-05-05,"step31",0.13
"Harris County, TX",72,2020-05-05,"step33",0.1
"Harris County, TX",73,2020-05-06,"step33",0.1
"Harris County, TX",74,2020-05-07,"step33",0.1
"Harris County, TX",74,2020-05-07,"step35",0.1
"Harris County, TX",75,2020-05-08,"step35",0.1
"Harris County, TX",75,2020-05-08,"step37",0.09
"Harris County, TX",76,2020-05-09,"step37",0.09
"Harris County, TX",77,2020-05-10,"step37",0.09
"Harris County, TX",77,2020-05-10,"step39",0.08
