"region","time","date","period","b1"
"Hennepin County, MN",0,2020-02-22,"baseline",0.41
"Hennepin County, MN",1,2020-02-23,"baseline",0.41
"Hennepin County, MN",2,2020-02-24,"baseline",0.41
"Hennepin County, MN",3,2020-02-25,"baseline",0.41
"Hennepin County, MN",4,2020-02-26,"baseline",0.41
"Hennepin County, MN",5,2020-02-27,"baseline",0.41
"Hennepin County, MN",6,2020-02-28,"baseline",0.41
"Hennepin County, MN",7,2020-02-29,"baseline",0.41
"Hennepin County, MN",8,2020-03-01,"baseline",0.41
"Hennepin County, MN",9,2020-03-02,"baseline",0.41
"Hennepin County, MN",10,2020-03-03,"baseline",0.41
"Hennepin County, MN",11,2020-03-04,"baseline",0.41
"Hennepin County, MN",12,2020-03-05,"baseline",0.41
"Hennepin County, MN",13,2020-03-06,"baseline",0.41
"Hennepin County, MN",14,2020-03-07,"baseline",0.41
"Hennepin County, MN",15,2020-03-08,"baseline",0.41
"Hennepin County, MN",16,2020-03-09,"baseline",0.41
"Hennepin County, MN",17,2020-03-10,"baseline",0.41
"Hennepin County, MN",18,2020-03-11,"baseline",0.41
"Hennepin County, MN",19,2020-03-12,"baseline",0.41
"Hennepin County, MN",20,2020-03-13,"baseline",0.41
"Hennepin County, MN",21,2020-03-14,"baseline",0.41
"Hennepin County, MN",21,2020-03-14,"step1",0.27
"Hennepin County, MN",22,2020-03-15,"step1",0.27
"Hennepin County, MN",23,2020-03-16,"step1",0.27
"Hennepin County, MN",23,2020-03-16,"step2",0.25
"Hennepin County, MN",24,2020-03-17,"step2",0.25
"Hennepin County, MN",25,2020-03-18,"step2",0.25
"Hennepin County, MN",25,2020-03-18,"step3",0.23
"Hennepin County, MN",26,2020-03-19,"step3",0.23
"Hennepin County, MN",27,2020-03-20,"step3",0.23
"Hennepin County, MN",27,2020-03-20,"step4",0.21
"Hennepin County, MN",28,2020-03-21,"step4",0.21
"Hennepin County, MN",29,2020-03-22,"step4",0.21
"Hennepin County, MN",29,2020-03-22,"step5",0.2
"Hennepin County, MN",30,2020-03-23,"step5",0.2
"Hennepin County, MN",31,2020-03-24,"step5",0.2
"Hennepin County, MN",31,2020-03-24,"step6",0.19
"Hennepin County, MN",32,2020-03-25,"step6",0.19
"Hennepin County, MN",33,2020-03-26,"step6",0.19
"Hennepin County, MN",33,2020-03-26,"step7",0.18
"Hennepin County, MN",34,2020-03-27,"step7",0.18
"Hennepin County, MN",35,2020-03-28,"step7",0.18
"Hennepin County, MN",35,2020-03-28,"step8",0.18
"Hennepin County, MN",36,2020-03-29,"step8",0.18
"Hennepin County, MN",37,2020-03-30,"step8",0.18
"Hennepin County, MN",37,2020-03-30,"step9",0.19
"Hennepin County, MN",38,2020-03-31,"step9",0.19
"Hennepin County, MN",39,2020-04-01,"step9",0.19
"Hennepin County, MN",39,2020-04-01,"step10",0.21
"Hennepin County, MN",40,2020-04-02,"step10",0.21
"Hennepin County, MN",41,2020-04-03,"step10",0.21
"Hennepin County, MN",41,2020-04-03,"step11",0.22
"Hennepin County, MN",42,2020-04-04,"step11",0.22
"Hennepin County, MN",43,2020-04-05,"step11",0.22
"Hennepin County, MN",43,2020-04-05,"step12",0.21
"Hennepin County, MN",44,2020-04-06,"step12",0.21
"Hennepin County, MN",45,2020-04-07,"step12",0.21
"Hennepin County, MN",45,2020-04-07,"step13",0.2
"Hennepin County, MN",46,2020-04-08,"step13",0.2
"Hennepin County, MN",47,2020-04-09,"step13",0.2
"Hennepin County, MN",47,2020-04-09,"step14",0.19
"Hennepin County, MN",48,2020-04-10,"step14",0.19
"Hennepin County, MN",49,2020-04-11,"step14",0.19
"Hennepin County, MN",47,2020-04-09,"step15",0.18
"Hennepin County, MN",48,2020-04-10,"step15",0.18
"Hennepin County, MN",49,2020-04-11,"step15",0.18
"Hennepin County, MN",50,2020-04-12,"step15",0.18
"Hennepin County, MN",51,2020-04-13,"step15",0.18
"Hennepin County, MN",49,2020-04-11,"step16",0.165
"Hennepin County, MN",50,2020-04-12,"step16",0.165
"Hennepin County, MN",51,2020-04-13,"step16",0.165
"Hennepin County, MN",52,2020-04-14,"step16",0.165
"Hennepin County, MN",53,2020-04-15,"step16",0.165
"Hennepin County, MN",51,2020-04-13,"step17",0.155
"Hennepin County, MN",52,2020-04-14,"step17",0.155
"Hennepin County, MN",53,2020-04-15,"step17",0.155
"Hennepin County, MN",53,2020-04-15,"step19",0
"Hennepin County, MN",54,2020-04-16,"step19",0
"Hennepin County, MN",55,2020-04-17,"step19",0
"Hennepin County, MN",55,2020-04-17,"step20",0
"Hennepin County, MN",56,2020-04-18,"step20",0
"Hennepin County, MN",57,2020-04-19,"step20",0
"Hennepin County, MN",57,2020-04-19,"step21",0
"Hennepin County, MN",58,2020-04-20,"step21",0
"Hennepin County, MN",59,2020-04-21,"step21",0
"Hennepin County, MN",59,2020-04-21,"step22",0
"Hennepin County, MN",60,2020-04-22,"step22",0
"Hennepin County, MN",61,2020-04-23,"step22",0
"Hennepin County, MN",61,2020-04-23,"step23",0
"Hennepin County, MN",62,2020-04-24,"step23",0
"Hennepin County, MN",63,2020-04-25,"step23",0
"Hennepin County, MN",63,2020-04-25,"step24",0
"Hennepin County, MN",64,2020-04-26,"step24",0
"Hennepin County, MN",65,2020-04-27,"step24",0
"Hennepin County, MN",65,2020-04-27,"step25",0
"Hennepin County, MN",66,2020-04-28,"step25",0
"Hennepin County, MN",67,2020-04-29,"step25",0
"Hennepin County, MN",67,2020-04-29,"step26",0.14
"Hennepin County, MN",68,2020-04-30,"step26",0.14
"Hennepin County, MN",69,2020-05-01,"step26",0.14
"Hennepin County, MN",69,2020-05-01,"step27",0.25
"Hennepin County, MN",70,2020-05-02,"step27",0.25
"Hennepin County, MN",71,2020-05-03,"step27",0.25
"Hennepin County, MN",71,2020-05-03,"step28",0.29
"Hennepin County, MN",72,2020-05-04,"step28",0.29
"Hennepin County, MN",73,2020-05-05,"step28",0.29
"Hennepin County, MN",73,2020-05-05,"step30",0.39
"Hennepin County, MN",74,2020-05-06,"step30",0.39
"Hennepin County, MN",75,2020-05-07,"step30",0.39
"Hennepin County, MN",75,2020-05-07,"step32",0.33
"Hennepin County, MN",76,2020-05-08,"step32",0.33
"Hennepin County, MN",76,2020-05-08,"step34",0.31
"Hennepin County, MN",77,2020-05-09,"step34",0.31
"Hennepin County, MN",78,2020-05-10,"step34",0.31
"Hennepin County, MN",78,2020-05-10,"step36",0.27
"Hennepin County, MN",79,2020-05-11,"step36",0.27
"Hennepin County, MN",80,2020-05-12,"step36",0.27
"Hennepin County, MN",80,2020-05-12,"step39",0.22
"Hennepin County, MN",80,2020-05-12,"step40",0.23
"Hennepin County, MN",81,2020-05-13,"step40",0.23
"Hennepin County, MN",82,2020-05-14,"step40",0.23
"Hennepin County, MN",82,2020-05-14,"step41",0.19
"Hennepin County, MN",83,2020-05-15,"step41",0.19
"Hennepin County, MN",84,2020-05-16,"step41",0.19
"Hennepin County, MN",84,2020-05-16,"step42",0.16
"Hennepin County, MN",85,2020-05-17,"step42",0.16
"Hennepin County, MN",86,2020-05-18,"step42",0.16
"Hennepin County, MN",86,2020-05-18,"step43",0.13
"Hennepin County, MN",87,2020-05-19,"step43",0.13
"Hennepin County, MN",88,2020-05-20,"step43",0.13
"Hennepin County, MN",88,2020-05-20,"step44",0.11
"Hennepin County, MN",89,2020-05-21,"step44",0.11
"Hennepin County, MN",90,2020-05-22,"step44",0.11
"Hennepin County, MN",90,2020-05-22,"step45",0.11
"Hennepin County, MN",91,2020-05-23,"step45",0.11
"Hennepin County, MN",92,2020-05-24,"step45",0.11
"Hennepin County, MN",92,2020-05-24,"step46",0.1
"Hennepin County, MN",93,2020-05-25,"step46",0.1
"Hennepin County, MN",94,2020-05-26,"step46",0.1
"Hennepin County, MN",94,2020-05-26,"step47",0.09
"Hennepin County, MN",95,2020-05-27,"step47",0.09
"Hennepin County, MN",96,2020-05-28,"step47",0.09
"Hennepin County, MN",96,2020-05-28,"step48",0.07
"Hennepin County, MN",97,2020-05-29,"step48",0.07
"Hennepin County, MN",98,2020-05-30,"step48",0.07
"Hennepin County, MN",98,2020-05-30,"step49",0.05
"Hennepin County, MN",99,2020-05-31,"step49",0.05
"Hennepin County, MN",100,2020-06-01,"step49",0.05
"Hennepin County, MN",100,2020-06-01,"step50",0
"Hennepin County, MN",101,2020-06-02,"step50",0
"Hennepin County, MN",102,2020-06-03,"step50",0
