"region","time","date","period","b1"
"Indiana",0,2020-02-11,"baseline",0.47
"Indiana",1,2020-02-12,"baseline",0.47
"Indiana",2,2020-02-13,"baseline",0.47
"Indiana",3,2020-02-14,"baseline",0.47
"Indiana",4,2020-02-15,"baseline",0.47
"Indiana",5,2020-02-16,"baseline",0.47
"Indiana",6,2020-02-17,"baseline",0.47
"Indiana",7,2020-02-18,"baseline",0.47
"Indiana",8,2020-02-19,"baseline",0.47
"Indiana",9,2020-02-20,"baseline",0.47
"Indiana",10,2020-02-21,"baseline",0.47
"Indiana",11,2020-02-22,"baseline",0.47
"Indiana",12,2020-02-23,"baseline",0.47
"Indiana",13,2020-02-24,"baseline",0.47
"Indiana",14,2020-02-25,"baseline",0.47
"Indiana",15,2020-02-26,"baseline",0.47
"Indiana",16,2020-02-27,"baseline",0.47
"Indiana",17,2020-02-28,"baseline",0.47
"Indiana",18,2020-02-29,"baseline",0.47
"Indiana",19,2020-03-01,"baseline",0.47
"Indiana",20,2020-03-02,"baseline",0.47
"Indiana",21,2020-03-03,"baseline",0.47
"Indiana",22,2020-03-04,"baseline",0.47
"Indiana",23,2020-03-05,"baseline",0.47
"Indiana",24,2020-03-06,"baseline",0.47
"Indiana",25,2020-03-07,"baseline",0.47
"Indiana",26,2020-03-08,"baseline",0.47
"Indiana",26,2020-03-08,"step1",0.51
"Indiana",27,2020-03-09,"step1",0.51
"Indiana",28,2020-03-10,"step1",0.51
"Indiana",28,2020-03-10,"step2",0.45
"Indiana",29,2020-03-11,"step2",0.45
"Indiana",30,2020-03-12,"step2",0.45
"Indiana",30,2020-03-12,"step3",0.4
"Indiana",31,2020-03-13,"step3",0.4
"Indiana",32,2020-03-14,"step3",0.4
"Indiana",32,2020-03-14,"step4",0.36
"Indiana",33,2020-03-15,"step4",0.36
"Indiana",34,2020-03-16,"step4",0.36
"Indiana",34,2020-03-16,"step5",0.32
"Indiana",35,2020-03-17,"step5",0.32
"Indiana",36,2020-03-18,"step5",0.32
"Indiana",36,2020-03-18,"step6",0.29
"Indiana",37,2020-03-19,"step6",0.29
"Indiana",38,2020-03-20,"step6",0.29
"Indiana",38,2020-03-20,"step7",0.25
"Indiana",39,2020-03-21,"step7",0.25
"Indiana",40,2020-03-22,"step7",0.25
"Indiana",40,2020-03-22,"step8",0.23
"Indiana",41,2020-03-23,"step8",0.23
"Indiana",42,2020-03-24,"step8",0.23
"Indiana",42,2020-03-24,"step9",0.2
"Indiana",43,2020-03-25,"step9",0.2
"Indiana",44,2020-03-26,"step9",0.2
"Indiana",44,2020-03-26,"step10",0.17
"Indiana",45,2020-03-27,"step10",0.17
"Indiana",46,2020-03-28,"step10",0.17
"Indiana",46,2020-03-28,"step11",0.15
"Indiana",47,2020-03-29,"step11",0.15
"Indiana",48,2020-03-30,"step11",0.15
"Indiana",48,2020-03-30,"step12",0.14
"Indiana",49,2020-03-31,"step12",0.14
"Indiana",50,2020-04-01,"step12",0.14
"Indiana",50,2020-04-01,"step13",0.12
"Indiana",51,2020-04-02,"step13",0.12
"Indiana",52,2020-04-03,"step13",0.12
"Indiana",52,2020-04-03,"step14",0.11
"Indiana",53,2020-04-04,"step14",0.11
"Indiana",54,2020-04-05,"step14",0.11
"Indiana",54,2020-04-05,"step15",0.1
"Indiana",55,2020-04-06,"step15",0.1
"Indiana",56,2020-04-07,"step15",0.1
"Indiana",56,2020-04-07,"step16",0.09
"Indiana",57,2020-04-08,"step16",0.09
"Indiana",58,2020-04-09,"step16",0.09
"Indiana",58,2020-04-09,"step17",0.09
"Indiana",59,2020-04-10,"step17",0.09
"Indiana",60,2020-04-11,"step17",0.09
"Indiana",60,2020-04-11,"step18",0.09
