"region","time","date","period","b1"
"Jefferson County, KY",0,2020-02-17,"baseline",0.38
"Jefferson County, KY",1,2020-02-18,"baseline",0.38
"Jefferson County, KY",2,2020-02-19,"baseline",0.38
"Jefferson County, KY",3,2020-02-20,"baseline",0.38
"Jefferson County, KY",4,2020-02-21,"baseline",0.38
"Jefferson County, KY",5,2020-02-22,"baseline",0.38
"Jefferson County, KY",6,2020-02-23,"baseline",0.38
"Jefferson County, KY",7,2020-02-24,"baseline",0.38
"Jefferson County, KY",8,2020-02-25,"baseline",0.38
"Jefferson County, KY",9,2020-02-26,"baseline",0.38
"Jefferson County, KY",10,2020-02-27,"baseline",0.38
"Jefferson County, KY",11,2020-02-28,"baseline",0.38
"Jefferson County, KY",12,2020-02-29,"baseline",0.38
"Jefferson County, KY",13,2020-03-01,"baseline",0.38
"Jefferson County, KY",14,2020-03-02,"baseline",0.38
"Jefferson County, KY",15,2020-03-03,"baseline",0.38
"Jefferson County, KY",16,2020-03-04,"baseline",0.38
"Jefferson County, KY",17,2020-03-05,"baseline",0.38
"Jefferson County, KY",18,2020-03-06,"baseline",0.38
"Jefferson County, KY",19,2020-03-07,"baseline",0.38
"Jefferson County, KY",20,2020-03-08,"baseline",0.38
"Jefferson County, KY",21,2020-03-09,"baseline",0.38
"Jefferson County, KY",22,2020-03-10,"baseline",0.38
"Jefferson County, KY",23,2020-03-11,"baseline",0.38
"Jefferson County, KY",23,2020-03-11,"step1",0.21
"Jefferson County, KY",24,2020-03-12,"step1",0.21
"Jefferson County, KY",25,2020-03-13,"step1",0.21
"Jefferson County, KY",25,2020-03-13,"step2",0.28
"Jefferson County, KY",26,2020-03-14,"step2",0.28
"Jefferson County, KY",27,2020-03-15,"step2",0.28
"Jefferson County, KY",27,2020-03-15,"step3",0.26
"Jefferson County, KY",28,2020-03-16,"step3",0.26
"Jefferson County, KY",29,2020-03-17,"step3",0.26
"Jefferson County, KY",29,2020-03-17,"step4",0.24
"Jefferson County, KY",30,2020-03-18,"step4",0.24
"Jefferson County, KY",31,2020-03-19,"step4",0.24
"Jefferson County, KY",31,2020-03-19,"step5",0.22
"Jefferson County, KY",32,2020-03-20,"step5",0.22
"Jefferson County, KY",33,2020-03-21,"step5",0.22
"Jefferson County, KY",33,2020-03-21,"step6",0.2
"Jefferson County, KY",34,2020-03-22,"step6",0.2
"Jefferson County, KY",35,2020-03-23,"step6",0.2
"Jefferson County, KY",35,2020-03-23,"step7",0.18
"Jefferson County, KY",36,2020-03-24,"step7",0.18
"Jefferson County, KY",37,2020-03-25,"step7",0.18
"Jefferson County, KY",37,2020-03-25,"step8",0.16
"Jefferson County, KY",38,2020-03-26,"step8",0.16
"Jefferson County, KY",39,2020-03-27,"step8",0.16
"Jefferson County, KY",39,2020-03-27,"step9",0.14
"Jefferson County, KY",40,2020-03-28,"step9",0.14
"Jefferson County, KY",41,2020-03-29,"step9",0.14
"Jefferson County, KY",41,2020-03-29,"step10",0.13
"Jefferson County, KY",42,2020-03-30,"step10",0.13
"Jefferson County, KY",43,2020-03-31,"step10",0.13
"Jefferson County, KY",43,2020-03-31,"step11",0.11
"Jefferson County, KY",44,2020-04-01,"step11",0.11
"Jefferson County, KY",45,2020-04-02,"step11",0.11
"Jefferson County, KY",45,2020-04-02,"step12",0.11
"Jefferson County, KY",46,2020-04-03,"step12",0.11
"Jefferson County, KY",47,2020-04-04,"step12",0.11
"Jefferson County, KY",47,2020-04-04,"step13",0.1
"Jefferson County, KY",48,2020-04-05,"step13",0.1
"Jefferson County, KY",49,2020-04-06,"step13",0.1
"Jefferson County, KY",49,2020-04-06,"step14",0.09
"Jefferson County, KY",50,2020-04-07,"step14",0.09
"Jefferson County, KY",51,2020-04-08,"step14",0.09
