"region","time","date","period","b1"
"Johnson County, KS",0,2020-02-04,"baseline",0.23
"Johnson County, KS",1,2020-02-05,"baseline",0.23
"Johnson County, KS",2,2020-02-06,"baseline",0.23
"Johnson County, KS",3,2020-02-07,"baseline",0.23
"Johnson County, KS",4,2020-02-08,"baseline",0.23
"Johnson County, KS",5,2020-02-09,"baseline",0.23
"Johnson County, KS",6,2020-02-10,"baseline",0.23
"Johnson County, KS",7,2020-02-11,"baseline",0.23
"Johnson County, KS",8,2020-02-12,"baseline",0.23
"Johnson County, KS",9,2020-02-13,"baseline",0.23
"Johnson County, KS",10,2020-02-14,"baseline",0.23
"Johnson County, KS",11,2020-02-15,"baseline",0.23
"Johnson County, KS",12,2020-02-16,"baseline",0.23
"Johnson County, KS",13,2020-02-17,"baseline",0.23
"Johnson County, KS",14,2020-02-18,"baseline",0.23
"Johnson County, KS",15,2020-02-19,"baseline",0.23
"Johnson County, KS",16,2020-02-20,"baseline",0.23
"Johnson County, KS",17,2020-02-21,"baseline",0.23
"Johnson County, KS",18,2020-02-22,"baseline",0.23
"Johnson County, KS",19,2020-02-23,"baseline",0.23
"Johnson County, KS",20,2020-02-24,"baseline",0.23
"Johnson County, KS",21,2020-02-25,"baseline",0.23
"Johnson County, KS",22,2020-02-26,"baseline",0.23
"Johnson County, KS",23,2020-02-27,"baseline",0.23
"Johnson County, KS",24,2020-02-28,"baseline",0.23
"Johnson County, KS",25,2020-02-29,"baseline",0.23
"Johnson County, KS",26,2020-03-01,"baseline",0.23
"Johnson County, KS",27,2020-03-02,"baseline",0.23
"Johnson County, KS",28,2020-03-03,"baseline",0.23
"Johnson County, KS",29,2020-03-04,"baseline",0.23
"Johnson County, KS",30,2020-03-05,"baseline",0.23
"Johnson County, KS",31,2020-03-06,"baseline",0.23
"Johnson County, KS",32,2020-03-07,"baseline",0.23
"Johnson County, KS",33,2020-03-08,"baseline",0.23
"Johnson County, KS",34,2020-03-09,"baseline",0.23
"Johnson County, KS",35,2020-03-10,"baseline",0.23
