"region","time","date","period","b1"
"Lake County, IN",0,2020-02-28,"baseline",0.38
"Lake County, IN",1,2020-02-29,"baseline",0.38
"Lake County, IN",2,2020-03-01,"baseline",0.38
"Lake County, IN",3,2020-03-02,"baseline",0.38
"Lake County, IN",4,2020-03-03,"baseline",0.38
"Lake County, IN",5,2020-03-04,"baseline",0.38
"Lake County, IN",6,2020-03-05,"baseline",0.38
"Lake County, IN",7,2020-03-06,"baseline",0.38
"Lake County, IN",8,2020-03-07,"baseline",0.38
"Lake County, IN",9,2020-03-08,"baseline",0.38
"Lake County, IN",10,2020-03-09,"baseline",0.38
"Lake County, IN",11,2020-03-10,"baseline",0.38
"Lake County, IN",12,2020-03-11,"baseline",0.38
"Lake County, IN",13,2020-03-12,"baseline",0.38
"Lake County, IN",14,2020-03-13,"baseline",0.38
"Lake County, IN",15,2020-03-14,"baseline",0.38
"Lake County, IN",16,2020-03-15,"baseline",0.38
"Lake County, IN",17,2020-03-16,"baseline",0.38
"Lake County, IN",18,2020-03-17,"baseline",0.38
"Lake County, IN",19,2020-03-18,"baseline",0.38
"Lake County, IN",19,2020-03-18,"step1",0.4
"Lake County, IN",20,2020-03-19,"step1",0.4
"Lake County, IN",21,2020-03-20,"step1",0.4
"Lake County, IN",21,2020-03-20,"step2",0.36
"Lake County, IN",22,2020-03-21,"step2",0.36
"Lake County, IN",23,2020-03-22,"step2",0.36
"Lake County, IN",23,2020-03-22,"step3",0.32
"Lake County, IN",24,2020-03-23,"step3",0.32
"Lake County, IN",25,2020-03-24,"step3",0.32
"Lake County, IN",25,2020-03-24,"step4",0.28
"Lake County, IN",26,2020-03-25,"step4",0.28
"Lake County, IN",27,2020-03-26,"step4",0.28
"Lake County, IN",27,2020-03-26,"step5",0.25
"Lake County, IN",28,2020-03-27,"step5",0.25
"Lake County, IN",29,2020-03-28,"step5",0.25
"Lake County, IN",29,2020-03-28,"step6",0.22
"Lake County, IN",30,2020-03-29,"step6",0.22
"Lake County, IN",31,2020-03-30,"step6",0.22
"Lake County, IN",31,2020-03-30,"step7",0.19
"Lake County, IN",32,2020-03-31,"step7",0.19
"Lake County, IN",33,2020-04-01,"step7",0.19
"Lake County, IN",33,2020-04-01,"step8",0.17
"Lake County, IN",34,2020-04-02,"step8",0.17
"Lake County, IN",35,2020-04-03,"step8",0.17
"Lake County, IN",35,2020-04-03,"step9",0.15
"Lake County, IN",36,2020-04-04,"step9",0.15
"Lake County, IN",37,2020-04-05,"step9",0.15
"Lake County, IN",37,2020-04-05,"step10",0.13
"Lake County, IN",38,2020-04-06,"step10",0.13
"Lake County, IN",39,2020-04-07,"step10",0.13
"Lake County, IN",39,2020-04-07,"step11",0.11
"Lake County, IN",40,2020-04-08,"step11",0.11
"Lake County, IN",41,2020-04-09,"step11",0.11
"Lake County, IN",41,2020-04-09,"step12",0.11
"Lake County, IN",42,2020-04-10,"step12",0.11
"Lake County, IN",43,2020-04-11,"step12",0.11
"Lake County, IN",41,2020-04-09,"step13",0.105
"Lake County, IN",42,2020-04-10,"step13",0.105
"Lake County, IN",43,2020-04-11,"step13",0.105
"Lake County, IN",44,2020-04-12,"step13",0.105
"Lake County, IN",45,2020-04-13,"step13",0.105
"Lake County, IN",43,2020-04-11,"step14",0.105
"Lake County, IN",44,2020-04-12,"step14",0.105
"Lake County, IN",45,2020-04-13,"step14",0.105
"Lake County, IN",46,2020-04-14,"step14",0.105
"Lake County, IN",47,2020-04-15,"step14",0.105
"Lake County, IN",45,2020-04-13,"step15",0.11
"Lake County, IN",46,2020-04-14,"step15",0.11
"Lake County, IN",47,2020-04-15,"step15",0.11
"Lake County, IN",47,2020-04-15,"step17",0
"Lake County, IN",48,2020-04-16,"step17",0
"Lake County, IN",49,2020-04-17,"step17",0
"Lake County, IN",49,2020-04-17,"step18",0
"Lake County, IN",50,2020-04-18,"step18",0
"Lake County, IN",51,2020-04-19,"step18",0
"Lake County, IN",51,2020-04-19,"step19",0
"Lake County, IN",52,2020-04-20,"step19",0
"Lake County, IN",53,2020-04-21,"step19",0
"Lake County, IN",53,2020-04-21,"step20",0.23
"Lake County, IN",54,2020-04-22,"step20",0.23
"Lake County, IN",55,2020-04-23,"step20",0.23
"Lake County, IN",55,2020-04-23,"step21",0.22
"Lake County, IN",56,2020-04-24,"step21",0.22
"Lake County, IN",57,2020-04-25,"step21",0.22
"Lake County, IN",57,2020-04-25,"step22",0.21
"Lake County, IN",58,2020-04-26,"step22",0.21
"Lake County, IN",59,2020-04-27,"step22",0.21
"Lake County, IN",59,2020-04-27,"step23",0.19
"Lake County, IN",60,2020-04-28,"step23",0.19
"Lake County, IN",61,2020-04-29,"step23",0.19
"Lake County, IN",61,2020-04-29,"step24",0.18
"Lake County, IN",62,2020-04-30,"step24",0.18
"Lake County, IN",63,2020-05-01,"step24",0.18
"Lake County, IN",63,2020-05-01,"step25",0.17
"Lake County, IN",64,2020-05-02,"step25",0.17
"Lake County, IN",65,2020-05-03,"step25",0.17
"Lake County, IN",65,2020-05-03,"step26",0.16
"Lake County, IN",66,2020-05-04,"step26",0.16
"Lake County, IN",67,2020-05-05,"step26",0.16
"Lake County, IN",67,2020-05-05,"step28",0.15
"Lake County, IN",68,2020-05-06,"step28",0.15
"Lake County, IN",69,2020-05-07,"step28",0.15
"Lake County, IN",69,2020-05-07,"step30",0.14
"Lake County, IN",70,2020-05-08,"step30",0.14
"Lake County, IN",70,2020-05-08,"step32",0.13
"Lake County, IN",71,2020-05-09,"step32",0.13
"Lake County, IN",72,2020-05-10,"step32",0.13
"Lake County, IN",72,2020-05-10,"step34",0.12
"Lake County, IN",73,2020-05-11,"step34",0.12
"Lake County, IN",74,2020-05-12,"step34",0.12
"Lake County, IN",74,2020-05-12,"step37",0.12
"Lake County, IN",74,2020-05-12,"step38",0.12
"Lake County, IN",75,2020-05-13,"step38",0.12
"Lake County, IN",76,2020-05-14,"step38",0.12
"Lake County, IN",76,2020-05-14,"step39",0.12
"Lake County, IN",77,2020-05-15,"step39",0.12
"Lake County, IN",78,2020-05-16,"step39",0.12
"Lake County, IN",78,2020-05-16,"step40",0.11
"Lake County, IN",79,2020-05-17,"step40",0.11
"Lake County, IN",80,2020-05-18,"step40",0.11
"Lake County, IN",80,2020-05-18,"step41",0.11
"Lake County, IN",81,2020-05-19,"step41",0.11
"Lake County, IN",82,2020-05-20,"step41",0.11
"Lake County, IN",82,2020-05-20,"step42",0.11
"Lake County, IN",83,2020-05-21,"step42",0.11
"Lake County, IN",84,2020-05-22,"step42",0.11
"Lake County, IN",84,2020-05-22,"step43",0.11
"Lake County, IN",85,2020-05-23,"step43",0.11
"Lake County, IN",86,2020-05-24,"step43",0.11
"Lake County, IN",86,2020-05-24,"step44",0.11
"Lake County, IN",87,2020-05-25,"step44",0.11
"Lake County, IN",88,2020-05-26,"step44",0.11
"Lake County, IN",88,2020-05-26,"step45",0.12
"Lake County, IN",89,2020-05-27,"step45",0.12
"Lake County, IN",90,2020-05-28,"step45",0.12
"Lake County, IN",90,2020-05-28,"step46",0.11
"Lake County, IN",91,2020-05-29,"step46",0.11
"Lake County, IN",92,2020-05-30,"step46",0.11
"Lake County, IN",92,2020-05-30,"step47",0.12
"Lake County, IN",93,2020-05-31,"step47",0.12
"Lake County, IN",94,2020-06-01,"step47",0.12
"Lake County, IN",94,2020-06-01,"step48",0.1
"Lake County, IN",95,2020-06-02,"step48",0.1
"Lake County, IN",96,2020-06-03,"step48",0.1
