"region","time","date","period","b1"
"Lauderdale County, MS",0,2020-03-13,"baseline",0.36
"Lauderdale County, MS",1,2020-03-14,"baseline",0.36
"Lauderdale County, MS",2,2020-03-15,"baseline",0.36
"Lauderdale County, MS",3,2020-03-16,"baseline",0.36
"Lauderdale County, MS",4,2020-03-17,"baseline",0.36
"Lauderdale County, MS",5,2020-03-18,"baseline",0.36
"Lauderdale County, MS",6,2020-03-19,"baseline",0.36
"Lauderdale County, MS",7,2020-03-20,"baseline",0.36
"Lauderdale County, MS",8,2020-03-21,"baseline",0.36
"Lauderdale County, MS",9,2020-03-22,"baseline",0.36
"Lauderdale County, MS",10,2020-03-23,"baseline",0.36
"Lauderdale County, MS",11,2020-03-24,"baseline",0.36
"Lauderdale County, MS",12,2020-03-25,"baseline",0.36
"Lauderdale County, MS",13,2020-03-26,"baseline",0.36
"Lauderdale County, MS",14,2020-03-27,"baseline",0.36
"Lauderdale County, MS",15,2020-03-28,"baseline",0.36
"Lauderdale County, MS",15,2020-03-28,"step1",0.41
"Lauderdale County, MS",16,2020-03-29,"step1",0.41
"Lauderdale County, MS",17,2020-03-30,"step1",0.41
"Lauderdale County, MS",17,2020-03-30,"step2",0.35
"Lauderdale County, MS",18,2020-03-31,"step2",0.35
"Lauderdale County, MS",19,2020-04-01,"step2",0.35
"Lauderdale County, MS",19,2020-04-01,"step3",0.3
"Lauderdale County, MS",20,2020-04-02,"step3",0.3
"Lauderdale County, MS",21,2020-04-03,"step3",0.3
"Lauderdale County, MS",21,2020-04-03,"step4",0.25
"Lauderdale County, MS",22,2020-04-04,"step4",0.25
"Lauderdale County, MS",23,2020-04-05,"step4",0.25
"Lauderdale County, MS",23,2020-04-05,"step5",0.2
"Lauderdale County, MS",24,2020-04-06,"step5",0.2
"Lauderdale County, MS",25,2020-04-07,"step5",0.2
"Lauderdale County, MS",25,2020-04-07,"step6",0.17
"Lauderdale County, MS",26,2020-04-08,"step6",0.17
"Lauderdale County, MS",27,2020-04-09,"step6",0.17
"Lauderdale County, MS",27,2020-04-09,"step7",0.12
"Lauderdale County, MS",28,2020-04-10,"step7",0.12
"Lauderdale County, MS",29,2020-04-11,"step7",0.12
"Lauderdale County, MS",27,2020-04-09,"step8",0.1
"Lauderdale County, MS",28,2020-04-10,"step8",0.1
"Lauderdale County, MS",29,2020-04-11,"step8",0.1
"Lauderdale County, MS",30,2020-04-12,"step8",0.1
"Lauderdale County, MS",31,2020-04-13,"step8",0.1
"Lauderdale County, MS",29,2020-04-11,"step9",0.08
"Lauderdale County, MS",30,2020-04-12,"step9",0.08
"Lauderdale County, MS",31,2020-04-13,"step9",0.08
"Lauderdale County, MS",32,2020-04-14,"step9",0.08
"Lauderdale County, MS",33,2020-04-15,"step9",0.08
"Lauderdale County, MS",31,2020-04-13,"step10",0.1
"Lauderdale County, MS",32,2020-04-14,"step10",0.1
"Lauderdale County, MS",33,2020-04-15,"step10",0.1
"Lauderdale County, MS",33,2020-04-15,"step12",0
"Lauderdale County, MS",34,2020-04-16,"step12",0
"Lauderdale County, MS",35,2020-04-17,"step12",0
"Lauderdale County, MS",35,2020-04-17,"step13",0
"Lauderdale County, MS",36,2020-04-18,"step13",0
"Lauderdale County, MS",37,2020-04-19,"step13",0
"Lauderdale County, MS",37,2020-04-19,"step14",0
"Lauderdale County, MS",38,2020-04-20,"step14",0
"Lauderdale County, MS",39,2020-04-21,"step14",0
"Lauderdale County, MS",39,2020-04-21,"step15",0.1
"Lauderdale County, MS",40,2020-04-22,"step15",0.1
"Lauderdale County, MS",41,2020-04-23,"step15",0.1
"Lauderdale County, MS",41,2020-04-23,"step16",0.15
"Lauderdale County, MS",42,2020-04-24,"step16",0.15
"Lauderdale County, MS",43,2020-04-25,"step16",0.15
