"region","time","date","period","b1"
"Mobile County, AL",0,2020-02-25,"baseline",0.32
"Mobile County, AL",1,2020-02-26,"baseline",0.32
"Mobile County, AL",2,2020-02-27,"baseline",0.32
"Mobile County, AL",3,2020-02-28,"baseline",0.32
"Mobile County, AL",4,2020-02-29,"baseline",0.32
"Mobile County, AL",5,2020-03-01,"baseline",0.32
"Mobile County, AL",6,2020-03-02,"baseline",0.32
"Mobile County, AL",7,2020-03-03,"baseline",0.32
"Mobile County, AL",8,2020-03-04,"baseline",0.32
"Mobile County, AL",9,2020-03-05,"baseline",0.32
"Mobile County, AL",10,2020-03-06,"baseline",0.32
"Mobile County, AL",11,2020-03-07,"baseline",0.32
"Mobile County, AL",12,2020-03-08,"baseline",0.32
"Mobile County, AL",13,2020-03-09,"baseline",0.32
"Mobile County, AL",14,2020-03-10,"baseline",0.32
"Mobile County, AL",15,2020-03-11,"baseline",0.32
"Mobile County, AL",16,2020-03-12,"baseline",0.32
"Mobile County, AL",17,2020-03-13,"baseline",0.32
"Mobile County, AL",18,2020-03-14,"baseline",0.32
"Mobile County, AL",19,2020-03-15,"baseline",0.32
"Mobile County, AL",20,2020-03-16,"baseline",0.32
"Mobile County, AL",21,2020-03-17,"baseline",0.32
"Mobile County, AL",22,2020-03-18,"baseline",0.32
"Mobile County, AL",23,2020-03-19,"baseline",0.32
"Mobile County, AL",24,2020-03-20,"baseline",0.32
"Mobile County, AL",25,2020-03-21,"baseline",0.32
"Mobile County, AL",25,2020-03-21,"step1",0.03
"Mobile County, AL",26,2020-03-22,"step1",0.03
"Mobile County, AL",27,2020-03-23,"step1",0.03
"Mobile County, AL",27,2020-03-23,"step2",0.04
"Mobile County, AL",28,2020-03-24,"step2",0.04
"Mobile County, AL",29,2020-03-25,"step2",0.04
"Mobile County, AL",29,2020-03-25,"step3",0.05
"Mobile County, AL",30,2020-03-26,"step3",0.05
"Mobile County, AL",31,2020-03-27,"step3",0.05
"Mobile County, AL",31,2020-03-27,"step4",0.07
"Mobile County, AL",32,2020-03-28,"step4",0.07
