"region","time","date","period","b1"
"Montgomery County, MD",0,2020-03-06,"baseline",0.57
"Montgomery County, MD",1,2020-03-07,"baseline",0.57
"Montgomery County, MD",2,2020-03-08,"baseline",0.57
"Montgomery County, MD",3,2020-03-09,"baseline",0.57
"Montgomery County, MD",3,2020-03-09,"step1",0.5
"Montgomery County, MD",4,2020-03-10,"step1",0.5
"Montgomery County, MD",5,2020-03-11,"step1",0.5
"Montgomery County, MD",5,2020-03-11,"step2",0.58
"Montgomery County, MD",6,2020-03-12,"step2",0.58
"Montgomery County, MD",7,2020-03-13,"step2",0.58
"Montgomery County, MD",7,2020-03-13,"step3",0.54
"Montgomery County, MD",8,2020-03-14,"step3",0.54
"Montgomery County, MD",9,2020-03-15,"step3",0.54
"Montgomery County, MD",9,2020-03-15,"step4",0.5
"Montgomery County, MD",10,2020-03-16,"step4",0.5
"Montgomery County, MD",11,2020-03-17,"step4",0.5
"Montgomery County, MD",11,2020-03-17,"step5",0.46
"Montgomery County, MD",12,2020-03-18,"step5",0.46
"Montgomery County, MD",13,2020-03-19,"step5",0.46
"Montgomery County, MD",13,2020-03-19,"step6",0.41
"Montgomery County, MD",14,2020-03-20,"step6",0.41
"Montgomery County, MD",15,2020-03-21,"step6",0.41
"Montgomery County, MD",15,2020-03-21,"step7",0.36
"Montgomery County, MD",16,2020-03-22,"step7",0.36
"Montgomery County, MD",17,2020-03-23,"step7",0.36
"Montgomery County, MD",17,2020-03-23,"step8",0.32
"Montgomery County, MD",18,2020-03-24,"step8",0.32
"Montgomery County, MD",19,2020-03-25,"step8",0.32
"Montgomery County, MD",19,2020-03-25,"step9",0.28
"Montgomery County, MD",20,2020-03-26,"step9",0.28
"Montgomery County, MD",21,2020-03-27,"step9",0.28
"Montgomery County, MD",21,2020-03-27,"step10",0.25
"Montgomery County, MD",22,2020-03-28,"step10",0.25
"Montgomery County, MD",23,2020-03-29,"step10",0.25
"Montgomery County, MD",23,2020-03-29,"step11",0.22
"Montgomery County, MD",24,2020-03-30,"step11",0.22
"Montgomery County, MD",25,2020-03-31,"step11",0.22
"Montgomery County, MD",25,2020-03-31,"step12",0.2
"Montgomery County, MD",26,2020-04-01,"step12",0.2
"Montgomery County, MD",27,2020-04-02,"step12",0.2
"Montgomery County, MD",27,2020-04-02,"step13",0.18
"Montgomery County, MD",28,2020-04-03,"step13",0.18
"Montgomery County, MD",29,2020-04-04,"step13",0.18
"Montgomery County, MD",29,2020-04-04,"step14",0.16
"Montgomery County, MD",30,2020-04-05,"step14",0.16
"Montgomery County, MD",31,2020-04-06,"step14",0.16
"Montgomery County, MD",31,2020-04-06,"step15",0.16
"Montgomery County, MD",32,2020-04-07,"step15",0.16
"Montgomery County, MD",33,2020-04-08,"step15",0.16
"Montgomery County, MD",33,2020-04-08,"step16",0.16
"Montgomery County, MD",34,2020-04-09,"step16",0.16
"Montgomery County, MD",35,2020-04-10,"step16",0.16
"Montgomery County, MD",34,2020-04-09,"step17",0.155
"Montgomery County, MD",35,2020-04-10,"step17",0.155
