"region","time","date","period","b1"
"Nassau County, NY",0,2020-02-15,"baseline",0.41
"Nassau County, NY",1,2020-02-16,"baseline",0.41
"Nassau County, NY",2,2020-02-17,"baseline",0.41
"Nassau County, NY",3,2020-02-18,"baseline",0.41
"Nassau County, NY",4,2020-02-19,"baseline",0.41
"Nassau County, NY",5,2020-02-20,"baseline",0.41
"Nassau County, NY",6,2020-02-21,"baseline",0.41
"Nassau County, NY",7,2020-02-22,"baseline",0.41
"Nassau County, NY",8,2020-02-23,"baseline",0.41
"Nassau County, NY",9,2020-02-24,"baseline",0.41
"Nassau County, NY",10,2020-02-25,"baseline",0.41
"Nassau County, NY",11,2020-02-26,"baseline",0.41
"Nassau County, NY",12,2020-02-27,"baseline",0.41
"Nassau County, NY",13,2020-02-28,"baseline",0.41
"Nassau County, NY",14,2020-02-29,"baseline",0.41
"Nassau County, NY",15,2020-03-01,"baseline",0.41
"Nassau County, NY",16,2020-03-02,"baseline",0.41
"Nassau County, NY",17,2020-03-03,"baseline",0.41
"Nassau County, NY",18,2020-03-04,"baseline",0.41
"Nassau County, NY",19,2020-03-05,"baseline",0.41
"Nassau County, NY",20,2020-03-06,"baseline",0.41
"Nassau County, NY",21,2020-03-07,"baseline",0.41
"Nassau County, NY",21,2020-03-07,"step1",0.32
"Nassau County, NY",22,2020-03-08,"step1",0.32
"Nassau County, NY",23,2020-03-09,"step1",0.32
"Nassau County, NY",23,2020-03-09,"step2",0.3
"Nassau County, NY",24,2020-03-10,"step2",0.3
"Nassau County, NY",25,2020-03-11,"step2",0.3
"Nassau County, NY",25,2020-03-11,"step3",0.3
"Nassau County, NY",26,2020-03-12,"step3",0.3
"Nassau County, NY",27,2020-03-13,"step3",0.3
"Nassau County, NY",27,2020-03-13,"step4",0.32
"Nassau County, NY",28,2020-03-14,"step4",0.32
"Nassau County, NY",29,2020-03-15,"step4",0.32
"Nassau County, NY",29,2020-03-15,"step5",0.36
"Nassau County, NY",30,2020-03-16,"step5",0.36
"Nassau County, NY",31,2020-03-17,"step5",0.36
"Nassau County, NY",31,2020-03-17,"step6",0.39
"Nassau County, NY",32,2020-03-18,"step6",0.39
"Nassau County, NY",33,2020-03-19,"step6",0.39
"Nassau County, NY",33,2020-03-19,"step7",0.4
"Nassau County, NY",34,2020-03-20,"step7",0.4
"Nassau County, NY",35,2020-03-21,"step7",0.4
"Nassau County, NY",35,2020-03-21,"step8",0.39
"Nassau County, NY",36,2020-03-22,"step8",0.39
"Nassau County, NY",37,2020-03-23,"step8",0.39
"Nassau County, NY",37,2020-03-23,"step9",0.35
"Nassau County, NY",38,2020-03-24,"step9",0.35
"Nassau County, NY",39,2020-03-25,"step9",0.35
"Nassau County, NY",39,2020-03-25,"step10",0.29
"Nassau County, NY",40,2020-03-26,"step10",0.29
"Nassau County, NY",41,2020-03-27,"step10",0.29
"Nassau County, NY",41,2020-03-27,"step11",0.23
"Nassau County, NY",42,2020-03-28,"step11",0.23
"Nassau County, NY",43,2020-03-29,"step11",0.23
"Nassau County, NY",43,2020-03-29,"step12",0.18
"Nassau County, NY",44,2020-03-30,"step12",0.18
"Nassau County, NY",45,2020-03-31,"step12",0.18
"Nassau County, NY",45,2020-03-31,"step13",0.13
"Nassau County, NY",46,2020-04-01,"step13",0.13
"Nassau County, NY",47,2020-04-02,"step13",0.13
"Nassau County, NY",47,2020-04-02,"step14",0.1
"Nassau County, NY",48,2020-04-03,"step14",0.1
"Nassau County, NY",49,2020-04-04,"step14",0.1
"Nassau County, NY",49,2020-04-04,"step15",0.08
"Nassau County, NY",50,2020-04-05,"step15",0.08
"Nassau County, NY",51,2020-04-06,"step15",0.08
"Nassau County, NY",51,2020-04-06,"step16",0.05
"Nassau County, NY",52,2020-04-07,"step16",0.05
"Nassau County, NY",53,2020-04-08,"step16",0.05
"Nassau County, NY",53,2020-04-08,"step17",0.04
"Nassau County, NY",54,2020-04-09,"step17",0.04
"Nassau County, NY",55,2020-04-10,"step17",0.04
"Nassau County, NY",54,2020-04-09,"step18",0.025
"Nassau County, NY",55,2020-04-10,"step18",0.025
"Nassau County, NY",56,2020-04-11,"step18",0.025
"Nassau County, NY",57,2020-04-12,"step18",0.025
"Nassau County, NY",56,2020-04-11,"step19",0.02
"Nassau County, NY",57,2020-04-12,"step19",0.02
"Nassau County, NY",58,2020-04-13,"step19",0.02
"Nassau County, NY",59,2020-04-14,"step19",0.02
"Nassau County, NY",58,2020-04-13,"step20",0.02
"Nassau County, NY",59,2020-04-14,"step20",0.02
"Nassau County, NY",60,2020-04-15,"step20",0.02
"Nassau County, NY",60,2020-04-15,"step22",0
"Nassau County, NY",61,2020-04-16,"step22",0
"Nassau County, NY",62,2020-04-17,"step22",0
"Nassau County, NY",62,2020-04-17,"step23",0
"Nassau County, NY",63,2020-04-18,"step23",0
"Nassau County, NY",64,2020-04-19,"step23",0
"Nassau County, NY",64,2020-04-19,"step24",0
"Nassau County, NY",65,2020-04-20,"step24",0
"Nassau County, NY",66,2020-04-21,"step24",0
"Nassau County, NY",66,2020-04-21,"step25",0.17
"Nassau County, NY",67,2020-04-22,"step25",0.17
"Nassau County, NY",68,2020-04-23,"step25",0.17
"Nassau County, NY",68,2020-04-23,"step26",0.2
"Nassau County, NY",69,2020-04-24,"step26",0.2
"Nassau County, NY",70,2020-04-25,"step26",0.2
"Nassau County, NY",70,2020-04-25,"step27",0.2
"Nassau County, NY",71,2020-04-26,"step27",0.2
"Nassau County, NY",72,2020-04-27,"step27",0.2
"Nassau County, NY",72,2020-04-27,"step28",0.19
"Nassau County, NY",73,2020-04-28,"step28",0.19
"Nassau County, NY",74,2020-04-29,"step28",0.19
"Nassau County, NY",74,2020-04-29,"step29",0.17
"Nassau County, NY",75,2020-04-30,"step29",0.17
"Nassau County, NY",76,2020-05-01,"step29",0.17
"Nassau County, NY",76,2020-05-01,"step30",0.15
"Nassau County, NY",77,2020-05-02,"step30",0.15
"Nassau County, NY",78,2020-05-03,"step30",0.15
"Nassau County, NY",78,2020-05-03,"step31",0.13
"Nassau County, NY",79,2020-05-04,"step31",0.13
"Nassau County, NY",80,2020-05-05,"step31",0.13
"Nassau County, NY",80,2020-05-05,"step33",0.04
"Nassau County, NY",81,2020-05-06,"step33",0.04
"Nassau County, NY",82,2020-05-07,"step33",0.04
"Nassau County, NY",82,2020-05-07,"step35",0.04
"Nassau County, NY",83,2020-05-08,"step35",0.04
"Nassau County, NY",83,2020-05-08,"step37",0.04
"Nassau County, NY",84,2020-05-09,"step37",0.04
"Nassau County, NY",85,2020-05-10,"step37",0.04
"Nassau County, NY",85,2020-05-10,"step39",0.03
"Nassau County, NY",86,2020-05-11,"step39",0.03
"Nassau County, NY",87,2020-05-12,"step39",0.03
"Nassau County, NY",87,2020-05-12,"step42",0.02
"Nassau County, NY",87,2020-05-12,"step43",0.02
"Nassau County, NY",88,2020-05-13,"step43",0.02
"Nassau County, NY",89,2020-05-14,"step43",0.02
"Nassau County, NY",89,2020-05-14,"step44",0.02
"Nassau County, NY",90,2020-05-15,"step44",0.02
"Nassau County, NY",91,2020-05-16,"step44",0.02
"Nassau County, NY",91,2020-05-16,"step45",0.03
"Nassau County, NY",92,2020-05-17,"step45",0.03
"Nassau County, NY",93,2020-05-18,"step45",0.03
"Nassau County, NY",93,2020-05-18,"step46",0.05
"Nassau County, NY",94,2020-05-19,"step46",0.05
"Nassau County, NY",95,2020-05-20,"step46",0.05
"Nassau County, NY",95,2020-05-20,"step47",0.1
"Nassau County, NY",96,2020-05-21,"step47",0.1
"Nassau County, NY",97,2020-05-22,"step47",0.1
"Nassau County, NY",97,2020-05-22,"step48",0.1
"Nassau County, NY",98,2020-05-23,"step48",0.1
"Nassau County, NY",99,2020-05-24,"step48",0.1
"Nassau County, NY",99,2020-05-24,"step49",0.11
"Nassau County, NY",100,2020-05-25,"step49",0.11
"Nassau County, NY",101,2020-05-26,"step49",0.11
"Nassau County, NY",101,2020-05-26,"step50",0.13
"Nassau County, NY",102,2020-05-27,"step50",0.13
"Nassau County, NY",103,2020-05-28,"step50",0.13
"Nassau County, NY",103,2020-05-28,"step51",0.16
"Nassau County, NY",104,2020-05-29,"step51",0.16
"Nassau County, NY",105,2020-05-30,"step51",0.16
"Nassau County, NY",105,2020-05-30,"step52",0.21
"Nassau County, NY",106,2020-05-31,"step52",0.21
"Nassau County, NY",107,2020-06-01,"step52",0.21
"Nassau County, NY",107,2020-06-01,"step53",0.35
"Nassau County, NY",108,2020-06-02,"step53",0.35
"Nassau County, NY",109,2020-06-03,"step53",0.35
