"region","time","date","period","b1"
"Nebraska",0,2020-02-18,"baseline",0.33
"Nebraska",1,2020-02-19,"baseline",0.33
"Nebraska",2,2020-02-20,"baseline",0.33
"Nebraska",3,2020-02-21,"baseline",0.33
"Nebraska",4,2020-02-22,"baseline",0.33
"Nebraska",5,2020-02-23,"baseline",0.33
"Nebraska",6,2020-02-24,"baseline",0.33
"Nebraska",7,2020-02-25,"baseline",0.33
"Nebraska",8,2020-02-26,"baseline",0.33
"Nebraska",9,2020-02-27,"baseline",0.33
"Nebraska",10,2020-02-28,"baseline",0.33
"Nebraska",11,2020-02-29,"baseline",0.33
"Nebraska",12,2020-03-01,"baseline",0.33
"Nebraska",13,2020-03-02,"baseline",0.33
"Nebraska",14,2020-03-03,"baseline",0.33
"Nebraska",15,2020-03-04,"baseline",0.33
"Nebraska",16,2020-03-05,"baseline",0.33
"Nebraska",17,2020-03-06,"baseline",0.33
"Nebraska",18,2020-03-07,"baseline",0.33
"Nebraska",19,2020-03-08,"baseline",0.33
"Nebraska",19,2020-03-08,"step1",0
"Nebraska",20,2020-03-09,"step1",0
"Nebraska",21,2020-03-10,"step1",0
"Nebraska",21,2020-03-10,"step2",0
"Nebraska",22,2020-03-11,"step2",0
"Nebraska",23,2020-03-12,"step2",0
"Nebraska",23,2020-03-12,"step3",0.24
"Nebraska",24,2020-03-13,"step3",0.24
"Nebraska",25,2020-03-14,"step3",0.24
"Nebraska",25,2020-03-14,"step4",0.42
"Nebraska",26,2020-03-15,"step4",0.42
"Nebraska",27,2020-03-16,"step4",0.42
"Nebraska",27,2020-03-16,"step5",0.48
"Nebraska",28,2020-03-17,"step5",0.48
"Nebraska",29,2020-03-18,"step5",0.48
"Nebraska",29,2020-03-18,"step6",0.51
"Nebraska",30,2020-03-19,"step6",0.51
"Nebraska",31,2020-03-20,"step6",0.51
"Nebraska",31,2020-03-20,"step7",0.44
"Nebraska",32,2020-03-21,"step7",0.44
"Nebraska",33,2020-03-22,"step7",0.44
"Nebraska",33,2020-03-22,"step8",0.37
"Nebraska",34,2020-03-23,"step8",0.37
"Nebraska",35,2020-03-24,"step8",0.37
"Nebraska",35,2020-03-24,"step9",0.3
"Nebraska",36,2020-03-25,"step9",0.3
"Nebraska",37,2020-03-26,"step9",0.3
"Nebraska",37,2020-03-26,"step10",0.24
"Nebraska",38,2020-03-27,"step10",0.24
"Nebraska",39,2020-03-28,"step10",0.24
"Nebraska",39,2020-03-28,"step11",0.12
"Nebraska",40,2020-03-29,"step11",0.12
"Nebraska",41,2020-03-30,"step11",0.12
"Nebraska",41,2020-03-30,"step12",0
"Nebraska",42,2020-03-31,"step12",0
"Nebraska",43,2020-04-01,"step12",0
"Nebraska",43,2020-04-01,"step13",0
"Nebraska",44,2020-04-02,"step13",0
"Nebraska",45,2020-04-03,"step13",0
"Nebraska",45,2020-04-03,"step14",0
"Nebraska",46,2020-04-04,"step14",0
"Nebraska",47,2020-04-05,"step14",0
"Nebraska",47,2020-04-05,"step15",0
"Nebraska",48,2020-04-06,"step15",0
"Nebraska",49,2020-04-07,"step15",0
"Nebraska",49,2020-04-07,"step16",0.39
