"region","time","date","period","b1"
"North Carolina",0,2020-02-28,"baseline",0.87
"North Carolina",1,2020-02-29,"baseline",0.87
"North Carolina",2,2020-03-01,"baseline",0.87
"North Carolina",3,2020-03-02,"baseline",0.87
"North Carolina",4,2020-03-03,"baseline",0.87
"North Carolina",5,2020-03-04,"baseline",0.87
"North Carolina",6,2020-03-05,"baseline",0.87
"North Carolina",6,2020-03-05,"step1",0
"North Carolina",7,2020-03-06,"step1",0
"North Carolina",8,2020-03-07,"step1",0
"North Carolina",8,2020-03-07,"step2",0.27
"North Carolina",9,2020-03-08,"step2",0.27
"North Carolina",10,2020-03-09,"step2",0.27
"North Carolina",10,2020-03-09,"step3",0.62
"North Carolina",11,2020-03-10,"step3",0.62
"North Carolina",12,2020-03-11,"step3",0.62
"North Carolina",12,2020-03-11,"step4",0.77
"North Carolina",13,2020-03-12,"step4",0.77
"North Carolina",14,2020-03-13,"step4",0.77
"North Carolina",14,2020-03-13,"step5",0.83
"North Carolina",15,2020-03-14,"step5",0.83
"North Carolina",16,2020-03-15,"step5",0.83
"North Carolina",16,2020-03-15,"step6",0.74
"North Carolina",17,2020-03-16,"step6",0.74
"North Carolina",18,2020-03-17,"step6",0.74
"North Carolina",18,2020-03-17,"step7",0.64
"North Carolina",19,2020-03-18,"step7",0.64
"North Carolina",20,2020-03-19,"step7",0.64
"North Carolina",20,2020-03-19,"step8",0.56
"North Carolina",21,2020-03-20,"step8",0.56
"North Carolina",22,2020-03-21,"step8",0.56
"North Carolina",22,2020-03-21,"step9",0.48
"North Carolina",23,2020-03-22,"step9",0.48
"North Carolina",24,2020-03-23,"step9",0.48
"North Carolina",24,2020-03-23,"step10",0.42
"North Carolina",25,2020-03-24,"step10",0.42
"North Carolina",26,2020-03-25,"step10",0.42
"North Carolina",26,2020-03-25,"step11",0.36
"North Carolina",27,2020-03-26,"step11",0.36
"North Carolina",28,2020-03-27,"step11",0.36
"North Carolina",28,2020-03-27,"step12",0.32
"North Carolina",29,2020-03-28,"step12",0.32
"North Carolina",30,2020-03-29,"step12",0.32
"North Carolina",30,2020-03-29,"step13",0.28
"North Carolina",31,2020-03-30,"step13",0.28
"North Carolina",32,2020-03-31,"step13",0.28
"North Carolina",32,2020-03-31,"step14",0.25
"North Carolina",33,2020-04-01,"step14",0.25
"North Carolina",34,2020-04-02,"step14",0.25
"North Carolina",34,2020-04-02,"step15",0.22
"North Carolina",35,2020-04-03,"step15",0.22
