"region","time","date","period","b1"
"Oklahoma",0,2020-02-20,"baseline",0.53
"Oklahoma",1,2020-02-21,"baseline",0.53
"Oklahoma",2,2020-02-22,"baseline",0.53
"Oklahoma",3,2020-02-23,"baseline",0.53
"Oklahoma",4,2020-02-24,"baseline",0.53
"Oklahoma",5,2020-02-25,"baseline",0.53
"Oklahoma",6,2020-02-26,"baseline",0.53
"Oklahoma",7,2020-02-27,"baseline",0.53
"Oklahoma",8,2020-02-28,"baseline",0.53
"Oklahoma",9,2020-02-29,"baseline",0.53
"Oklahoma",10,2020-03-01,"baseline",0.53
"Oklahoma",11,2020-03-02,"baseline",0.53
"Oklahoma",12,2020-03-03,"baseline",0.53
"Oklahoma",13,2020-03-04,"baseline",0.53
"Oklahoma",14,2020-03-05,"baseline",0.53
"Oklahoma",15,2020-03-06,"baseline",0.53
"Oklahoma",16,2020-03-07,"baseline",0.53
"Oklahoma",17,2020-03-08,"baseline",0.53
"Oklahoma",18,2020-03-09,"baseline",0.53
"Oklahoma",18,2020-03-09,"step1",0.58
"Oklahoma",19,2020-03-10,"step1",0.58
"Oklahoma",20,2020-03-11,"step1",0.58
"Oklahoma",20,2020-03-11,"step2",0.52
"Oklahoma",21,2020-03-12,"step2",0.52
"Oklahoma",22,2020-03-13,"step2",0.52
"Oklahoma",22,2020-03-13,"step3",0.46
"Oklahoma",23,2020-03-14,"step3",0.46
"Oklahoma",24,2020-03-15,"step3",0.46
"Oklahoma",24,2020-03-15,"step4",0.4
"Oklahoma",25,2020-03-16,"step4",0.4
"Oklahoma",26,2020-03-17,"step4",0.4
"Oklahoma",26,2020-03-17,"step5",0.35
"Oklahoma",27,2020-03-18,"step5",0.35
"Oklahoma",28,2020-03-19,"step5",0.35
"Oklahoma",28,2020-03-19,"step6",0.31
"Oklahoma",29,2020-03-20,"step6",0.31
"Oklahoma",30,2020-03-21,"step6",0.31
"Oklahoma",30,2020-03-21,"step7",0.27
"Oklahoma",31,2020-03-22,"step7",0.27
"Oklahoma",32,2020-03-23,"step7",0.27
"Oklahoma",32,2020-03-23,"step8",0.23
"Oklahoma",33,2020-03-24,"step8",0.23
"Oklahoma",34,2020-03-25,"step8",0.23
"Oklahoma",34,2020-03-25,"step9",0.19
"Oklahoma",35,2020-03-26,"step9",0.19
"Oklahoma",36,2020-03-27,"step9",0.19
"Oklahoma",36,2020-03-27,"step10",0.16
"Oklahoma",37,2020-03-28,"step10",0.16
"Oklahoma",38,2020-03-29,"step10",0.16
"Oklahoma",38,2020-03-29,"step11",0.13
"Oklahoma",39,2020-03-30,"step11",0.13
"Oklahoma",40,2020-03-31,"step11",0.13
"Oklahoma",40,2020-03-31,"step12",0.1
"Oklahoma",41,2020-04-01,"step12",0.1
"Oklahoma",42,2020-04-02,"step12",0.1
"Oklahoma",42,2020-04-02,"step13",0.09
"Oklahoma",43,2020-04-03,"step13",0.09
"Oklahoma",44,2020-04-04,"step13",0.09
"Oklahoma",44,2020-04-04,"step14",0.07
"Oklahoma",45,2020-04-05,"step14",0.07
"Oklahoma",46,2020-04-06,"step14",0.07
"Oklahoma",46,2020-04-06,"step15",0.07
"Oklahoma",47,2020-04-07,"step15",0.07
"Oklahoma",48,2020-04-08,"step15",0.07
"Oklahoma",48,2020-04-08,"step16",0.07
"Oklahoma",49,2020-04-09,"step16",0.07
"Oklahoma",50,2020-04-10,"step16",0.07
"Oklahoma",50,2020-04-10,"step17",0.07
"Oklahoma",51,2020-04-11,"step17",0.07
"Oklahoma",52,2020-04-12,"step17",0.07
"Oklahoma",52,2020-04-12,"step18",0.07
"Oklahoma",53,2020-04-13,"step18",0.07
"Oklahoma",54,2020-04-14,"step18",0.07
"Oklahoma",54,2020-04-14,"step19",0.08
"Oklahoma",55,2020-04-15,"step19",0.08
"Oklahoma",56,2020-04-16,"step19",0.08
"Oklahoma",56,2020-04-16,"step20",0.09
"Oklahoma",57,2020-04-17,"step20",0.09
"Oklahoma",58,2020-04-18,"step20",0.09
"Oklahoma",58,2020-04-18,"step21",0.1
"Oklahoma",59,2020-04-19,"step21",0.1
"Oklahoma",60,2020-04-20,"step21",0.1
"Oklahoma",60,2020-04-20,"step22",0.11
"Oklahoma",61,2020-04-21,"step22",0.11
"Oklahoma",62,2020-04-22,"step22",0.11
"Oklahoma",62,2020-04-22,"step23",0.11
"Oklahoma",63,2020-04-23,"step23",0.11
"Oklahoma",64,2020-04-24,"step23",0.11
"Oklahoma",64,2020-04-24,"step24",0.11
"Oklahoma",65,2020-04-25,"step24",0.11
"Oklahoma",66,2020-04-26,"step24",0.11
"Oklahoma",66,2020-04-26,"step25",0.12
"Oklahoma",67,2020-04-27,"step25",0.12
"Oklahoma",68,2020-04-28,"step25",0.12
"Oklahoma",68,2020-04-28,"step26",0.12
"Oklahoma",69,2020-04-29,"step26",0.12
"Oklahoma",70,2020-04-30,"step26",0.12
"Oklahoma",70,2020-04-30,"step27",0.12
