"region","time","date","period","b1"
"Putnam County, NY",0,2020-01-27,"baseline",0
"Putnam County, NY",1,2020-01-28,"baseline",0
"Putnam County, NY",2,2020-01-29,"baseline",0
"Putnam County, NY",3,2020-01-30,"baseline",0
"Putnam County, NY",4,2020-01-31,"baseline",0
"Putnam County, NY",5,2020-02-01,"baseline",0
"Putnam County, NY",6,2020-02-02,"baseline",0
"Putnam County, NY",7,2020-02-03,"baseline",0
"Putnam County, NY",8,2020-02-04,"baseline",0
"Putnam County, NY",9,2020-02-05,"baseline",0
"Putnam County, NY",10,2020-02-06,"baseline",0
"Putnam County, NY",11,2020-02-07,"baseline",0
"Putnam County, NY",12,2020-02-08,"baseline",0
"Putnam County, NY",13,2020-02-09,"baseline",0
"Putnam County, NY",14,2020-02-10,"baseline",0
"Putnam County, NY",15,2020-02-11,"baseline",0
"Putnam County, NY",16,2020-02-12,"baseline",0
"Putnam County, NY",17,2020-02-13,"baseline",0
"Putnam County, NY",18,2020-02-14,"baseline",0
"Putnam County, NY",19,2020-02-15,"baseline",0
"Putnam County, NY",20,2020-02-16,"baseline",0
"Putnam County, NY",21,2020-02-17,"baseline",0
"Putnam County, NY",22,2020-02-18,"baseline",0
"Putnam County, NY",23,2020-02-19,"baseline",0
"Putnam County, NY",24,2020-02-20,"baseline",0
"Putnam County, NY",25,2020-02-21,"baseline",0
"Putnam County, NY",26,2020-02-22,"baseline",0
"Putnam County, NY",27,2020-02-23,"baseline",0
"Putnam County, NY",28,2020-02-24,"baseline",0
"Putnam County, NY",29,2020-02-25,"baseline",0
"Putnam County, NY",30,2020-02-26,"baseline",0
"Putnam County, NY",31,2020-02-27,"baseline",0
"Putnam County, NY",32,2020-02-28,"baseline",0
"Putnam County, NY",33,2020-02-29,"baseline",0
"Putnam County, NY",34,2020-03-01,"baseline",0
"Putnam County, NY",35,2020-03-02,"baseline",0
"Putnam County, NY",36,2020-03-03,"baseline",0
"Putnam County, NY",37,2020-03-04,"baseline",0
"Putnam County, NY",38,2020-03-05,"baseline",0
"Putnam County, NY",39,2020-03-06,"baseline",0
"Putnam County, NY",40,2020-03-07,"baseline",0
"Putnam County, NY",41,2020-03-08,"baseline",0
"Putnam County, NY",42,2020-03-09,"baseline",0
"Putnam County, NY",43,2020-03-10,"baseline",0
"Putnam County, NY",44,2020-03-11,"baseline",0
"Putnam County, NY",45,2020-03-12,"baseline",0
"Putnam County, NY",46,2020-03-13,"baseline",0
"Putnam County, NY",47,2020-03-14,"baseline",0
"Putnam County, NY",48,2020-03-15,"baseline",0
"Putnam County, NY",49,2020-03-16,"baseline",0
"Putnam County, NY",50,2020-03-17,"baseline",0
"Putnam County, NY",50,2020-03-17,"step1",1.33
"Putnam County, NY",51,2020-03-18,"step1",1.33
"Putnam County, NY",52,2020-03-19,"step1",1.33
"Putnam County, NY",52,2020-03-19,"step2",1.33
"Putnam County, NY",53,2020-03-20,"step2",1.33
"Putnam County, NY",54,2020-03-21,"step2",1.33
"Putnam County, NY",54,2020-03-21,"step3",1.33
"Putnam County, NY",55,2020-03-22,"step3",1.33
"Putnam County, NY",56,2020-03-23,"step3",1.33
"Putnam County, NY",56,2020-03-23,"step4",1.33
"Putnam County, NY",57,2020-03-24,"step4",1.33
"Putnam County, NY",58,2020-03-25,"step4",1.33
"Putnam County, NY",58,2020-03-25,"step5",1.24
"Putnam County, NY",59,2020-03-26,"step5",1.24
"Putnam County, NY",60,2020-03-27,"step5",1.24
"Putnam County, NY",60,2020-03-27,"step6",1.04
"Putnam County, NY",61,2020-03-28,"step6",1.04
"Putnam County, NY",62,2020-03-29,"step6",1.04
"Putnam County, NY",62,2020-03-29,"step7",0.85
"Putnam County, NY",63,2020-03-30,"step7",0.85
"Putnam County, NY",64,2020-03-31,"step7",0.85
"Putnam County, NY",64,2020-03-31,"step8",0.7
"Putnam County, NY",65,2020-04-01,"step8",0.7
"Putnam County, NY",66,2020-04-02,"step8",0.7
"Putnam County, NY",66,2020-04-02,"step9",0.57
"Putnam County, NY",67,2020-04-03,"step9",0.57
"Putnam County, NY",68,2020-04-04,"step9",0.57
"Putnam County, NY",68,2020-04-04,"step10",0.46
"Putnam County, NY",69,2020-04-05,"step10",0.46
"Putnam County, NY",70,2020-04-06,"step10",0.46
"Putnam County, NY",70,2020-04-06,"step11",0.36
"Putnam County, NY",71,2020-04-07,"step11",0.36
"Putnam County, NY",72,2020-04-08,"step11",0.36
"Putnam County, NY",72,2020-04-08,"step12",0.27
"Putnam County, NY",73,2020-04-09,"step12",0.27
"Putnam County, NY",74,2020-04-10,"step12",0.27
"Putnam County, NY",73,2020-04-09,"step13",0.21
"Putnam County, NY",74,2020-04-10,"step13",0.21
"Putnam County, NY",75,2020-04-11,"step13",0.21
"Putnam County, NY",76,2020-04-12,"step13",0.21
"Putnam County, NY",75,2020-04-11,"step14",0.145
"Putnam County, NY",76,2020-04-12,"step14",0.145
"Putnam County, NY",77,2020-04-13,"step14",0.145
"Putnam County, NY",78,2020-04-14,"step14",0.145
"Putnam County, NY",77,2020-04-13,"step15",0.085
"Putnam County, NY",78,2020-04-14,"step15",0.085
"Putnam County, NY",79,2020-04-15,"step15",0.085
"Putnam County, NY",79,2020-04-15,"step17",0
"Putnam County, NY",80,2020-04-16,"step17",0
"Putnam County, NY",81,2020-04-17,"step17",0
"Putnam County, NY",81,2020-04-17,"step18",0
"Putnam County, NY",82,2020-04-18,"step18",0
"Putnam County, NY",83,2020-04-19,"step18",0
"Putnam County, NY",83,2020-04-19,"step19",0
"Putnam County, NY",84,2020-04-20,"step19",0
"Putnam County, NY",85,2020-04-21,"step19",0
"Putnam County, NY",85,2020-04-21,"step20",0
"Putnam County, NY",86,2020-04-22,"step20",0
"Putnam County, NY",87,2020-04-23,"step20",0
"Putnam County, NY",87,2020-04-23,"step21",0
"Putnam County, NY",88,2020-04-24,"step21",0
"Putnam County, NY",89,2020-04-25,"step21",0
"Putnam County, NY",89,2020-04-25,"step22",0
"Putnam County, NY",90,2020-04-26,"step22",0
"Putnam County, NY",91,2020-04-27,"step22",0
"Putnam County, NY",91,2020-04-27,"step23",0
"Putnam County, NY",92,2020-04-28,"step23",0
"Putnam County, NY",93,2020-04-29,"step23",0
"Putnam County, NY",93,2020-04-29,"step24",0
"Putnam County, NY",94,2020-04-30,"step24",0
"Putnam County, NY",95,2020-05-01,"step24",0
"Putnam County, NY",95,2020-05-01,"step25",0
"Putnam County, NY",96,2020-05-02,"step25",0
"Putnam County, NY",97,2020-05-03,"step25",0
"Putnam County, NY",97,2020-05-03,"step26",0
"Putnam County, NY",98,2020-05-04,"step26",0
"Putnam County, NY",99,2020-05-05,"step26",0
"Putnam County, NY",99,2020-05-05,"step28",0
"Putnam County, NY",100,2020-05-06,"step28",0
"Putnam County, NY",101,2020-05-07,"step28",0
"Putnam County, NY",101,2020-05-07,"step30",0
"Putnam County, NY",102,2020-05-08,"step30",0
"Putnam County, NY",102,2020-05-08,"step32",0
"Putnam County, NY",103,2020-05-09,"step32",0
"Putnam County, NY",104,2020-05-10,"step32",0
"Putnam County, NY",104,2020-05-10,"step34",0
"Putnam County, NY",105,2020-05-11,"step34",0
"Putnam County, NY",106,2020-05-12,"step34",0
"Putnam County, NY",106,2020-05-12,"step37",0
"Putnam County, NY",106,2020-05-12,"step38",0
"Putnam County, NY",107,2020-05-13,"step38",0
"Putnam County, NY",108,2020-05-14,"step38",0
"Putnam County, NY",108,2020-05-14,"step39",0
"Putnam County, NY",109,2020-05-15,"step39",0
"Putnam County, NY",110,2020-05-16,"step39",0
"Putnam County, NY",110,2020-05-16,"step40",0
"Putnam County, NY",111,2020-05-17,"step40",0
"Putnam County, NY",112,2020-05-18,"step40",0
"Putnam County, NY",112,2020-05-18,"step41",0
"Putnam County, NY",113,2020-05-19,"step41",0
"Putnam County, NY",114,2020-05-20,"step41",0
"Putnam County, NY",114,2020-05-20,"step42",0
"Putnam County, NY",115,2020-05-21,"step42",0
"Putnam County, NY",116,2020-05-22,"step42",0
"Putnam County, NY",116,2020-05-22,"step43",0
"Putnam County, NY",117,2020-05-23,"step43",0
"Putnam County, NY",118,2020-05-24,"step43",0
"Putnam County, NY",118,2020-05-24,"step44",0
"Putnam County, NY",119,2020-05-25,"step44",0
"Putnam County, NY",120,2020-05-26,"step44",0
"Putnam County, NY",120,2020-05-26,"step45",0
"Putnam County, NY",121,2020-05-27,"step45",0
"Putnam County, NY",122,2020-05-28,"step45",0
"Putnam County, NY",122,2020-05-28,"step46",0
"Putnam County, NY",123,2020-05-29,"step46",0
"Putnam County, NY",124,2020-05-30,"step46",0
"Putnam County, NY",124,2020-05-30,"step47",0
"Putnam County, NY",125,2020-05-31,"step47",0
"Putnam County, NY",126,2020-06-01,"step47",0
"Putnam County, NY",126,2020-06-01,"step48",0
"Putnam County, NY",127,2020-06-02,"step48",0
"Putnam County, NY",128,2020-06-03,"step48",0
