"region","time","date","period","b1"
"San Bernardino County, CA",0,2020-03-06,"baseline",1.25
"San Bernardino County, CA",1,2020-03-07,"baseline",1.25
"San Bernardino County, CA",2,2020-03-08,"baseline",1.25
"San Bernardino County, CA",3,2020-03-09,"baseline",1.25
"San Bernardino County, CA",4,2020-03-10,"baseline",1.25
"San Bernardino County, CA",5,2020-03-11,"baseline",1.25
"San Bernardino County, CA",6,2020-03-12,"baseline",1.25
"San Bernardino County, CA",7,2020-03-13,"baseline",1.25
"San Bernardino County, CA",8,2020-03-14,"baseline",1.25
"San Bernardino County, CA",9,2020-03-15,"baseline",1.25
"San Bernardino County, CA",10,2020-03-16,"baseline",1.25
"San Bernardino County, CA",11,2020-03-17,"baseline",1.25
"San Bernardino County, CA",11,2020-03-17,"step1",0.23
"San Bernardino County, CA",12,2020-03-18,"step1",0.23
"San Bernardino County, CA",13,2020-03-19,"step1",0.23
"San Bernardino County, CA",13,2020-03-19,"step2",0.2
"San Bernardino County, CA",14,2020-03-20,"step2",0.2
"San Bernardino County, CA",15,2020-03-21,"step2",0.2
"San Bernardino County, CA",15,2020-03-21,"step3",0.17
"San Bernardino County, CA",16,2020-03-22,"step3",0.17
"San Bernardino County, CA",17,2020-03-23,"step3",0.17
"San Bernardino County, CA",17,2020-03-23,"step4",0.15
"San Bernardino County, CA",18,2020-03-24,"step4",0.15
"San Bernardino County, CA",19,2020-03-25,"step4",0.15
"San Bernardino County, CA",19,2020-03-25,"step5",0.14
"San Bernardino County, CA",20,2020-03-26,"step5",0.14
"San Bernardino County, CA",21,2020-03-27,"step5",0.14
"San Bernardino County, CA",21,2020-03-27,"step6",0.13
"San Bernardino County, CA",22,2020-03-28,"step6",0.13
"San Bernardino County, CA",23,2020-03-29,"step6",0.13
"San Bernardino County, CA",23,2020-03-29,"step7",0.12
"San Bernardino County, CA",24,2020-03-30,"step7",0.12
"San Bernardino County, CA",25,2020-03-31,"step7",0.12
"San Bernardino County, CA",25,2020-03-31,"step8",0.11
"San Bernardino County, CA",26,2020-04-01,"step8",0.11
"San Bernardino County, CA",27,2020-04-02,"step8",0.11
"San Bernardino County, CA",27,2020-04-02,"step9",0.11
"San Bernardino County, CA",28,2020-04-03,"step9",0.11
"San Bernardino County, CA",29,2020-04-04,"step9",0.11
"San Bernardino County, CA",29,2020-04-04,"step10",0.1
