"region","time","date","period","b1"
"Santa Clara County, CA",0,2020-01-27,"baseline",0.28
"Santa Clara County, CA",1,2020-01-28,"baseline",0.28
"Santa Clara County, CA",2,2020-01-29,"baseline",0.28
"Santa Clara County, CA",3,2020-01-30,"baseline",0.28
"Santa Clara County, CA",3,2020-01-30,"step1",0.87
"Santa Clara County, CA",4,2020-01-31,"step1",0.87
"Santa Clara County, CA",5,2020-02-01,"step1",0.87
"Santa Clara County, CA",5,2020-02-01,"step2",0.7
"Santa Clara County, CA",6,2020-02-02,"step2",0.7
"Santa Clara County, CA",7,2020-02-03,"step2",0.7
"Santa Clara County, CA",7,2020-02-03,"step3",0.53
"Santa Clara County, CA",8,2020-02-04,"step3",0.53
"Santa Clara County, CA",9,2020-02-05,"step3",0.53
"Santa Clara County, CA",9,2020-02-05,"step4",0.38
"Santa Clara County, CA",10,2020-02-06,"step4",0.38
"Santa Clara County, CA",11,2020-02-07,"step4",0.38
"Santa Clara County, CA",11,2020-02-07,"step5",0.23
"Santa Clara County, CA",12,2020-02-08,"step5",0.23
"Santa Clara County, CA",13,2020-02-09,"step5",0.23
"Santa Clara County, CA",13,2020-02-09,"step6",0.09
"Santa Clara County, CA",14,2020-02-10,"step6",0.09
"Santa Clara County, CA",15,2020-02-11,"step6",0.09
"Santa Clara County, CA",15,2020-02-11,"step7",0
"Santa Clara County, CA",16,2020-02-12,"step7",0
"Santa Clara County, CA",17,2020-02-13,"step7",0
"Santa Clara County, CA",17,2020-02-13,"step8",0
"Santa Clara County, CA",18,2020-02-14,"step8",0
"Santa Clara County, CA",19,2020-02-15,"step8",0
"Santa Clara County, CA",19,2020-02-15,"step9",0
"Santa Clara County, CA",20,2020-02-16,"step9",0
"Santa Clara County, CA",21,2020-02-17,"step9",0
"Santa Clara County, CA",21,2020-02-17,"step10",0
"Santa Clara County, CA",22,2020-02-18,"step10",0
"Santa Clara County, CA",23,2020-02-19,"step10",0
"Santa Clara County, CA",23,2020-02-19,"step11",0.03
"Santa Clara County, CA",24,2020-02-20,"step11",0.03
"Santa Clara County, CA",25,2020-02-21,"step11",0.03
"Santa Clara County, CA",25,2020-02-21,"step12",0.23
"Santa Clara County, CA",26,2020-02-22,"step12",0.23
"Santa Clara County, CA",27,2020-02-23,"step12",0.23
"Santa Clara County, CA",27,2020-02-23,"step13",0.39
"Santa Clara County, CA",28,2020-02-24,"step13",0.39
"Santa Clara County, CA",29,2020-02-25,"step13",0.39
"Santa Clara County, CA",29,2020-02-25,"step14",0.52
"Santa Clara County, CA",30,2020-02-26,"step14",0.52
"Santa Clara County, CA",31,2020-02-27,"step14",0.52
"Santa Clara County, CA",31,2020-02-27,"step15",0.52
"Santa Clara County, CA",32,2020-02-28,"step15",0.52
"Santa Clara County, CA",33,2020-02-29,"step15",0.52
"Santa Clara County, CA",33,2020-02-29,"step16",0.46
"Santa Clara County, CA",34,2020-03-01,"step16",0.46
"Santa Clara County, CA",35,2020-03-02,"step16",0.46
"Santa Clara County, CA",35,2020-03-02,"step17",0.41
"Santa Clara County, CA",36,2020-03-03,"step17",0.41
"Santa Clara County, CA",37,2020-03-04,"step17",0.41
"Santa Clara County, CA",37,2020-03-04,"step18",0.36
"Santa Clara County, CA",38,2020-03-05,"step18",0.36
"Santa Clara County, CA",39,2020-03-06,"step18",0.36
"Santa Clara County, CA",39,2020-03-06,"step19",0.32
"Santa Clara County, CA",40,2020-03-07,"step19",0.32
"Santa Clara County, CA",41,2020-03-08,"step19",0.32
"Santa Clara County, CA",41,2020-03-08,"step20",0.28
"Santa Clara County, CA",42,2020-03-09,"step20",0.28
"Santa Clara County, CA",43,2020-03-10,"step20",0.28
"Santa Clara County, CA",43,2020-03-10,"step21",0.25
"Santa Clara County, CA",44,2020-03-11,"step21",0.25
"Santa Clara County, CA",45,2020-03-12,"step21",0.25
"Santa Clara County, CA",45,2020-03-12,"step22",0.22
"Santa Clara County, CA",46,2020-03-13,"step22",0.22
"Santa Clara County, CA",47,2020-03-14,"step22",0.22
"Santa Clara County, CA",47,2020-03-14,"step23",0.19
"Santa Clara County, CA",48,2020-03-15,"step23",0.19
"Santa Clara County, CA",49,2020-03-16,"step23",0.19
"Santa Clara County, CA",49,2020-03-16,"step24",0.17
"Santa Clara County, CA",50,2020-03-17,"step24",0.17
"Santa Clara County, CA",51,2020-03-18,"step24",0.17
"Santa Clara County, CA",51,2020-03-18,"step25",0.14
"Santa Clara County, CA",52,2020-03-19,"step25",0.14
"Santa Clara County, CA",53,2020-03-20,"step25",0.14
"Santa Clara County, CA",53,2020-03-20,"step26",0.11
"Santa Clara County, CA",54,2020-03-21,"step26",0.11
"Santa Clara County, CA",55,2020-03-22,"step26",0.11
"Santa Clara County, CA",55,2020-03-22,"step27",0.09
"Santa Clara County, CA",56,2020-03-23,"step27",0.09
"Santa Clara County, CA",57,2020-03-24,"step27",0.09
"Santa Clara County, CA",57,2020-03-24,"step28",0.08
"Santa Clara County, CA",58,2020-03-25,"step28",0.08
"Santa Clara County, CA",59,2020-03-26,"step28",0.08
"Santa Clara County, CA",59,2020-03-26,"step29",0.08
"Santa Clara County, CA",60,2020-03-27,"step29",0.08
"Santa Clara County, CA",61,2020-03-28,"step29",0.08
"Santa Clara County, CA",61,2020-03-28,"step30",0.08
"Santa Clara County, CA",62,2020-03-29,"step30",0.08
"Santa Clara County, CA",63,2020-03-30,"step30",0.08
"Santa Clara County, CA",63,2020-03-30,"step31",0.09
"Santa Clara County, CA",64,2020-03-31,"step31",0.09
"Santa Clara County, CA",65,2020-04-01,"step31",0.09
"Santa Clara County, CA",65,2020-04-01,"step32",0.1
"Santa Clara County, CA",66,2020-04-02,"step32",0.1
"Santa Clara County, CA",67,2020-04-03,"step32",0.1
"Santa Clara County, CA",67,2020-04-03,"step33",0.11
"Santa Clara County, CA",68,2020-04-04,"step33",0.11
"Santa Clara County, CA",69,2020-04-05,"step33",0.11
"Santa Clara County, CA",69,2020-04-05,"step34",0.11
"Santa Clara County, CA",70,2020-04-06,"step34",0.11
"Santa Clara County, CA",71,2020-04-07,"step34",0.11
"Santa Clara County, CA",71,2020-04-07,"step35",0.11
"Santa Clara County, CA",72,2020-04-08,"step35",0.11
"Santa Clara County, CA",73,2020-04-09,"step35",0.11
"Santa Clara County, CA",73,2020-04-09,"step36",0.11
"Santa Clara County, CA",74,2020-04-10,"step36",0.11
"Santa Clara County, CA",75,2020-04-11,"step36",0.11
"Santa Clara County, CA",73,2020-04-09,"step37",0.115
"Santa Clara County, CA",74,2020-04-10,"step37",0.115
"Santa Clara County, CA",75,2020-04-11,"step37",0.115
"Santa Clara County, CA",76,2020-04-12,"step37",0.115
"Santa Clara County, CA",77,2020-04-13,"step37",0.115
"Santa Clara County, CA",75,2020-04-11,"step38",0.115
"Santa Clara County, CA",76,2020-04-12,"step38",0.115
