"region","time","date","period","b1"
"Somerset County, NJ",0,2020-03-06,"baseline",0.7
"Somerset County, NJ",1,2020-03-07,"baseline",0.7
"Somerset County, NJ",2,2020-03-08,"baseline",0.7
"Somerset County, NJ",3,2020-03-09,"baseline",0.7
"Somerset County, NJ",4,2020-03-10,"baseline",0.7
"Somerset County, NJ",5,2020-03-11,"baseline",0.7
"Somerset County, NJ",6,2020-03-12,"baseline",0.7
"Somerset County, NJ",7,2020-03-13,"baseline",0.7
"Somerset County, NJ",8,2020-03-14,"baseline",0.7
"Somerset County, NJ",8,2020-03-14,"step1",0.35
"Somerset County, NJ",9,2020-03-15,"step1",0.35
"Somerset County, NJ",10,2020-03-16,"step1",0.35
"Somerset County, NJ",10,2020-03-16,"step2",0.32
"Somerset County, NJ",11,2020-03-17,"step2",0.32
"Somerset County, NJ",12,2020-03-18,"step2",0.32
"Somerset County, NJ",12,2020-03-18,"step3",0.3
"Somerset County, NJ",13,2020-03-19,"step3",0.3
"Somerset County, NJ",14,2020-03-20,"step3",0.3
"Somerset County, NJ",14,2020-03-20,"step4",0.29
"Somerset County, NJ",15,2020-03-21,"step4",0.29
"Somerset County, NJ",16,2020-03-22,"step4",0.29
"Somerset County, NJ",16,2020-03-22,"step5",0.27
"Somerset County, NJ",17,2020-03-23,"step5",0.27
"Somerset County, NJ",18,2020-03-24,"step5",0.27
"Somerset County, NJ",18,2020-03-24,"step6",0.24
"Somerset County, NJ",19,2020-03-25,"step6",0.24
"Somerset County, NJ",20,2020-03-26,"step6",0.24
"Somerset County, NJ",20,2020-03-26,"step7",0.23
"Somerset County, NJ",21,2020-03-27,"step7",0.23
"Somerset County, NJ",22,2020-03-28,"step7",0.23
"Somerset County, NJ",22,2020-03-28,"step8",0.22
"Somerset County, NJ",23,2020-03-29,"step8",0.22
"Somerset County, NJ",24,2020-03-30,"step8",0.22
"Somerset County, NJ",24,2020-03-30,"step9",0.2
"Somerset County, NJ",25,2020-03-31,"step9",0.2
"Somerset County, NJ",26,2020-04-01,"step9",0.2
"Somerset County, NJ",26,2020-04-01,"step10",0.18
"Somerset County, NJ",27,2020-04-02,"step10",0.18
"Somerset County, NJ",28,2020-04-03,"step10",0.18
"Somerset County, NJ",28,2020-04-03,"step11",0.15
"Somerset County, NJ",29,2020-04-04,"step11",0.15
"Somerset County, NJ",30,2020-04-05,"step11",0.15
"Somerset County, NJ",30,2020-04-05,"step12",0.14
"Somerset County, NJ",31,2020-04-06,"step12",0.14
"Somerset County, NJ",32,2020-04-07,"step12",0.14
