"region","time","date","period","b1"
"Suffolk County, MA",0,2020-02-28,"baseline",0.64
"Suffolk County, MA",1,2020-02-29,"baseline",0.64
"Suffolk County, MA",2,2020-03-01,"baseline",0.64
"Suffolk County, MA",3,2020-03-02,"baseline",0.64
"Suffolk County, MA",3,2020-03-02,"step1",0.53
"Suffolk County, MA",4,2020-03-03,"step1",0.53
"Suffolk County, MA",5,2020-03-04,"step1",0.53
"Suffolk County, MA",5,2020-03-04,"step2",0.54
"Suffolk County, MA",6,2020-03-05,"step2",0.54
"Suffolk County, MA",7,2020-03-06,"step2",0.54
"Suffolk County, MA",7,2020-03-06,"step3",0.57
"Suffolk County, MA",8,2020-03-07,"step3",0.57
"Suffolk County, MA",9,2020-03-08,"step3",0.57
"Suffolk County, MA",9,2020-03-08,"step4",0.57
"Suffolk County, MA",10,2020-03-09,"step4",0.57
"Suffolk County, MA",11,2020-03-10,"step4",0.57
"Suffolk County, MA",11,2020-03-10,"step5",0.52
"Suffolk County, MA",12,2020-03-11,"step5",0.52
"Suffolk County, MA",13,2020-03-12,"step5",0.52
"Suffolk County, MA",13,2020-03-12,"step6",0.46
"Suffolk County, MA",14,2020-03-13,"step6",0.46
"Suffolk County, MA",15,2020-03-14,"step6",0.46
"Suffolk County, MA",15,2020-03-14,"step7",0.42
"Suffolk County, MA",16,2020-03-15,"step7",0.42
"Suffolk County, MA",17,2020-03-16,"step7",0.42
"Suffolk County, MA",17,2020-03-16,"step8",0.37
"Suffolk County, MA",18,2020-03-17,"step8",0.37
"Suffolk County, MA",19,2020-03-18,"step8",0.37
"Suffolk County, MA",19,2020-03-18,"step9",0.34
"Suffolk County, MA",20,2020-03-19,"step9",0.34
"Suffolk County, MA",21,2020-03-20,"step9",0.34
"Suffolk County, MA",21,2020-03-20,"step10",0.3
"Suffolk County, MA",22,2020-03-21,"step10",0.3
"Suffolk County, MA",23,2020-03-22,"step10",0.3
"Suffolk County, MA",23,2020-03-22,"step11",0.28
"Suffolk County, MA",24,2020-03-23,"step11",0.28
"Suffolk County, MA",25,2020-03-24,"step11",0.28
"Suffolk County, MA",25,2020-03-24,"step12",0.26
"Suffolk County, MA",26,2020-03-25,"step12",0.26
"Suffolk County, MA",27,2020-03-26,"step12",0.26
"Suffolk County, MA",27,2020-03-26,"step13",0.24
"Suffolk County, MA",28,2020-03-27,"step13",0.24
"Suffolk County, MA",29,2020-03-28,"step13",0.24
"Suffolk County, MA",29,2020-03-28,"step14",0.22
"Suffolk County, MA",30,2020-03-29,"step14",0.22
"Suffolk County, MA",31,2020-03-30,"step14",0.22
"Suffolk County, MA",31,2020-03-30,"step15",0.21
"Suffolk County, MA",32,2020-03-31,"step15",0.21
"Suffolk County, MA",33,2020-04-01,"step15",0.21
"Suffolk County, MA",33,2020-04-01,"step16",0.19
"Suffolk County, MA",34,2020-04-02,"step16",0.19
"Suffolk County, MA",35,2020-04-03,"step16",0.19
"Suffolk County, MA",35,2020-04-03,"step17",0.18
"Suffolk County, MA",36,2020-04-04,"step17",0.18
"Suffolk County, MA",37,2020-04-05,"step17",0.18
"Suffolk County, MA",37,2020-04-05,"step18",0.16
"Suffolk County, MA",38,2020-04-06,"step18",0.16
"Suffolk County, MA",39,2020-04-07,"step18",0.16
"Suffolk County, MA",39,2020-04-07,"step19",0.15
"Suffolk County, MA",40,2020-04-08,"step19",0.15
"Suffolk County, MA",41,2020-04-09,"step19",0.15
"Suffolk County, MA",41,2020-04-09,"step20",0.14
"Suffolk County, MA",42,2020-04-10,"step20",0.14
"Suffolk County, MA",43,2020-04-11,"step20",0.14
"Suffolk County, MA",41,2020-04-09,"step21",0.13
"Suffolk County, MA",42,2020-04-10,"step21",0.13
"Suffolk County, MA",43,2020-04-11,"step21",0.13
"Suffolk County, MA",44,2020-04-12,"step21",0.13
"Suffolk County, MA",45,2020-04-13,"step21",0.13
"Suffolk County, MA",43,2020-04-11,"step22",0.115
"Suffolk County, MA",44,2020-04-12,"step22",0.115
"Suffolk County, MA",45,2020-04-13,"step22",0.115
"Suffolk County, MA",46,2020-04-14,"step22",0.115
"Suffolk County, MA",47,2020-04-15,"step22",0.115
"Suffolk County, MA",45,2020-04-13,"step23",0.105
"Suffolk County, MA",46,2020-04-14,"step23",0.105
"Suffolk County, MA",47,2020-04-15,"step23",0.105
"Suffolk County, MA",47,2020-04-15,"step25",0
"Suffolk County, MA",48,2020-04-16,"step25",0
"Suffolk County, MA",49,2020-04-17,"step25",0
"Suffolk County, MA",49,2020-04-17,"step26",0
"Suffolk County, MA",50,2020-04-18,"step26",0
"Suffolk County, MA",51,2020-04-19,"step26",0
"Suffolk County, MA",51,2020-04-19,"step27",0
"Suffolk County, MA",52,2020-04-20,"step27",0
"Suffolk County, MA",53,2020-04-21,"step27",0
"Suffolk County, MA",53,2020-04-21,"step28",0
"Suffolk County, MA",54,2020-04-22,"step28",0
"Suffolk County, MA",55,2020-04-23,"step28",0
"Suffolk County, MA",55,2020-04-23,"step29",0
"Suffolk County, MA",56,2020-04-24,"step29",0
"Suffolk County, MA",57,2020-04-25,"step29",0
"Suffolk County, MA",57,2020-04-25,"step30",0
"Suffolk County, MA",58,2020-04-26,"step30",0
"Suffolk County, MA",59,2020-04-27,"step30",0
"Suffolk County, MA",59,2020-04-27,"step31",0
"Suffolk County, MA",60,2020-04-28,"step31",0
"Suffolk County, MA",61,2020-04-29,"step31",0
"Suffolk County, MA",61,2020-04-29,"step32",0.29
"Suffolk County, MA",62,2020-04-30,"step32",0.29
"Suffolk County, MA",63,2020-05-01,"step32",0.29
"Suffolk County, MA",63,2020-05-01,"step33",0.28
"Suffolk County, MA",64,2020-05-02,"step33",0.28
"Suffolk County, MA",65,2020-05-03,"step33",0.28
"Suffolk County, MA",65,2020-05-03,"step34",0.27
"Suffolk County, MA",66,2020-05-04,"step34",0.27
"Suffolk County, MA",67,2020-05-05,"step34",0.27
"Suffolk County, MA",67,2020-05-05,"step36",0.3
"Suffolk County, MA",68,2020-05-06,"step36",0.3
"Suffolk County, MA",69,2020-05-07,"step36",0.3
"Suffolk County, MA",69,2020-05-07,"step38",0.26
"Suffolk County, MA",70,2020-05-08,"step38",0.26
"Suffolk County, MA",70,2020-05-08,"step40",0.24
"Suffolk County, MA",71,2020-05-09,"step40",0.24
"Suffolk County, MA",72,2020-05-10,"step40",0.24
"Suffolk County, MA",72,2020-05-10,"step42",0.21
"Suffolk County, MA",73,2020-05-11,"step42",0.21
"Suffolk County, MA",74,2020-05-12,"step42",0.21
"Suffolk County, MA",74,2020-05-12,"step45",0.18
"Suffolk County, MA",74,2020-05-12,"step46",0.18
"Suffolk County, MA",75,2020-05-13,"step46",0.18
"Suffolk County, MA",76,2020-05-14,"step46",0.18
"Suffolk County, MA",76,2020-05-14,"step47",0.15
"Suffolk County, MA",77,2020-05-15,"step47",0.15
"Suffolk County, MA",78,2020-05-16,"step47",0.15
"Suffolk County, MA",78,2020-05-16,"step48",0.13
"Suffolk County, MA",79,2020-05-17,"step48",0.13
"Suffolk County, MA",80,2020-05-18,"step48",0.13
"Suffolk County, MA",80,2020-05-18,"step49",0.1
"Suffolk County, MA",81,2020-05-19,"step49",0.1
"Suffolk County, MA",82,2020-05-20,"step49",0.1
"Suffolk County, MA",82,2020-05-20,"step50",0.09
