"region","time","date","period","b1"
"Travis County, TX",0,2020-03-04,"baseline",0.42
"Travis County, TX",1,2020-03-05,"baseline",0.42
"Travis County, TX",2,2020-03-06,"baseline",0.42
"Travis County, TX",3,2020-03-07,"baseline",0.42
"Travis County, TX",4,2020-03-08,"baseline",0.42
"Travis County, TX",5,2020-03-09,"baseline",0.42
"Travis County, TX",6,2020-03-10,"baseline",0.42
"Travis County, TX",7,2020-03-11,"baseline",0.42
"Travis County, TX",8,2020-03-12,"baseline",0.42
"Travis County, TX",9,2020-03-13,"baseline",0.42
"Travis County, TX",10,2020-03-14,"baseline",0.42
"Travis County, TX",11,2020-03-15,"baseline",0.42
"Travis County, TX",11,2020-03-15,"step1",0.55
"Travis County, TX",12,2020-03-16,"step1",0.55
"Travis County, TX",13,2020-03-17,"step1",0.55
"Travis County, TX",13,2020-03-17,"step2",0.47
"Travis County, TX",14,2020-03-18,"step2",0.47
"Travis County, TX",15,2020-03-19,"step2",0.47
"Travis County, TX",15,2020-03-19,"step3",0.41
"Travis County, TX",16,2020-03-20,"step3",0.41
"Travis County, TX",17,2020-03-21,"step3",0.41
"Travis County, TX",17,2020-03-21,"step4",0.35
"Travis County, TX",18,2020-03-22,"step4",0.35
"Travis County, TX",19,2020-03-23,"step4",0.35
"Travis County, TX",19,2020-03-23,"step5",0.31
"Travis County, TX",20,2020-03-24,"step5",0.31
"Travis County, TX",21,2020-03-25,"step5",0.31
"Travis County, TX",21,2020-03-25,"step6",0.28
"Travis County, TX",22,2020-03-26,"step6",0.28
"Travis County, TX",23,2020-03-27,"step6",0.28
"Travis County, TX",23,2020-03-27,"step7",0.25
"Travis County, TX",24,2020-03-28,"step7",0.25
"Travis County, TX",25,2020-03-29,"step7",0.25
"Travis County, TX",25,2020-03-29,"step8",0.23
"Travis County, TX",26,2020-03-30,"step8",0.23
"Travis County, TX",27,2020-03-31,"step8",0.23
"Travis County, TX",27,2020-03-31,"step9",0.21
"Travis County, TX",28,2020-04-01,"step9",0.21
"Travis County, TX",29,2020-04-02,"step9",0.21
"Travis County, TX",29,2020-04-02,"step10",0.18
"Travis County, TX",30,2020-04-03,"step10",0.18
"Travis County, TX",31,2020-04-04,"step10",0.18
"Travis County, TX",31,2020-04-04,"step11",0.17
