"region","time","date","period","b1"
"Tulsa County, OK",0,2020-02-28,"baseline",0.5
"Tulsa County, OK",1,2020-02-29,"baseline",0.5
"Tulsa County, OK",2,2020-03-01,"baseline",0.5
"Tulsa County, OK",3,2020-03-02,"baseline",0.5
"Tulsa County, OK",4,2020-03-03,"baseline",0.5
"Tulsa County, OK",5,2020-03-04,"baseline",0.5
"Tulsa County, OK",6,2020-03-05,"baseline",0.5
"Tulsa County, OK",7,2020-03-06,"baseline",0.5
"Tulsa County, OK",8,2020-03-07,"baseline",0.5
"Tulsa County, OK",9,2020-03-08,"baseline",0.5
"Tulsa County, OK",10,2020-03-09,"baseline",0.5
"Tulsa County, OK",10,2020-03-09,"step1",0.39
"Tulsa County, OK",11,2020-03-10,"step1",0.39
"Tulsa County, OK",12,2020-03-11,"step1",0.39
"Tulsa County, OK",12,2020-03-11,"step2",0.44
"Tulsa County, OK",13,2020-03-12,"step2",0.44
"Tulsa County, OK",14,2020-03-13,"step2",0.44
"Tulsa County, OK",14,2020-03-13,"step3",0.46
"Tulsa County, OK",15,2020-03-14,"step3",0.46
"Tulsa County, OK",16,2020-03-15,"step3",0.46
"Tulsa County, OK",16,2020-03-15,"step4",0.41
"Tulsa County, OK",17,2020-03-16,"step4",0.41
"Tulsa County, OK",18,2020-03-17,"step4",0.41
"Tulsa County, OK",18,2020-03-17,"step5",0.36
"Tulsa County, OK",19,2020-03-18,"step5",0.36
"Tulsa County, OK",20,2020-03-19,"step5",0.36
"Tulsa County, OK",20,2020-03-19,"step6",0.32
"Tulsa County, OK",21,2020-03-20,"step6",0.32
"Tulsa County, OK",22,2020-03-21,"step6",0.32
"Tulsa County, OK",22,2020-03-21,"step7",0.28
"Tulsa County, OK",23,2020-03-22,"step7",0.28
"Tulsa County, OK",24,2020-03-23,"step7",0.28
"Tulsa County, OK",24,2020-03-23,"step8",0.24
"Tulsa County, OK",25,2020-03-24,"step8",0.24
"Tulsa County, OK",26,2020-03-25,"step8",0.24
"Tulsa County, OK",26,2020-03-25,"step9",0.2
"Tulsa County, OK",27,2020-03-26,"step9",0.2
"Tulsa County, OK",28,2020-03-27,"step9",0.2
"Tulsa County, OK",28,2020-03-27,"step10",0.16
"Tulsa County, OK",29,2020-03-28,"step10",0.16
"Tulsa County, OK",30,2020-03-29,"step10",0.16
"Tulsa County, OK",30,2020-03-29,"step11",0.13
"Tulsa County, OK",31,2020-03-30,"step11",0.13
"Tulsa County, OK",32,2020-03-31,"step11",0.13
"Tulsa County, OK",32,2020-03-31,"step12",0.11
"Tulsa County, OK",33,2020-04-01,"step12",0.11
"Tulsa County, OK",34,2020-04-02,"step12",0.11
"Tulsa County, OK",34,2020-04-02,"step13",0.09
"Tulsa County, OK",35,2020-04-03,"step13",0.09
"Tulsa County, OK",36,2020-04-04,"step13",0.09
"Tulsa County, OK",36,2020-04-04,"step14",0.07
"Tulsa County, OK",37,2020-04-05,"step14",0.07
"Tulsa County, OK",38,2020-04-06,"step14",0.07
"Tulsa County, OK",38,2020-04-06,"step15",0.07
"Tulsa County, OK",39,2020-04-07,"step15",0.07
"Tulsa County, OK",40,2020-04-08,"step15",0.07
"Tulsa County, OK",40,2020-04-08,"step16",0.07
"Tulsa County, OK",41,2020-04-09,"step16",0.07
"Tulsa County, OK",42,2020-04-10,"step16",0.07
"Tulsa County, OK",41,2020-04-09,"step17",0.07
"Tulsa County, OK",42,2020-04-10,"step17",0.07
"Tulsa County, OK",43,2020-04-11,"step17",0.07
"Tulsa County, OK",44,2020-04-12,"step17",0.07
"Tulsa County, OK",43,2020-04-11,"step18",0.07
"Tulsa County, OK",44,2020-04-12,"step18",0.07
"Tulsa County, OK",45,2020-04-13,"step18",0.07
"Tulsa County, OK",46,2020-04-14,"step18",0.07
"Tulsa County, OK",45,2020-04-13,"step19",0.07
"Tulsa County, OK",46,2020-04-14,"step19",0.07
"Tulsa County, OK",47,2020-04-15,"step19",0.07
"Tulsa County, OK",47,2020-04-15,"step21",0
"Tulsa County, OK",48,2020-04-16,"step21",0
"Tulsa County, OK",49,2020-04-17,"step21",0
"Tulsa County, OK",49,2020-04-17,"step22",0
"Tulsa County, OK",50,2020-04-18,"step22",0
"Tulsa County, OK",51,2020-04-19,"step22",0
"Tulsa County, OK",51,2020-04-19,"step23",0
"Tulsa County, OK",52,2020-04-20,"step23",0
"Tulsa County, OK",53,2020-04-21,"step23",0
"Tulsa County, OK",53,2020-04-21,"step24",0
"Tulsa County, OK",54,2020-04-22,"step24",0
"Tulsa County, OK",55,2020-04-23,"step24",0
"Tulsa County, OK",55,2020-04-23,"step25",0
"Tulsa County, OK",56,2020-04-24,"step25",0
"Tulsa County, OK",57,2020-04-25,"step25",0
"Tulsa County, OK",57,2020-04-25,"step26",0
"Tulsa County, OK",58,2020-04-26,"step26",0
"Tulsa County, OK",59,2020-04-27,"step26",0
"Tulsa County, OK",59,2020-04-27,"step27",0
"Tulsa County, OK",60,2020-04-28,"step27",0
"Tulsa County, OK",61,2020-04-29,"step27",0
"Tulsa County, OK",61,2020-04-29,"step28",0
"Tulsa County, OK",62,2020-04-30,"step28",0
"Tulsa County, OK",63,2020-05-01,"step28",0
"Tulsa County, OK",63,2020-05-01,"step29",0
"Tulsa County, OK",64,2020-05-02,"step29",0
"Tulsa County, OK",65,2020-05-03,"step29",0
"Tulsa County, OK",65,2020-05-03,"step30",0
"Tulsa County, OK",66,2020-05-04,"step30",0
"Tulsa County, OK",67,2020-05-05,"step30",0
"Tulsa County, OK",67,2020-05-05,"step32",0.69
"Tulsa County, OK",68,2020-05-06,"step32",0.69
"Tulsa County, OK",69,2020-05-07,"step32",0.69
"Tulsa County, OK",69,2020-05-07,"step34",0.62
"Tulsa County, OK",70,2020-05-08,"step34",0.62
"Tulsa County, OK",70,2020-05-08,"step36",0.58
"Tulsa County, OK",71,2020-05-09,"step36",0.58
"Tulsa County, OK",72,2020-05-10,"step36",0.58
"Tulsa County, OK",72,2020-05-10,"step38",0.51
"Tulsa County, OK",73,2020-05-11,"step38",0.51
"Tulsa County, OK",74,2020-05-12,"step38",0.51
"Tulsa County, OK",74,2020-05-12,"step41",0.44
"Tulsa County, OK",74,2020-05-12,"step42",0.44
"Tulsa County, OK",75,2020-05-13,"step42",0.44
"Tulsa County, OK",76,2020-05-14,"step42",0.44
"Tulsa County, OK",76,2020-05-14,"step43",0.38
"Tulsa County, OK",77,2020-05-15,"step43",0.38
"Tulsa County, OK",78,2020-05-16,"step43",0.38
"Tulsa County, OK",78,2020-05-16,"step44",0.32
"Tulsa County, OK",79,2020-05-17,"step44",0.32
"Tulsa County, OK",80,2020-05-18,"step44",0.32
"Tulsa County, OK",80,2020-05-18,"step45",0.27
"Tulsa County, OK",81,2020-05-19,"step45",0.27
"Tulsa County, OK",82,2020-05-20,"step45",0.27
"Tulsa County, OK",82,2020-05-20,"step46",0.23
"Tulsa County, OK",83,2020-05-21,"step46",0.23
"Tulsa County, OK",84,2020-05-22,"step46",0.23
"Tulsa County, OK",84,2020-05-22,"step47",0.23
"Tulsa County, OK",85,2020-05-23,"step47",0.23
"Tulsa County, OK",86,2020-05-24,"step47",0.23
"Tulsa County, OK",86,2020-05-24,"step48",0.23
"Tulsa County, OK",87,2020-05-25,"step48",0.23
"Tulsa County, OK",88,2020-05-26,"step48",0.23
"Tulsa County, OK",88,2020-05-26,"step49",0.23
"Tulsa County, OK",89,2020-05-27,"step49",0.23
"Tulsa County, OK",90,2020-05-28,"step49",0.23
"Tulsa County, OK",90,2020-05-28,"step50",0.22
"Tulsa County, OK",91,2020-05-29,"step50",0.22
"Tulsa County, OK",92,2020-05-30,"step50",0.22
"Tulsa County, OK",92,2020-05-30,"step51",0.2
"Tulsa County, OK",93,2020-05-31,"step51",0.2
"Tulsa County, OK",94,2020-06-01,"step51",0.2
"Tulsa County, OK",94,2020-06-01,"step52",0.1
"Tulsa County, OK",95,2020-06-02,"step52",0.1
"Tulsa County, OK",96,2020-06-03,"step52",0.1
