"region","time","date","period","b1"
"Warren County, NJ",0,2020-03-05,"baseline",0.1
"Warren County, NJ",1,2020-03-06,"baseline",0.1
"Warren County, NJ",2,2020-03-07,"baseline",0.1
"Warren County, NJ",3,2020-03-08,"baseline",0.1
"Warren County, NJ",4,2020-03-09,"baseline",0.1
"Warren County, NJ",5,2020-03-10,"baseline",0.1
"Warren County, NJ",6,2020-03-11,"baseline",0.1
"Warren County, NJ",7,2020-03-12,"baseline",0.1
"Warren County, NJ",8,2020-03-13,"baseline",0.1
"Warren County, NJ",9,2020-03-14,"baseline",0.1
"Warren County, NJ",10,2020-03-15,"baseline",0.1
"Warren County, NJ",11,2020-03-16,"baseline",0.1
"Warren County, NJ",12,2020-03-17,"baseline",0.1
"Warren County, NJ",13,2020-03-18,"baseline",0.1
"Warren County, NJ",14,2020-03-19,"baseline",0.1
"Warren County, NJ",15,2020-03-20,"baseline",0.1
"Warren County, NJ",16,2020-03-21,"baseline",0.1
"Warren County, NJ",16,2020-03-21,"step1",0.61
"Warren County, NJ",17,2020-03-22,"step1",0.61
"Warren County, NJ",18,2020-03-23,"step1",0.61
"Warren County, NJ",18,2020-03-23,"step2",0.56
"Warren County, NJ",19,2020-03-24,"step2",0.56
"Warren County, NJ",20,2020-03-25,"step2",0.56
"Warren County, NJ",20,2020-03-25,"step3",0.5
"Warren County, NJ",21,2020-03-26,"step3",0.5
"Warren County, NJ",22,2020-03-27,"step3",0.5
"Warren County, NJ",22,2020-03-27,"step4",0.44
"Warren County, NJ",23,2020-03-28,"step4",0.44
"Warren County, NJ",24,2020-03-29,"step4",0.44
"Warren County, NJ",24,2020-03-29,"step5",0.39
"Warren County, NJ",25,2020-03-30,"step5",0.39
"Warren County, NJ",26,2020-03-31,"step5",0.39
"Warren County, NJ",26,2020-03-31,"step6",0.33
"Warren County, NJ",27,2020-04-01,"step6",0.33
"Warren County, NJ",28,2020-04-02,"step6",0.33
"Warren County, NJ",28,2020-04-02,"step7",0.27
"Warren County, NJ",29,2020-04-03,"step7",0.27
"Warren County, NJ",30,2020-04-04,"step7",0.27
"Warren County, NJ",30,2020-04-04,"step8",0.23
"Warren County, NJ",31,2020-04-05,"step8",0.23
"Warren County, NJ",32,2020-04-06,"step8",0.23
"Warren County, NJ",32,2020-04-06,"step9",0.19
"Warren County, NJ",33,2020-04-07,"step9",0.19
"Warren County, NJ",34,2020-04-08,"step9",0.19
"Warren County, NJ",34,2020-04-08,"step10",0.16
"Warren County, NJ",35,2020-04-09,"step10",0.16
"Warren County, NJ",36,2020-04-10,"step10",0.16
"Warren County, NJ",35,2020-04-09,"step11",0.135
"Warren County, NJ",36,2020-04-10,"step11",0.135
"Warren County, NJ",37,2020-04-11,"step11",0.135
"Warren County, NJ",38,2020-04-12,"step11",0.135
